# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-03-27 08:55:21
# API-Download für Covid19-Inzidenzen in LK Wittenberg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,26.13,,,,,,10.23,,,,,,,
2020-KW12,,,,,,,,,14.55,28.31,40.92,,,,14.13,13.87,,
2020-KW13,,,,21.21,104.52,197.52,43.28,28.52,43.66,84.94,92.07,8.38,,75.81,42.4,27.73,109.25,
2020-KW14,,,19.79,21.21,26.13,,57.71,,58.21,56.63,,67.07,27.11,28.43,28.27,13.87,67.23,
2020-KW15,,19.99,39.58,21.21,,28.22,57.71,14.26,,28.31,30.69,25.15,18.07,18.95,,13.87,25.21,
2020-KW16,,,,,26.13,,,,29.1,14.16,10.23,,9.04,,14.13,,16.81,
2020-KW17,21.49,,,,,28.22,,,,,,,,,,27.73,8.4,
2020-KW20,,,,,,,14.43,,,,,,,,,,,
2020-KW25,,,,,,,14.43,,,,,8.38,,,,,,
2020-KW26,42.97,,,,,,,,,,,,,,,,,
2020-KW27,,,,,,,,,,,,,,9.48,,,,
2020-KW28,,,,,,,,,,,,,,,14.13,,,
2020-KW30,,,,,,,,,,,,8.38,9.04,,,,,
2020-KW31,,,,,,,,,,,,,9.04,,,,,
2020-KW33,,,,,26.13,,,,,,,8.38,,,14.13,,,
2020-KW34,,,,,26.13,,,,,,,,9.04,9.48,,,,
2020-KW35,,,,,,,14.43,,,,,,,,,,,
2020-KW36,,,,,,,14.43,28.52,,,,,,,,,,
2020-KW37,42.97,,,,26.13,,14.43,14.26,29.1,,,8.38,,,,,,
2020-KW38,,,59.37,,,,14.43,,,42.47,,16.77,,,,,,
2020-KW39,,,59.37,,26.13,28.22,14.43,28.52,,84.94,61.38,16.77,,,,,25.21,
2020-KW40,,99.94,19.79,,26.13,,,28.52,14.55,14.16,30.69,25.15,18.07,9.48,,27.73,8.4,
2020-KW41,21.49,19.99,,,,28.22,14.43,14.26,,,,,18.07,,,,,
2020-KW42,,19.99,19.79,42.42,26.13,,,28.52,,14.16,,,,9.48,,,,
2020-KW43,,,,,52.26,84.65,28.86,28.52,87.31,28.31,20.46,58.69,45.18,18.95,,13.87,16.81,
2020-KW44,107.43,59.96,39.58,42.42,104.52,84.65,43.28,85.56,29.1,113.25,81.84,108.99,45.18,37.9,42.4,13.87,16.81,
2020-KW45,21.49,19.99,19.79,84.84,26.13,56.43,86.57,57.04,14.55,42.47,40.92,67.07,81.32,47.38,14.13,,8.4,
2020-KW46,64.46,119.93,19.79,42.42,104.52,56.43,115.42,71.3,145.52,113.25,51.15,83.84,72.29,47.38,42.4,55.46,75.64,
2020-KW47,85.95,99.94,59.37,84.84,78.39,141.08,86.57,142.59,101.86,56.63,102.3,100.6,99.39,56.86,98.94,69.33,151.27,
2020-KW48,,79.95,178.11,169.67,156.78,169.3,129.85,99.81,116.41,226.5,92.07,108.99,99.39,75.81,14.13,41.6,16.81,
2020-KW49,,159.9,79.16,233.3,104.52,169.3,144.28,142.59,130.97,212.34,163.68,134.14,81.32,18.95,70.67,83.19,260.53,
2020-KW50,64.46,59.96,197.9,360.55,339.69,282.17,173.14,256.67,145.52,254.81,255.75,209.59,207.83,85.28,169.61,152.52,361.37,
2020-KW51,171.9,179.89,237.48,445.39,418.08,451.47,403.98,370.74,465.66,481.31,470.59,595.24,424.69,142.14,296.82,221.85,302.55,
2020-KW52,64.46,79.95,98.95,296.92,235.17,253.95,230.85,285.18,160.07,297.28,276.21,343.73,225.9,161.09,141.34,180.26,420.2,
2020-KW53,42.97,99.94,118.74,148.46,522.6,253.95,403.98,356.48,247.38,339.75,306.91,360.5,271.08,170.57,183.75,194.12,722.75,
2021-KW01,64.46,299.82,178.11,551.43,548.73,564.33,548.26,570.37,552.97,353.91,685.42,729.38,424.69,246.38,339.22,402.11,747.96,
2021-KW02,128.92,179.89,237.48,699.89,574.86,648.98,389.55,598.89,596.62,353.91,583.12,553.32,533.12,407.47,310.95,374.38,630.31,
2021-KW03,64.46,139.92,79.16,318.13,418.08,169.3,331.84,199.63,363.8,339.75,327.37,360.5,207.83,132.66,113.07,207.99,285.74,
2021-KW04,150.41,139.92,98.95,127.25,182.91,253.95,129.85,171.11,160.07,184.03,214.83,226.36,243.97,104.24,113.07,69.33,243.72,
2021-KW05,,39.98,98.95,212.09,156.78,225.73,86.57,128.33,101.86,169.88,71.61,117.37,126.5,28.43,42.4,124.79,243.72,
2021-KW06,,,79.16,106.04,130.65,84.65,72.14,71.3,72.76,155.72,51.15,92.22,63.25,75.81,127.21,83.19,117.66,
2021-KW07,21.49,99.94,39.58,127.25,104.52,197.52,144.28,142.59,130.97,169.88,173.91,167.67,81.32,85.28,141.34,110.93,109.25,
2021-KW08,42.97,99.94,98.95,318.13,235.17,56.43,158.71,156.85,101.86,99.09,173.91,150.91,108.43,94.76,84.81,97.06,117.66,
2021-KW09,42.97,119.93,118.74,169.67,78.39,141.08,129.85,85.56,203.73,99.09,132.99,134.14,153.61,85.28,84.81,152.52,411.8,
2021-KW10,107.43,119.93,79.16,84.84,130.65,112.87,158.71,171.11,72.76,155.72,61.38,134.14,45.18,66.33,28.27,41.6,134.47,
2021-KW11,85.95,139.92,79.16,84.84,104.52,56.43,317.41,156.85,145.52,141.56,92.07,167.67,90.36,66.33,84.81,27.73,142.87,
2021-KW12,42.97,359.78,217.69,381.76,209.04,141.08,144.28,199.63,276.48,169.88,225.06,150.91,180.72,94.76,127.21,69.33,226.91,
2021-KW13,42.97,159.9,158.32,106.04,104.52,141.08,173.14,156.85,116.41,127.41,235.29,159.29,153.61,85.28,113.07,83.19,126.06,
2021-KW14,64.46,99.94,178.11,190.88,418.08,282.17,216.42,213.89,145.52,268.97,225.06,268.28,207.83,94.76,169.61,83.19,92.44,
2021-KW15,150.41,239.86,178.11,212.09,391.95,225.73,187.56,114.07,43.66,268.97,71.61,184.44,171.68,113.71,56.54,110.93,75.64,
2021-KW16,85.95,139.92,197.9,296.92,313.56,169.3,245.27,342.22,174.62,198.19,204.6,226.36,117.47,66.33,113.07,83.19,58.83,
2021-KW17,85.95,39.98,118.74,148.46,209.04,225.73,216.42,71.3,130.97,141.56,184.14,201.21,180.72,94.76,28.27,55.46,75.64,
