# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-05-28 08:58:19
# API-Download für Covid19-Inzidenzen in LK Zwickau, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,7.85,,,5.71,16.32,,5.63,,18.53,4.07,,5.37,,6.59,
2020-KW12,32.22,7.54,15.26,15.7,53.89,121.35,91.44,59.84,50.86,112.5,73.27,59.31,36.61,47.77,26.85,36.32,,
2020-KW13,8.06,15.09,7.63,62.78,35.93,91.01,45.72,81.6,79.12,78.75,60.34,70.43,61.02,31.85,53.71,93.4,55.98,
2020-KW14,,15.09,15.26,31.39,44.91,30.34,17.14,70.72,62.16,73.13,64.65,74.13,24.41,39.81,42.97,67.46,131.71,
2020-KW15,,7.54,7.63,23.54,71.85,80.9,57.15,27.2,28.26,33.75,51.72,55.6,36.61,11.94,5.37,25.94,69.15,
2020-KW16,,,,15.7,44.91,30.34,22.86,,16.95,11.25,25.86,29.65,24.41,19.9,26.85,36.32,92.2,
2020-KW17,,,,7.85,,20.22,5.71,16.32,,11.25,4.31,18.53,8.14,15.92,5.37,20.76,29.63,
2020-KW18,,,,15.7,8.98,,,10.88,11.3,22.5,12.93,25.95,,,,15.57,32.93,
2020-KW19,,7.54,7.63,15.7,8.98,30.34,5.71,10.88,11.3,,12.93,7.41,12.2,15.92,10.74,20.76,23.05,
2020-KW20,,7.54,,23.54,26.94,20.22,34.29,10.88,5.65,11.25,8.62,3.71,8.14,7.96,,5.19,9.88,
2020-KW21,,,7.63,,,,17.14,10.88,5.65,5.63,4.31,,8.14,,,5.19,,
2020-KW22,8.06,30.17,7.63,,,20.22,,,11.3,,,,,3.98,5.37,5.19,3.29,
2020-KW23,,7.54,,,,,,,,5.63,,3.71,,7.96,,,,
2020-KW24,,,,7.85,,,,,,,,,,3.98,,5.19,,
2020-KW25,,,,7.85,8.98,10.11,,,,5.63,4.31,,,,,,,
2020-KW26,,,,,,,,,5.65,,,,,3.98,,,,
2020-KW29,,7.54,,,,,5.71,,,,,,,,,,,
2020-KW31,,,,,,,,,,,,,,,5.37,,3.29,
2020-KW32,,,,7.85,26.94,,,5.44,5.65,5.63,,,,,,,,
2020-KW33,,,,7.85,8.98,,11.43,5.44,,,,,,,,,,
2020-KW34,,,,,,,,,,,4.31,,,,,,,
2020-KW35,,,,15.7,,,,,11.3,,8.62,,,,,,,
2020-KW36,,,7.63,7.85,,,5.71,,,5.63,,3.71,,,,,,
2020-KW37,,7.54,15.26,,35.93,,,,,,12.93,7.41,4.07,7.96,5.37,5.19,16.46,
2020-KW38,,7.54,,,,,,,11.3,5.63,4.31,7.41,8.14,,,10.38,9.88,
2020-KW39,,15.09,7.63,7.85,26.94,30.34,,21.76,5.65,16.88,4.31,11.12,12.2,7.96,21.48,20.76,6.59,
2020-KW40,,,,,26.94,30.34,11.43,10.88,11.3,22.5,4.31,3.71,8.14,,,15.57,,
2020-KW41,16.11,30.17,106.85,54.94,44.91,70.79,51.43,32.64,50.86,61.88,47.41,18.53,28.48,35.83,37.6,36.32,13.17,
2020-KW42,24.17,15.09,129.75,47.09,71.85,60.67,45.72,48.96,67.82,73.13,68.96,37.07,77.29,39.81,32.23,31.13,32.93,
2020-KW43,24.17,45.26,152.65,62.78,107.78,131.46,45.72,54.4,84.77,90.0,77.58,103.78,77.29,43.79,64.45,15.57,82.32,
2020-KW44,32.22,30.17,30.53,125.57,179.63,202.24,125.73,103.36,113.03,123.76,198.27,148.26,130.18,47.77,128.9,134.91,141.59,
2020-KW45,48.33,82.98,38.16,172.66,260.46,131.46,217.17,190.4,203.45,230.64,232.75,170.5,134.24,123.41,118.16,114.16,154.76,
