# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-05-01 08:52:38
# API-Download für Covid19-Inzidenzen in SK Aschaffenburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,22.73,,,,,,,,
2020-KW11,,,255.12,31.68,,20.9,37.47,,22.29,68.2,19.71,,,,,,,
2020-KW12,,,,,,,37.47,,44.58,22.73,39.43,69.5,,,,,,
2020-KW13,,,,,24.87,125.42,37.47,,22.29,45.46,39.43,52.12,19.88,,,37.64,,
2020-KW14,,,,,74.62,41.81,112.4,103.0,44.58,68.2,118.28,69.5,19.88,24.09,56.29,37.64,,
2020-KW15,,,,,24.87,,37.47,41.2,22.29,,39.43,34.75,19.88,,140.73,,103.56,
2020-KW16,,,,,,20.9,,20.6,,22.73,19.71,52.12,,,,112.92,41.42,
2020-KW17,,,,,24.87,20.9,18.73,41.2,44.58,,19.71,34.75,19.88,,28.15,,41.42,
2020-KW18,,,,,24.87,,,,22.29,,,,,,,,41.42,
2020-KW19,,,,,,20.9,18.73,,,,,,,,,,,
2020-KW20,,,,,,20.9,,,,,,,,,,,,
2020-KW21,,,,,,,,,,22.73,,17.37,,,,,,
2020-KW23,,,,31.68,,,,,,,,,,,,,,
2020-KW27,,,,,24.87,20.9,,,,,,,,,28.15,,,
2020-KW28,,32.04,,,,41.81,18.73,,,,19.71,,,,,,20.71,
2020-KW29,,32.04,,,,,18.73,,,22.73,,,,,,,,
2020-KW30,,,,,,,,,,,19.71,,,24.09,,,,
2020-KW31,,,,,,,37.47,,,,,,,,,,,
2020-KW32,,,,,24.87,20.9,,,,,,,,,,,,
2020-KW33,,,,31.68,49.75,41.81,,,22.29,,,,,,,,,
2020-KW34,,,,,,,37.47,,,,,,19.88,,,,,
2020-KW35,29.08,32.04,,31.68,,,,20.6,22.29,22.73,,,,24.09,,,,
2020-KW36,,,,31.68,24.87,,18.73,20.6,22.29,,,,,,,,,
2020-KW37,29.08,,31.89,,24.87,20.9,,,44.58,22.73,39.43,,,,,,,
2020-KW38,,32.04,,31.68,,,,,22.29,22.73,19.71,,,,,37.64,,
2020-KW39,,,,63.37,24.87,20.9,37.47,,,22.73,39.43,34.75,,24.09,,,,
2020-KW40,,,,31.68,24.87,41.81,,,22.29,68.2,39.43,,,24.09,,,,
2020-KW41,,,,63.37,49.75,62.71,,,44.58,22.73,39.43,17.37,19.88,48.19,,,,
2020-KW42,,,63.78,126.73,49.75,62.71,74.93,20.6,,,,34.75,,,28.15,,,
2020-KW43,58.16,32.04,191.34,95.05,99.5,188.13,93.66,123.6,133.73,45.46,59.14,86.87,39.76,72.28,,,41.42,
2020-KW44,29.08,160.18,191.34,253.47,373.11,229.93,262.26,82.4,133.73,181.86,256.28,69.5,59.64,24.09,28.15,112.92,41.42,
2020-KW45,58.16,32.04,191.34,221.78,174.12,209.03,318.46,123.6,156.02,136.39,118.28,173.74,59.64,120.47,112.58,37.64,103.56,
2020-KW46,29.08,96.11,63.78,380.2,298.49,229.93,243.53,350.19,66.87,181.86,98.57,156.37,159.05,72.28,,37.64,41.42,
2020-KW47,87.23,64.07,159.45,443.56,149.24,209.03,168.59,164.8,222.89,136.39,118.28,52.12,119.28,48.19,56.29,37.64,82.85,
2020-KW48,58.16,160.18,191.34,253.47,248.74,125.42,187.33,41.2,178.31,181.86,157.71,52.12,,48.19,84.44,112.92,207.11,
2020-KW49,87.23,192.22,223.23,221.78,248.74,104.52,262.26,144.2,334.34,204.59,98.57,243.24,159.05,144.56,84.44,150.56,310.67,
2020-KW50,,64.07,127.56,285.15,223.87,209.03,224.79,226.59,245.18,227.32,197.14,138.99,99.4,144.56,56.29,225.84,745.61,
2020-KW51,145.39,128.14,127.56,221.78,99.5,229.93,318.46,205.99,356.63,136.39,315.43,312.73,357.85,313.22,197.02,338.76,1491.22,
2020-KW52,116.31,96.11,95.67,285.15,149.24,167.22,243.53,329.59,289.76,136.39,197.14,243.24,119.28,240.93,253.31,188.2,807.75,
2020-KW53,58.16,32.04,31.89,95.05,198.99,188.13,131.13,103.0,200.6,227.32,98.57,156.37,99.4,144.56,140.73,188.2,828.46,
2021-KW01,,96.11,,126.73,223.87,167.22,187.33,226.59,267.47,250.06,59.14,173.74,159.05,,112.58,376.4,455.65,
2021-KW02,29.08,64.07,63.78,221.78,298.49,188.13,131.13,164.8,200.6,90.93,78.86,86.87,218.69,24.09,28.15,112.92,331.38,
2021-KW03,87.23,64.07,63.78,221.78,124.37,125.42,224.79,103.0,156.02,250.06,138.0,225.86,238.57,48.19,84.44,188.2,559.21,
2021-KW04,29.08,64.07,95.67,158.42,198.99,229.93,206.06,164.8,66.87,136.39,216.86,208.49,198.81,240.93,84.44,188.2,269.25,
2021-KW05,29.08,,63.78,63.37,124.37,83.61,149.86,61.8,111.45,136.39,118.28,173.74,59.64,96.37,56.29,150.56,289.96,
2021-KW06,,,,63.37,99.5,104.52,93.66,41.2,44.58,,98.57,17.37,59.64,24.09,84.44,75.28,186.4,
2021-KW07,29.08,64.07,31.89,31.68,74.62,104.52,37.47,,44.58,68.2,,104.24,99.4,24.09,,37.64,82.85,
2021-KW08,58.16,64.07,127.56,158.42,149.24,125.42,131.13,144.2,89.16,136.39,138.0,69.5,59.64,24.09,,37.64,20.71,
2021-KW09,116.31,96.11,63.78,190.1,99.5,188.13,149.86,61.8,66.87,204.59,177.43,104.24,39.76,24.09,,112.92,62.13,
2021-KW10,232.63,160.18,31.89,158.42,149.24,104.52,149.86,103.0,89.16,136.39,216.86,104.24,119.28,24.09,28.15,37.64,41.42,
2021-KW11,58.16,128.14,95.67,190.1,74.62,104.52,93.66,61.8,111.45,113.66,138.0,69.5,119.28,,56.29,37.64,82.85,
2021-KW12,,64.07,63.78,126.73,99.5,209.03,74.93,82.4,89.16,68.2,59.14,69.5,19.88,48.19,56.29,75.28,,
2021-KW13,29.08,160.18,159.45,126.73,198.99,146.32,206.06,61.8,22.29,159.13,138.0,104.24,19.88,96.37,56.29,,,
2021-KW14,145.39,64.07,127.56,285.15,198.99,146.32,168.59,205.99,178.31,136.39,59.14,121.62,99.4,72.28,84.44,112.92,103.56,
