# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-07-17 08:55:22
# API-Download für Covid19-Inzidenzen in SK Berlin Pankow, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,2.49,,5.81,,,3.55,,,,,,
2020-KW11,,,,,11.51,19.71,12.44,5.34,11.62,10.0,9.38,,,,,,,
2020-KW12,,4.6,5.05,6.25,40.28,78.82,29.86,26.72,20.34,26.66,21.89,24.86,21.6,6.67,8.85,,,
2020-KW13,4.37,,5.05,,46.03,67.0,59.72,42.76,49.39,36.66,43.79,46.17,26.99,13.35,26.55,7.64,38.21,
2020-KW14,13.1,4.6,,,34.52,19.71,44.79,29.4,40.67,43.33,28.15,31.96,43.19,13.35,35.4,45.82,57.31,
2020-KW15,,,5.05,,28.77,31.53,32.35,18.71,31.96,30.0,18.77,14.21,5.4,20.02,17.7,53.45,85.97,
2020-KW16,4.37,9.2,,,11.51,19.71,19.91,10.69,8.72,23.33,12.51,28.41,10.8,,26.55,22.91,119.4,
2020-KW17,4.37,9.2,10.1,12.5,17.26,3.94,4.98,16.03,14.53,,18.77,28.41,,,8.85,,23.88,
2020-KW18,4.37,,,,11.51,3.94,2.49,5.34,8.72,3.33,9.38,7.1,16.2,13.35,,38.18,33.43,
2020-KW19,4.37,,,6.25,5.75,11.82,9.95,10.69,,6.67,,3.55,,6.67,8.85,7.64,23.88,
2020-KW20,4.37,,5.05,12.5,11.51,7.88,2.49,8.02,,3.33,,,,,,,9.55,
2020-KW21,4.37,9.2,15.15,12.5,17.26,3.94,4.98,8.02,11.62,6.67,3.13,7.1,5.4,,,22.91,47.76,
2020-KW22,,,,,5.75,3.94,2.49,,2.91,,,3.55,,,8.85,,,
2020-KW23,,,5.05,6.25,,,2.49,,5.81,3.33,3.13,3.55,5.4,,,7.64,14.33,
2020-KW24,4.37,4.6,10.1,,5.75,3.94,4.98,2.67,8.72,3.33,,3.55,,,,,9.55,
2020-KW25,4.37,13.81,,6.25,11.51,3.94,2.49,5.34,5.81,,3.13,3.55,5.4,,,7.64,9.55,
2020-KW26,13.1,4.6,,,5.75,7.88,4.98,2.67,2.91,3.33,3.13,3.55,,,,,,
2020-KW27,,4.6,5.05,,11.51,15.76,4.98,2.67,,,3.13,7.1,,,,7.64,,
2020-KW28,8.73,13.81,,,,3.94,,2.67,8.72,6.67,,3.55,,,,,,
2020-KW29,,,,,,11.82,4.98,,2.91,,,7.1,,,,,,
2020-KW30,,4.6,,12.5,17.26,7.88,4.98,5.34,,13.33,6.26,3.55,,,8.85,,,
2020-KW31,,4.6,5.05,18.76,23.02,3.94,4.98,5.34,,16.67,3.13,3.55,,,,,,
2020-KW32,4.37,13.81,,,23.02,11.82,9.95,5.34,2.91,6.67,3.13,3.55,,,,,4.78,
2020-KW33,4.37,4.6,,,11.51,19.71,24.88,5.34,,16.67,,7.1,,,,,,
2020-KW34,4.37,4.6,,,11.51,19.71,19.91,16.03,8.72,10.0,3.13,,5.4,,,,,
2020-KW35,8.73,13.81,15.15,,28.77,31.53,22.39,8.02,11.62,16.67,6.26,3.55,,,,,,
2020-KW36,,4.6,5.05,25.01,34.52,74.88,32.35,10.69,8.72,10.0,6.26,3.55,,,,,,
2020-KW37,,,,12.5,11.51,55.17,32.35,16.03,11.62,6.67,3.13,3.55,,,,,,
2020-KW38,,,10.1,,57.54,39.41,19.91,21.38,17.43,10.0,3.13,7.1,10.8,6.67,,,,
2020-KW39,4.37,,30.3,,40.28,59.12,39.81,32.07,40.67,23.33,21.89,17.76,5.4,13.35,,,,
2020-KW40,4.37,9.2,15.15,18.76,57.54,63.06,39.81,48.1,8.72,20.0,12.51,21.31,5.4,6.67,,,4.78,
2020-KW41,8.73,13.81,25.25,50.02,57.54,98.53,54.74,21.38,29.05,30.0,50.04,21.31,21.6,13.35,17.7,15.27,23.88,
2020-KW42,13.1,23.01,15.15,100.04,126.59,106.41,89.58,69.48,46.48,73.33,56.3,53.27,16.2,13.35,26.55,15.27,23.88,
2020-KW43,21.83,13.81,30.3,93.79,195.64,181.29,87.09,69.48,69.72,93.32,53.17,49.72,53.99,46.71,26.55,38.18,38.21,
2020-KW44,17.47,36.82,80.8,125.05,276.2,295.58,121.92,144.31,116.2,136.65,115.72,81.68,75.59,53.39,53.09,53.45,52.54,
2020-KW45,56.77,78.23,75.75,225.08,356.75,291.64,241.36,149.65,139.44,206.65,168.89,138.5,134.97,93.43,88.49,61.09,90.74,
2020-KW46,17.47,55.22,106.06,212.58,264.69,327.11,186.62,152.32,153.97,136.65,156.38,170.46,124.18,93.43,79.64,129.81,219.7,
2020-KW47,56.77,64.43,126.26,200.08,189.88,256.17,216.48,157.67,191.73,143.32,172.02,127.85,107.98,120.12,26.55,53.45,124.18,
2020-KW48,87.34,156.47,242.41,143.8,212.9,126.11,154.27,163.01,226.59,166.65,159.51,138.5,140.37,100.1,106.19,160.35,324.77,
2020-KW49,26.2,105.84,121.21,168.81,230.16,134.0,141.83,138.96,171.4,156.65,147.0,113.64,91.78,153.49,106.19,198.53,219.7,
2020-KW50,78.6,96.64,196.96,162.56,155.36,149.76,141.83,120.26,159.78,129.99,203.3,124.29,156.57,73.41,132.73,122.17,224.47,
2020-KW51,74.24,73.63,126.26,193.82,155.36,244.34,171.69,211.12,180.11,209.98,193.91,255.69,167.37,120.12,106.19,137.45,396.41,
2020-KW52,30.57,96.64,85.85,100.04,103.57,137.94,106.99,109.57,116.2,109.99,159.51,120.74,70.19,66.73,61.94,61.09,133.73,
2020-KW53,8.73,23.01,15.15,75.03,51.79,102.47,64.69,106.89,78.44,99.99,78.19,92.33,113.38,113.45,61.94,68.72,171.94,
2021-KW01,26.2,55.22,111.11,237.59,241.67,216.76,206.52,203.1,153.97,149.99,222.06,291.2,259.15,233.57,221.22,236.71,477.6,
2021-KW02,43.67,101.24,141.41,175.07,264.69,271.93,221.45,213.79,185.92,223.31,275.23,245.04,151.17,166.83,88.49,152.72,367.75,
2021-KW03,34.93,32.21,55.55,87.53,126.59,145.82,124.41,122.93,107.49,103.32,106.34,156.26,129.58,100.1,61.94,129.81,310.44,
2021-KW04,26.2,41.42,35.35,50.02,97.82,90.64,82.11,74.83,63.91,69.99,71.94,81.68,91.78,93.43,70.79,152.72,358.2,
2021-KW05,21.83,23.01,35.35,62.52,74.8,63.06,104.51,69.48,87.15,73.33,81.32,106.54,86.38,40.04,35.4,152.72,195.82,
2021-KW06,34.93,18.41,25.25,43.77,63.29,74.88,67.18,50.77,37.77,59.99,56.3,85.23,75.59,26.69,26.55,99.27,109.85,
2021-KW07,8.73,36.82,25.25,81.28,97.82,35.47,22.39,37.41,37.77,26.66,62.55,56.82,59.39,13.35,17.7,45.82,143.28,
2021-KW08,21.83,23.01,65.65,50.02,80.56,70.94,27.37,40.09,49.39,53.33,78.19,71.03,53.99,53.39,61.94,61.09,100.3,
2021-KW09,13.1,36.82,20.2,31.26,34.52,51.23,57.23,24.05,49.39,66.66,62.55,42.62,26.99,,35.4,30.54,38.21,
2021-KW10,61.14,82.83,20.2,131.3,80.56,35.47,52.25,48.1,55.2,76.66,103.21,63.92,43.19,40.04,53.09,53.45,47.76,
2021-KW11,109.17,110.45,30.3,75.03,80.56,90.64,94.55,77.5,139.44,113.32,68.81,99.44,53.99,26.69,26.55,38.18,28.66,
2021-KW12,139.74,147.26,126.26,112.54,155.36,122.17,166.71,125.6,124.92,113.32,90.7,106.54,75.59,26.69,44.24,91.63,33.43,
2021-KW13,100.44,128.85,121.21,218.83,138.1,106.41,124.41,152.32,92.96,126.65,84.45,106.54,161.97,33.37,26.55,38.18,38.21,
2021-KW14,65.5,50.62,75.75,100.04,161.11,106.41,146.81,117.58,110.39,109.99,81.32,92.33,91.78,80.08,79.64,15.27,23.88,
2021-KW15,56.77,101.24,151.51,200.08,166.87,118.23,136.85,149.65,139.44,109.99,90.7,113.64,113.38,106.77,88.49,38.18,23.88,
2021-KW16,56.77,101.24,151.51,168.81,201.39,130.05,111.97,114.91,104.58,93.32,96.96,117.19,107.98,80.08,53.09,61.09,19.1,
2021-KW17,39.3,82.83,95.95,68.78,149.61,102.47,74.65,82.84,63.91,83.33,59.43,71.03,48.59,46.71,26.55,,9.55,
2021-KW18,39.3,78.23,101.0,56.27,109.33,82.76,57.23,80.17,101.68,66.66,56.3,63.92,48.59,46.71,35.4,,4.78,
2021-KW19,4.37,41.42,40.4,75.03,155.36,51.23,69.67,48.1,40.67,26.66,31.28,53.27,53.99,26.69,17.7,7.64,23.88,
2021-KW20,21.83,46.02,50.5,81.28,80.56,90.64,42.3,45.43,29.05,20.0,28.15,21.31,21.6,6.67,8.85,7.64,14.33,
2021-KW21,13.1,4.6,20.2,18.76,40.28,43.35,22.39,13.36,8.72,26.66,15.64,21.31,37.79,6.67,,,9.55,
2021-KW22,26.2,18.41,15.15,18.76,46.03,19.71,9.95,16.03,29.05,13.33,3.13,7.1,5.4,,,,4.78,
2021-KW23,,18.41,10.1,,5.75,19.71,9.95,5.34,14.53,13.33,9.38,3.55,,,,,,
2021-KW24,,,,,11.51,,7.46,5.34,5.81,,3.13,3.55,,6.67,,,4.78,
2021-KW25,4.37,,10.1,6.25,5.75,3.94,12.44,,8.72,,3.13,,5.4,6.67,8.85,,9.55,
2021-KW26,,4.6,,6.25,,11.82,,2.67,,3.33,12.51,,,,,,,
2021-KW27,,4.6,5.05,6.25,23.02,15.76,14.93,16.03,8.72,13.33,6.26,,,,,,4.78,
2021-KW28,8.73,4.6,25.25,62.52,51.79,70.94,42.3,16.03,23.24,6.67,6.26,3.55,,,,,,
2021-KW29,17.47,4.6,25.25,62.52,86.31,78.82,44.79,34.74,14.53,16.67,9.38,,,,,,4.78,
2021-KW30,17.47,23.01,20.2,31.26,80.56,106.41,54.74,13.36,23.24,10.0,15.64,17.76,10.8,,,,,
2021-KW31,,27.61,30.3,81.28,69.05,70.94,54.74,34.74,14.53,23.33,12.51,10.65,16.2,,,,,
2021-KW32,39.3,73.63,101.0,100.04,109.33,39.41,54.74,26.72,49.39,36.66,34.4,17.76,26.99,13.35,,7.64,4.78,
2021-KW33,34.93,59.83,95.95,75.03,132.34,74.88,67.18,45.43,29.05,23.33,46.91,14.21,16.2,,8.85,,,
2021-KW34,34.93,36.82,80.8,93.79,92.07,55.17,57.23,42.76,34.86,26.66,18.77,14.21,59.39,6.67,17.7,15.27,62.09,
2021-KW35,74.24,64.43,90.9,162.56,109.33,130.05,72.16,64.14,72.63,46.66,56.3,46.17,43.19,20.02,17.7,15.27,71.64,
2021-KW36,78.6,69.03,126.26,125.05,97.82,78.82,74.65,82.84,52.29,43.33,37.53,28.41,10.8,13.35,8.85,15.27,14.33,
2021-KW37,30.57,64.43,257.56,75.03,92.07,102.47,87.09,66.81,52.29,53.33,50.04,24.86,32.39,20.02,17.7,,4.78,
2021-KW38,34.93,78.23,136.36,81.28,103.57,90.64,89.58,64.14,43.58,76.66,46.91,35.51,21.6,13.35,8.85,7.64,14.33,
2021-KW39,48.03,110.45,156.56,81.28,103.57,74.88,72.16,69.48,84.25,56.66,115.72,39.06,16.2,20.02,79.64,7.64,14.33,
2021-KW40,30.57,119.65,95.95,87.53,126.59,78.82,67.18,74.83,46.48,59.99,53.17,39.06,64.79,13.35,17.7,22.91,14.33,
2021-KW41,26.2,73.63,111.11,62.52,115.08,94.59,102.02,66.81,104.58,63.33,62.55,46.17,48.59,26.69,35.4,15.27,19.1,
2021-KW42,48.03,87.44,126.26,68.78,143.85,169.46,126.9,138.96,107.49,106.66,78.19,60.37,70.19,60.06,35.4,15.27,23.88,
2021-KW43,78.6,253.11,318.17,181.32,230.16,141.88,151.78,181.72,194.64,79.99,118.85,78.13,140.37,53.39,79.64,84.0,57.31,
2021-KW44,161.57,474.0,439.37,243.84,218.65,232.52,181.64,205.77,209.16,206.65,181.4,163.36,107.98,86.75,61.94,91.63,105.07,
2021-KW45,275.11,980.21,1045.4,481.43,351.0,429.57,350.84,285.94,464.81,363.3,265.85,291.2,183.57,106.77,115.03,106.9,138.5,
2021-KW46,262.01,897.38,954.5,462.67,327.98,441.4,375.72,440.94,479.33,436.62,356.55,287.65,356.33,113.45,212.37,68.72,114.62,
2021-KW47,266.38,892.77,843.39,518.94,494.85,468.98,408.07,491.72,502.57,453.29,450.38,415.5,340.14,300.3,238.92,145.08,176.71,
2021-KW48,165.94,717.9,570.68,318.87,379.77,358.63,345.87,334.05,392.18,349.97,350.3,252.14,210.56,193.53,221.22,45.82,124.18,
2021-KW49,248.91,612.06,555.53,400.15,391.28,362.58,271.22,355.42,310.84,336.63,281.49,252.14,280.75,140.14,132.73,53.45,119.4,
2021-KW50,244.54,681.09,777.74,418.91,454.57,500.51,348.35,406.2,427.04,356.63,297.13,234.38,156.57,160.16,88.49,53.45,171.94,
2021-KW51,183.41,524.62,550.48,612.73,592.67,630.57,437.93,432.92,409.61,279.97,240.83,188.22,156.57,106.77,70.79,61.09,71.64,
2021-KW52,174.67,469.4,464.62,593.97,736.52,878.85,572.3,521.11,461.9,416.63,325.27,291.2,199.76,140.14,150.43,45.82,66.86,
2022-KW01,279.48,759.32,939.35,1475.55,1708.96,1403.01,970.41,726.88,630.39,616.61,531.7,433.25,377.93,173.51,168.13,160.35,195.82,
2022-KW02,829.69,1394.39,1499.92,1744.4,2140.51,1686.77,1194.36,1109.03,967.38,866.58,725.61,596.61,485.91,240.24,141.58,122.17,238.8,
2022-KW03,2161.57,4399.45,4555.33,3138.68,3055.41,2715.38,2179.7,2426.51,2271.74,1839.82,1435.59,1179.02,842.24,413.75,398.19,206.17,563.57,
2022-KW04,2026.2,5342.84,4646.23,3370.01,2761.95,2455.27,2062.75,2779.26,2788.83,2099.79,1717.07,1377.89,1042.0,567.23,380.5,335.98,778.49,
