# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-12-03 08:11:27
# API-Download für Covid19-Inzidenzen in SK Bonn, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,3.96,,,,,,,,,,,,,
2020-KW10,,,,,,,,4.44,4.8,,,,,,,,4.74,
2020-KW11,,,,,7.92,3.65,11.6,22.19,14.39,10.32,22.46,4.22,4.92,6.18,,,,
2020-KW12,,,,11.87,55.46,54.78,61.84,53.27,57.55,25.8,49.41,42.18,59.06,24.72,45.16,18.2,14.21,
2020-KW13,6.39,,6.3,23.74,27.73,47.48,34.79,39.95,28.78,30.96,71.87,80.15,24.61,37.09,15.05,27.3,14.21,
2020-KW14,6.39,18.52,25.21,29.67,35.65,32.87,77.3,39.95,19.18,46.43,58.39,63.28,44.3,24.72,45.16,54.6,85.25,
2020-KW15,19.18,12.34,6.3,29.67,27.73,32.87,27.06,39.95,62.35,41.27,31.44,33.75,24.61,37.09,15.05,9.1,37.89,
2020-KW16,12.78,,6.3,23.74,27.73,25.56,23.19,8.88,9.59,20.64,17.97,29.53,9.84,12.36,7.53,9.1,18.94,
2020-KW17,12.78,12.34,25.21,35.61,27.73,47.48,34.79,17.76,23.98,20.64,8.98,4.22,4.92,,,,4.74,
2020-KW18,6.39,12.34,6.3,5.93,7.92,21.91,11.6,13.32,9.59,10.32,17.97,12.66,,,7.53,,,
2020-KW19,,6.17,12.6,29.67,15.85,10.96,11.6,4.44,,5.16,8.98,,4.92,6.18,,9.1,,
2020-KW20,,,,,,10.96,3.87,4.44,,10.32,,4.22,,,,9.1,,
2020-KW21,6.39,,,11.87,7.92,14.61,15.46,13.32,14.39,5.16,4.49,4.22,,,,,,
2020-KW22,,6.17,18.9,11.87,,10.96,,4.44,,5.16,,8.44,4.92,12.36,,,,
2020-KW23,,,,,7.92,7.3,7.73,8.88,,10.32,8.98,4.22,4.92,,,,,
2020-KW24,,,,,3.96,3.65,,,,,4.49,,,,,,,
2020-KW25,6.39,,,,3.96,3.65,,,,5.16,,,,,,9.1,,
2020-KW26,,,,,,,,,,,4.49,,,,,,,
2020-KW27,,,,5.93,,3.65,3.87,4.44,,10.32,4.49,,4.92,,,,14.21,
2020-KW28,,,,,3.96,3.65,,4.44,,,,,,,7.53,9.1,,
2020-KW29,,,6.3,,3.96,,7.73,4.44,,5.16,,4.22,4.92,,,,,
2020-KW30,,37.03,6.3,17.8,,10.96,11.6,8.88,19.18,20.64,8.98,,4.92,12.36,,,,
2020-KW31,6.39,6.17,12.6,23.74,11.88,7.3,11.6,,4.8,5.16,8.98,16.87,9.84,,,,,
2020-KW32,,18.52,31.51,47.47,15.85,32.87,11.6,17.76,23.98,30.96,17.97,4.22,4.92,,,,,
2020-KW33,31.96,,12.6,5.93,31.69,25.56,15.46,4.44,14.39,20.64,22.46,8.44,4.92,6.18,,,4.74,
2020-KW34,19.18,12.34,37.81,41.54,23.77,21.91,3.87,26.63,19.18,46.43,,4.22,14.77,12.36,,,,
2020-KW35,6.39,12.34,18.9,5.93,47.54,25.56,7.73,,4.8,,4.49,12.66,9.84,,7.53,,,
2020-KW36,12.78,6.17,18.9,17.8,27.73,10.96,15.46,4.44,9.59,5.16,8.98,12.66,19.69,6.18,,,4.74,
2020-KW37,,,31.51,35.61,31.69,18.26,11.6,,4.8,20.64,26.95,21.09,19.69,,7.53,9.1,4.74,
