# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-03-15 07:56:36
# API-Download für Covid19-Inzidenzen in SK Bottrop, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,14.43,,,,19.99,,,16.59,,,
2020-KW12,,,,,,15.14,13.61,43.29,14.43,13.99,21.18,29.98,10.93,,16.59,,,
2020-KW13,,,,,49.98,30.28,27.21,28.86,28.87,,21.18,39.98,10.93,,16.59,21.49,,
2020-KW14,,,,,,15.14,13.61,28.86,28.87,13.99,21.18,29.98,21.86,13.06,49.78,64.47,34.81,
2020-KW15,,,20.06,18.26,33.32,30.28,,14.43,43.3,41.98,10.59,49.97,21.86,39.17,,21.49,23.2,
2020-KW16,18.55,,,18.26,33.32,60.57,,28.86,14.43,,31.78,19.99,21.86,13.06,,42.98,23.2,
2020-KW17,18.55,39.82,40.13,18.26,33.32,45.43,13.61,28.86,14.43,27.98,31.78,19.99,43.72,,49.78,21.49,11.6,
2020-KW18,18.55,,,,33.32,30.28,40.82,72.15,28.87,27.98,21.18,19.99,,13.06,16.59,21.49,11.6,
2020-KW19,,,,36.53,16.66,15.14,,14.43,,13.99,31.78,,,26.12,16.59,,,
2020-KW20,37.09,19.91,,,,30.28,13.61,,,,,,10.93,,,,,
2020-KW21,,,,,,,27.21,,14.43,13.99,,9.99,21.86,,,,,
2020-KW22,,,,,16.66,15.14,,,,,10.59,,21.86,,,,,
2020-KW23,,,,,16.66,15.14,27.21,,,,,,10.93,,,,,
2020-KW24,18.55,,,18.26,33.32,15.14,,14.43,,,10.59,,,,,,,
2020-KW25,,,,,16.66,,,,,,,,,,,,,
2020-KW27,,,,18.26,,15.14,13.61,,14.43,13.99,10.59,,,,,21.49,,
2020-KW28,37.09,19.91,,18.26,,,,,,13.99,,,,,,,,
2020-KW29,,19.91,,,,,40.82,28.86,,,,,,,,,,
2020-KW30,,39.82,20.06,,33.32,15.14,27.21,72.15,,13.99,,29.98,,13.06,16.59,,,
2020-KW31,,,20.06,,83.29,60.57,13.61,14.43,43.3,,52.96,,,,,,11.6,
2020-KW32,18.55,19.91,,,16.66,30.28,27.21,14.43,28.87,,10.59,,,,16.59,,,
2020-KW33,18.55,,20.06,18.26,33.32,15.14,,,,27.98,10.59,,,,,,,
2020-KW34,,,,,,15.14,,14.43,14.43,27.98,,,,,,,,
2020-KW35,,19.91,20.06,,,,13.61,28.86,,,10.59,9.99,10.93,,,,,
2020-KW36,,19.91,,18.26,33.32,30.28,,14.43,,,10.59,,,,,21.49,11.6,
2020-KW37,,,,,33.32,30.28,,,,13.99,10.59,,10.93,,,21.49,,
2020-KW38,,,,18.26,,15.14,27.21,,14.43,13.99,10.59,9.99,,,33.18,,,
2020-KW39,,,60.19,,66.63,45.43,27.21,14.43,,41.98,42.37,,10.93,,,,,
2020-KW40,55.64,19.91,,54.79,183.24,60.57,54.43,28.86,14.43,,10.59,9.99,,,16.59,,,
2020-KW41,,59.74,20.06,,66.63,,81.64,43.29,,13.99,10.59,,,13.06,33.18,,,
2020-KW42,37.09,,,36.53,99.95,136.28,149.68,43.29,72.17,55.97,42.37,89.95,43.72,,,21.49,,
2020-KW43,18.55,19.91,140.45,219.18,266.53,333.13,68.04,101.01,72.17,125.93,116.51,49.97,54.64,13.06,49.78,21.49,11.6,
2020-KW44,129.82,139.39,140.45,237.44,483.09,454.27,244.93,259.74,173.21,377.78,169.47,199.88,174.86,130.58,182.51,214.92,34.81,
2020-KW45,55.64,19.91,140.45,292.24,449.78,408.84,258.54,245.31,245.38,433.75,158.88,209.87,131.15,143.64,132.74,107.46,92.82,
2020-KW46,37.09,19.91,200.64,347.03,283.19,181.71,244.93,274.17,331.99,223.87,222.43,79.95,163.93,91.41,165.92,107.46,116.02,
2020-KW47,,39.82,80.26,310.5,333.17,287.7,312.97,216.45,288.68,307.82,243.62,249.85,196.72,91.41,149.33,64.47,116.02,
2020-KW48,,99.56,260.83,328.77,333.17,211.99,190.5,187.59,202.08,265.85,190.66,209.87,98.36,104.47,116.14,,104.42,
2020-KW49,,19.91,160.51,127.85,449.78,211.99,231.32,288.6,216.51,139.92,148.29,169.9,142.08,91.41,116.14,150.44,162.43,
2020-KW50,92.73,199.12,180.58,420.09,316.51,257.42,204.11,375.18,303.12,419.76,328.36,239.86,109.29,65.29,149.33,64.47,127.63,
2020-KW51,148.37,99.56,100.32,273.97,366.48,287.7,299.36,230.88,331.99,195.89,201.25,169.9,273.22,78.35,199.1,128.95,197.24,
2020-KW52,111.28,59.74,80.26,182.65,249.88,196.85,204.11,187.59,375.29,279.84,201.25,179.89,185.79,104.47,132.74,150.44,92.82,
2020-KW53,,59.74,60.19,146.12,183.24,227.14,163.29,129.87,288.68,181.89,116.51,109.93,131.15,26.12,82.96,42.98,81.22,
2021-KW01,37.09,39.82,20.06,127.85,366.48,242.28,272.15,173.16,202.08,223.87,222.43,219.87,163.93,117.52,232.29,322.37,614.92,
2021-KW02,18.55,39.82,100.32,182.65,283.19,348.27,244.93,303.03,187.64,209.88,211.84,199.88,174.86,78.35,99.55,257.9,243.65,
2021-KW03,55.64,19.91,20.06,146.12,216.56,211.99,149.68,187.59,202.08,181.89,127.11,179.89,109.29,39.17,116.14,193.42,313.26,
2021-KW04,,19.91,80.26,109.59,149.93,121.14,149.68,57.72,115.47,181.89,95.33,99.94,87.43,78.35,82.96,150.44,348.07,
2021-KW05,74.18,39.82,40.13,18.26,33.32,106.0,95.25,101.01,57.74,139.92,63.55,49.97,65.57,65.29,16.59,21.49,104.42,
2021-KW06,37.09,19.91,20.06,18.26,99.95,75.71,54.43,86.58,129.91,83.95,63.55,9.99,21.86,26.12,49.78,,162.43,
2021-KW07,,39.82,,73.06,116.61,121.14,122.47,72.15,101.04,139.92,63.55,99.94,54.64,52.23,66.37,42.98,46.41,
2021-KW08,18.55,19.91,20.06,54.79,49.98,75.71,68.04,72.15,101.04,55.97,52.96,39.98,32.79,,33.18,64.47,23.2,
2021-KW09,,,60.19,18.26,16.66,30.28,95.25,14.43,57.74,41.98,21.18,59.96,21.86,13.06,16.59,42.98,69.61,
2021-KW10,37.09,19.91,,18.26,66.63,60.57,81.64,101.01,57.74,13.99,31.78,99.94,,26.12,16.59,,46.41,
2021-KW11,74.18,39.82,80.26,219.18,299.85,211.99,149.68,28.86,115.47,139.92,95.33,79.95,32.79,26.12,99.55,21.49,23.2,
2021-KW12,166.91,199.12,220.71,237.44,283.19,181.71,163.29,144.3,202.08,223.87,148.29,69.96,65.57,26.12,66.37,42.98,,
2021-KW13,111.28,79.65,60.19,237.44,233.22,121.14,136.07,144.3,86.61,167.9,148.29,49.97,54.64,104.47,33.18,42.98,34.81,
2021-KW14,18.55,59.74,20.06,164.38,199.9,181.71,68.04,144.3,86.61,41.98,116.51,39.98,54.64,26.12,49.78,107.46,46.41,
2021-KW15,74.18,179.21,40.13,164.38,166.58,136.28,163.29,187.59,101.04,251.85,127.11,89.95,54.64,26.12,,64.47,46.41,
2021-KW16,92.73,179.21,220.71,310.5,216.56,242.28,217.72,202.02,245.38,251.85,84.74,129.92,76.5,26.12,82.96,64.47,11.6,
2021-KW17,92.73,278.77,140.45,164.38,349.83,121.14,176.89,288.6,144.34,125.93,127.11,119.93,98.36,52.23,82.96,42.98,34.81,
2021-KW18,111.28,99.56,300.96,383.56,149.93,106.0,95.25,144.3,158.78,181.89,137.7,89.95,98.36,39.17,49.78,,81.22,
2021-KW19,37.09,59.74,80.26,200.91,83.29,90.85,40.82,115.44,115.47,83.95,116.51,9.99,32.79,13.06,49.78,64.47,92.82,
2021-KW20,55.64,59.74,120.39,164.38,199.9,121.14,54.43,72.15,115.47,97.94,105.92,59.96,,26.12,16.59,21.49,58.01,
2021-KW21,,,40.13,18.26,83.29,15.14,81.64,57.72,72.17,55.97,21.18,29.98,21.86,26.12,33.18,21.49,11.6,
