# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-12-20 07:42:05
# API-Download für Covid19-Inzidenzen in SK Brandenburg a.d.Havel, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,40.33,,,,,,,,,,,
2020-KW12,,,,,,,,,45.17,57.56,,16.63,17.4,,,,,
2020-KW13,,,,39.08,31.87,33.15,20.17,,,28.78,21.37,,34.81,,,,,
2020-KW14,,31.67,,39.08,63.74,132.62,40.33,80.04,22.58,,,16.63,,,,,13.41,
2020-KW15,,,,39.08,31.87,99.46,,,,28.78,21.37,49.9,17.4,,,,13.41,
2020-KW16,,,,,31.87,,,20.01,,28.78,,,,,26.37,,,
2020-KW17,,,,,31.87,,,,22.58,,,16.63,17.4,,,26.24,13.41,
2020-KW18,,,,,,33.15,,20.01,,,42.75,,,,,,,
2020-KW19,,,,,,,,,,,,,,,,26.24,,
2020-KW21,,,,,,33.15,,,,,,,,,,,,
2020-KW24,,,,,,33.15,20.17,20.01,,,,,,,,,,
2020-KW25,,,,,31.87,,,,,,,,,,,,,
2020-KW33,,,,,31.87,,,,,,,,,,,,,
2020-KW34,,,34.2,,,,20.17,,,,21.37,,,,,,,
2020-KW35,,,,,,33.15,,,,,,,,,,,,
2020-KW36,,,,,,,,,,28.78,,,,,,,,
2020-KW37,,,,,,,20.17,,,,,,,,,,,
2020-KW38,,,,,,33.15,,,,,,,,,26.37,26.24,,
2020-KW39,,,34.2,,,,,,,,42.75,,,,,,,
2020-KW40,,,,,31.87,,20.17,,,,21.37,,,,,,,
2020-KW41,,,68.39,78.16,,,,,22.58,,,,,,,,,
2020-KW42,,,,,31.87,,20.17,,,,,33.27,,,,26.24,13.41,
2020-KW43,,,,273.54,31.87,198.92,100.83,60.03,90.33,143.91,106.87,83.17,34.81,38.56,,26.24,,
2020-KW44,,95.0,34.2,195.39,31.87,198.92,20.17,80.04,45.17,,106.87,16.63,52.21,96.4,52.73,,26.82,
2020-KW45,,,34.2,156.31,223.09,,20.17,20.01,22.58,115.12,85.49,49.9,17.4,19.28,52.73,,13.41,
