# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-09-19 08:50:50
# API-Download für Covid19-Inzidenzen in SK Coburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW12,,62.73,,58.22,113.86,,,76.65,,47.56,33.19,30.9,,,,,29.56,
2020-KW13,,,,58.22,,37.39,,38.33,134.63,142.67,,61.8,,,45.17,,,
2020-KW14,,,,58.22,113.86,,,38.33,,,,,32.66,,,57.6,29.56,
2020-KW15,,,62.64,58.22,,,34.09,,,47.56,33.19,61.8,,,,,,
2020-KW16,,,62.64,,189.77,,34.09,38.33,,,,30.9,65.32,81.93,,57.6,,
2020-KW17,,,,,37.95,,,,,,66.38,30.9,,,,,29.56,
2020-KW18,,,,,37.95,,34.09,,44.88,,33.19,,,,,57.6,59.12,
2020-KW19,,,,,37.95,,,,,,,,,,,57.6,,
2020-KW20,,,,,37.95,,,,,,,30.9,,,,,29.56,
2020-KW21,,,62.64,,37.95,37.39,34.09,,44.88,47.56,33.19,30.9,65.32,81.93,,,,
2020-KW22,,,,,37.95,,,38.33,,,33.19,,32.66,40.97,45.17,57.6,29.56,
2020-KW23,,,,58.22,,37.39,68.18,76.65,44.88,,,,,,,,29.56,
2020-KW24,,,,,,,,38.33,44.88,,33.19,,,,,,,
2020-KW25,,,62.64,,,,,,44.88,47.56,,,32.66,,,,29.56,
2020-KW26,,,,,,,,,44.88,,,61.8,97.98,40.97,,57.6,88.68,
2020-KW27,,,,,37.95,,,,,,,,,,,,,
2020-KW29,,62.73,,58.22,,,,38.33,,,,,,,,,,
2020-KW31,,,,,75.91,,,,,,,30.9,,,,,,
2020-KW32,,,,58.22,,,,,,,,,,,,,,
2020-KW33,,,,,,,,38.33,,,,,,,,,,
2020-KW34,,,,,75.91,74.79,,,,47.56,,30.9,,,,,,
2020-KW35,,,,,,,34.09,,,,,,,,,,,
2020-KW36,57.1,,,58.22,37.95,,,,44.88,,,,,,,,,
2020-KW37,,,,,37.95,,,38.33,,,,,,,,,,
2020-KW38,,,62.64,,,37.39,,38.33,89.76,47.56,,,,,,,,
2020-KW39,,,,,,,68.18,,,,,,,,,,,
2020-KW40,,,,,37.95,,,38.33,,,,,,,,,,
2020-KW41,,,,,37.95,37.39,,,,,,,,,,,29.56,
2020-KW42,57.1,,,58.22,75.91,,,,,,66.38,,,81.93,,,,
2020-KW43,,62.73,62.64,58.22,113.86,112.18,136.37,114.98,44.88,47.56,33.19,30.9,65.32,,90.34,57.6,,
2020-KW44,57.1,62.73,,174.67,37.95,112.18,136.37,76.65,89.76,47.56,165.96,92.71,32.66,81.93,45.17,115.19,29.56,
2020-KW45,,,,58.22,341.59,261.76,68.18,38.33,44.88,190.23,99.58,154.51,97.98,122.9,45.17,57.6,88.68,
2020-KW46,57.1,,,116.45,37.95,149.57,136.37,76.65,44.88,47.56,199.15,123.61,32.66,40.97,90.34,57.6,88.68,
2020-KW47,,62.73,62.64,116.45,265.68,336.54,272.74,229.95,179.51,237.78,165.96,278.12,65.32,81.93,,57.6,29.56,
2020-KW48,,125.45,125.27,232.9,265.68,149.57,170.46,268.28,134.63,190.23,165.96,123.61,163.29,40.97,45.17,57.6,147.8,
2020-KW49,114.2,125.45,313.19,407.57,189.77,448.72,272.74,268.28,224.39,190.23,265.54,185.41,293.93,81.93,,345.57,88.68,
2020-KW50,114.2,313.63,62.64,291.12,341.59,299.15,375.01,114.98,269.27,237.78,265.54,216.32,228.61,163.87,45.17,230.38,236.48,
2020-KW51,628.12,501.8,125.27,291.12,379.54,411.33,579.56,536.55,538.54,618.24,331.92,309.02,293.93,245.8,90.34,230.38,502.51,
2020-KW52,228.41,250.9,125.27,582.24,151.82,411.33,443.19,421.58,538.54,760.91,298.73,648.95,228.61,409.67,587.24,345.57,1950.93,
2020-KW53,57.1,439.08,187.91,232.9,531.36,411.33,272.74,498.23,359.03,428.01,365.11,463.54,424.56,163.87,271.03,345.57,1300.62,
2021-KW01,399.71,62.73,125.27,174.67,493.41,224.36,306.83,153.3,224.39,618.24,365.11,247.22,97.98,122.9,45.17,287.98,1211.94,
