# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-08-13 05:57:06
# API-Download für Covid19-Inzidenzen in SK Cottbus, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,23.39,,,,,36.34,13.83,15.36,,,42.39,23.85,26.88,13.96,,,,
2020-KW12,,,,,20.21,,27.67,30.72,19.0,,,11.92,40.32,13.96,,,,
2020-KW13,,,,,,,,,,19.13,14.13,11.92,13.44,13.96,,16.63,11.77,
2020-KW14,,,,,,,13.83,,,,,11.92,,,,,11.77,
2020-KW15,,,,,,,,,,,,,,,23.16,,,
2020-KW16,,,,26.12,,18.17,13.83,,,,,11.92,,,,,,
2020-KW30,,24.0,26.12,,,,27.67,,,,,,,,,,,
2020-KW33,,,,,20.21,,,,,,,,,,,,,
2020-KW34,,,,,,,,,,,,,,,23.16,,,
2020-KW37,,,,,20.21,,13.83,,,,,,,,,,,
2020-KW38,,,,,20.21,,,,,,,,,,,,,
2020-KW39,,,,,40.41,,,,,,,,,,,,,
2020-KW40,,,,26.12,20.21,18.17,41.5,,,,,,13.44,,,,,
2020-KW41,,24.0,,104.49,60.62,36.34,69.17,30.72,19.0,19.13,28.26,11.92,26.88,13.96,,,,
2020-KW42,23.39,,26.12,26.12,20.21,90.86,83.0,46.08,76.02,76.51,42.39,23.85,67.2,41.88,,66.5,47.08,
2020-KW43,23.39,24.0,130.62,208.99,80.82,72.69,124.5,46.08,152.03,114.77,98.91,95.39,53.76,97.72,,66.5,141.23,
2020-KW44,70.16,48.01,52.25,52.25,222.27,181.72,110.67,138.23,114.03,95.64,113.04,95.39,174.71,209.41,46.32,66.5,117.69,
2020-KW45,46.77,,52.25,52.25,40.41,18.17,41.5,122.87,95.02,76.51,70.65,47.69,67.2,,46.32,33.25,,
2020-KW46,23.39,480.08,156.74,78.37,40.41,72.69,55.33,184.3,76.02,95.64,113.04,59.62,80.63,27.92,,33.25,94.15,
2020-KW47,46.77,240.04,391.85,156.74,141.44,181.72,110.67,230.38,152.03,172.15,197.82,155.0,228.46,125.65,46.32,116.38,388.37,
2020-KW48,116.93,192.03,287.36,78.37,121.24,18.17,55.33,107.51,152.03,95.64,84.78,83.46,94.07,41.88,23.16,83.13,329.53,
2020-KW49,93.55,120.02,208.99,208.99,121.24,218.06,193.66,107.51,361.08,133.89,113.04,298.08,134.39,97.72,185.27,166.25,882.66,
2020-KW50,23.39,48.01,235.11,235.11,60.62,127.2,69.17,122.87,133.03,210.41,84.78,95.39,94.07,41.88,115.79,166.25,329.53,
2020-KW51,116.93,312.05,522.47,548.59,424.33,399.78,345.83,353.25,456.1,286.92,395.65,369.62,376.29,321.09,208.43,232.75,388.37,
2020-KW52,350.8,576.09,496.34,809.82,626.39,363.44,359.66,583.63,722.16,535.58,678.25,691.55,618.2,223.37,440.02,399.0,741.44,
2020-KW53,116.93,336.05,287.36,235.11,343.5,417.95,276.66,353.25,456.1,573.83,494.56,429.24,376.29,321.09,347.38,216.13,470.75,
2021-KW01,397.57,456.07,391.85,757.58,484.95,363.44,663.99,583.63,532.12,707.73,621.73,870.39,927.29,432.78,555.81,349.13,882.66,
2021-KW02,304.02,288.05,287.36,444.1,525.36,363.44,484.16,460.76,722.16,592.96,480.43,631.93,456.93,181.49,185.27,299.25,941.51,
