# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-03-06 07:56:24
# API-Download für Covid19-Inzidenzen in SK Delmenhorst, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW06,,,,,,,,,,,,16.1,,,,,,
2020-KW11,,,,,,,,,,21.38,17.4,32.19,,,,,,
2020-KW12,,,,,23.38,,20.33,,,,34.79,16.1,,,,,,
2020-KW13,,,,51.43,,,,65.32,,,17.4,16.1,37.76,,,,18.03,
2020-KW14,24.06,,,51.43,,21.98,,,,,,,,,49.48,30.51,,
2020-KW15,,,,,,,,,22.5,,,,,,24.74,,18.03,
2020-KW16,,,,,,21.98,,,45.0,,,,18.88,45.52,24.74,,18.03,
2020-KW17,,,,,,21.98,,21.77,,,17.4,48.29,,22.76,,,,
2020-KW18,,,,,,21.98,,,,,,,18.88,,,,,
2020-KW19,,,,,46.76,,,,22.5,,,16.1,18.88,,,,,
2020-KW20,,,,,,21.98,,,,,,16.1,,,,,,
2020-KW21,,,,,23.38,65.94,20.33,43.55,,,,,,22.76,,,,
2020-KW22,,,,,,21.98,20.33,21.77,,21.38,34.79,,18.88,,,,,
2020-KW23,24.06,,27.44,51.43,23.38,,40.65,43.55,22.5,,34.79,16.1,,,,,,
2020-KW24,,,,,,21.98,,,,,,,,45.52,,,,
2020-KW25,,,,,,,,,,42.77,,,,,,,,
2020-KW26,,51.95,137.21,,,87.92,40.65,21.77,45.0,64.15,17.4,,,22.76,24.74,61.01,18.03,
2020-KW27,,,27.44,,,,,,,21.38,,,18.88,,,,,
2020-KW28,,,54.88,,23.38,21.98,40.65,21.77,22.5,,,,18.88,,,,,
2020-KW30,,,,,,,20.33,21.77,,,17.4,,,,,,,
2020-KW32,,25.98,,,23.38,,,,,,,,,,,,,
2020-KW33,,,,25.71,,,,21.77,45.0,42.77,17.4,,,,,,18.03,
2020-KW34,,25.98,,,,,20.33,21.77,22.5,21.38,,,,,,,,
2020-KW35,,25.98,,,23.38,,20.33,,,21.38,17.4,,,22.76,,,,
2020-KW36,,,,25.71,23.38,21.98,40.65,,,21.38,17.4,,,,,,,
2020-KW37,24.06,,27.44,51.43,,175.85,20.33,21.77,,21.38,34.79,,,22.76,,,,
2020-KW38,24.06,,,,23.38,,20.33,,,,,,,,,,,
2020-KW39,,,,51.43,23.38,,,,,,,,,,,,,
2020-KW40,24.06,,,,116.9,43.96,,43.55,45.0,128.31,17.4,,37.76,,,,,
2020-KW41,,25.98,27.44,179.99,257.17,241.79,121.95,130.64,134.99,213.84,156.57,64.39,113.29,45.52,49.48,,18.03,
2020-KW42,48.12,103.91,301.87,437.13,537.72,439.62,243.9,326.61,202.49,363.53,260.95,160.97,151.05,91.04,74.23,61.01,36.06,
2020-KW43,72.18,129.88,54.88,411.42,677.99,527.55,406.5,391.93,359.98,235.23,243.55,193.16,169.93,22.76,49.48,61.01,72.12,
2020-KW44,24.06,51.95,54.88,488.56,677.99,351.7,142.28,108.87,202.49,235.23,173.96,177.07,151.05,136.56,74.23,122.03,180.31,
2020-KW45,24.06,103.91,82.33,334.28,444.2,483.59,203.25,261.29,112.49,213.84,313.13,338.04,75.52,68.28,123.71,91.52,90.16,
2020-KW46,72.18,,82.33,128.57,233.79,109.91,365.85,195.96,202.49,128.31,173.96,112.68,75.52,45.52,123.71,30.51,180.31,
2020-KW47,24.06,,,179.99,280.55,329.72,142.28,195.96,202.49,128.31,121.77,177.07,94.4,113.8,24.74,91.52,324.56,
2020-KW48,24.06,,,154.28,187.03,109.91,142.28,130.64,134.99,128.31,139.17,96.58,56.64,136.56,24.74,122.03,108.19,
2020-KW49,,51.95,54.88,205.71,327.31,439.62,487.8,479.02,157.49,256.61,156.57,128.78,113.29,22.76,74.23,61.01,72.12,
2020-KW50,48.12,51.95,27.44,77.14,187.03,197.83,223.58,217.74,269.99,85.54,121.77,160.97,56.64,68.28,123.71,61.01,126.22,
2020-KW51,72.18,25.98,54.88,77.14,233.79,241.79,203.25,152.42,247.49,278.0,191.36,305.84,75.52,91.04,197.94,152.53,288.5,
