# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-03-12 08:04:00
# API-Download für Covid19-Inzidenzen in SK Dortmund, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,,,5.1,,,,,
2020-KW11,,,,,,2.35,7.0,2.61,,8.66,7.2,6.71,,3.03,3.65,,,
2020-KW12,,,,10.82,13.58,37.58,39.68,36.47,27.52,28.86,67.15,35.77,25.51,15.13,10.96,,7.5,
2020-KW13,,,,18.03,21.73,14.09,11.67,13.03,13.76,40.41,40.77,15.65,40.81,9.08,14.61,4.7,5.0,
2020-KW14,10.23,,,,16.3,51.68,35.01,44.29,30.27,37.52,38.37,29.06,25.51,15.13,29.22,32.89,14.99,
2020-KW15,,,7.57,18.03,35.32,25.84,23.34,10.42,30.27,37.52,31.18,33.53,30.61,24.21,25.56,23.5,14.99,
2020-KW16,,,,10.82,13.58,11.74,2.33,10.42,11.01,17.32,9.59,6.71,2.55,18.16,18.26,9.4,5.0,
2020-KW17,3.41,,3.78,,8.15,16.44,30.34,15.63,16.51,8.66,21.59,6.71,,3.03,10.96,4.7,7.5,
2020-KW18,,,,,13.58,4.7,9.34,,5.5,,9.59,6.71,5.1,12.11,,14.1,,
2020-KW19,,3.52,3.78,,2.72,7.05,,7.82,8.26,,2.4,2.24,2.55,6.05,3.65,4.7,,
2020-KW20,,,,,10.87,2.35,4.67,2.61,,2.89,2.4,,,3.03,,4.7,2.5,
2020-KW21,,,,,,,,,,,,6.71,2.55,,,,2.5,
2020-KW22,,,,,2.72,4.7,2.33,,,,,2.24,,,,,,
2020-KW23,3.41,3.52,,7.21,21.73,21.14,18.67,5.21,2.75,17.32,11.99,2.24,5.1,,3.65,4.7,5.0,
2020-KW24,,,,,16.3,16.44,2.33,20.84,8.26,5.77,4.8,6.71,5.1,6.05,,9.4,14.99,
2020-KW25,,3.52,15.13,14.42,16.3,14.09,9.34,5.21,8.26,20.2,9.59,6.71,7.65,6.05,14.61,14.1,22.49,
2020-KW26,6.82,10.56,7.57,18.03,10.87,23.49,16.34,10.42,5.5,17.32,28.78,13.41,7.65,3.03,3.65,14.1,2.5,
2020-KW27,30.69,10.56,11.35,10.82,24.45,21.14,21.01,10.42,11.01,20.2,7.2,6.71,7.65,,,,2.5,
2020-KW28,13.64,3.52,,3.61,10.87,18.79,18.67,10.42,8.26,8.66,14.39,4.47,,,3.65,,7.5,
2020-KW29,3.41,3.52,,18.03,21.73,18.79,7.0,15.63,16.51,11.55,7.2,8.94,2.55,,18.26,14.1,,
2020-KW30,6.82,7.04,7.57,7.21,10.87,4.7,4.67,7.82,16.51,11.55,9.59,8.94,5.1,12.11,,4.7,,
2020-KW31,,24.65,18.91,32.45,21.73,18.79,9.34,13.03,24.77,17.32,14.39,13.41,15.3,6.05,14.61,18.8,5.0,
2020-KW32,,17.61,15.13,18.03,24.45,21.14,16.34,28.66,27.52,20.2,21.59,11.18,7.65,15.13,7.3,4.7,24.99,
2020-KW33,3.41,17.61,49.18,32.45,46.19,23.49,23.34,23.45,22.02,37.52,16.79,11.18,5.1,6.05,,9.4,,
2020-KW34,20.46,7.04,45.39,25.24,27.17,37.58,16.34,20.84,13.76,11.55,9.59,11.18,5.1,6.05,,,7.5,
2020-KW35,,7.04,15.13,21.64,29.89,39.93,11.67,10.42,5.5,5.77,7.2,2.24,5.1,6.05,3.65,,,
2020-KW36,10.23,10.56,11.35,90.15,43.47,16.44,9.34,10.42,8.26,20.2,14.39,11.18,10.2,,,4.7,,
2020-KW37,3.41,10.56,11.35,39.67,16.3,14.09,7.0,13.03,19.26,11.55,7.2,8.94,2.55,,,4.7,2.5,
2020-KW38,3.41,,11.35,43.27,21.73,42.28,11.67,13.03,24.77,28.86,35.98,8.94,,6.05,7.3,14.1,2.5,
