# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-07-30 05:57:52
# API-Download für Covid19-Inzidenzen in SK Düsseldorf, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,2.05,,2.15,2.47,,,,,,,,,
2020-KW11,,,,,5.92,4.09,5.65,4.3,4.95,4.86,4.13,4.54,2.84,,,7.65,2.56,
2020-KW12,,,7.62,,11.83,36.85,79.06,62.38,29.7,60.72,37.18,36.31,19.85,13.53,3.99,3.83,7.69,
2020-KW13,,,,7.99,8.87,24.56,39.53,25.81,24.75,46.14,35.11,40.85,39.7,33.83,23.97,34.43,17.94,
2020-KW14,3.18,7.18,7.62,4.0,26.62,38.89,45.18,38.72,37.12,46.14,68.16,54.46,39.7,50.75,11.98,61.2,28.19,
2020-KW15,,3.59,,7.99,23.67,34.8,39.53,34.42,42.07,26.72,47.51,47.66,39.7,13.53,7.99,38.25,20.5,
2020-KW16,6.37,3.59,,7.99,29.58,28.66,39.53,27.96,24.75,14.57,26.85,22.69,25.52,23.68,23.97,19.13,20.5,
2020-KW17,3.18,,7.62,7.99,8.87,14.33,16.94,19.36,9.9,9.71,24.79,4.54,8.51,6.77,11.98,7.65,12.81,
2020-KW18,12.74,14.36,11.43,19.98,23.67,36.85,26.35,15.06,24.75,12.14,16.52,6.81,17.01,10.15,3.99,3.83,10.25,
2020-KW19,19.1,17.95,,11.99,53.25,24.56,20.71,8.6,7.42,4.86,14.46,20.42,14.18,10.15,3.99,,12.81,
2020-KW20,15.92,17.95,11.43,23.98,23.67,18.42,15.06,19.36,27.22,17.0,16.52,9.08,8.51,6.77,7.99,,17.94,
2020-KW21,6.37,7.18,7.62,19.98,32.54,10.24,13.18,10.76,14.85,12.14,10.33,4.54,2.84,,7.99,15.3,43.56,
2020-KW22,,3.59,11.43,15.99,23.67,16.38,11.29,15.06,4.95,7.29,20.66,6.81,19.85,10.15,7.99,11.48,41.0,
2020-KW23,3.18,3.59,,,2.96,14.33,5.65,2.15,7.42,2.43,12.39,6.81,2.84,,3.99,7.65,33.31,
2020-KW24,6.37,14.36,11.43,11.99,17.75,12.28,9.41,8.6,7.42,12.14,8.26,9.08,5.67,3.38,,19.13,20.5,
2020-KW25,19.1,28.72,7.62,51.95,17.75,18.42,15.06,15.06,19.8,21.86,6.2,15.89,14.18,3.38,7.99,7.65,15.37,
2020-KW26,15.92,32.31,22.87,15.99,41.42,14.33,26.35,15.06,24.75,36.43,20.66,20.42,8.51,3.38,15.98,15.3,15.37,
2020-KW27,38.21,17.95,22.87,11.99,35.5,26.61,16.94,38.72,37.12,24.29,26.85,20.42,8.51,,15.98,11.48,35.87,
2020-KW28,,7.18,,19.98,2.96,6.14,9.41,2.15,2.47,14.57,4.13,11.35,,6.77,3.99,3.83,12.81,
2020-KW29,6.37,,,4.0,8.87,16.38,18.82,8.6,,4.86,2.07,,5.67,6.77,7.99,3.83,12.81,
2020-KW30,3.18,7.18,7.62,11.99,20.71,16.38,11.29,15.06,7.42,2.43,6.2,13.62,8.51,6.77,3.99,,2.56,
2020-KW31,19.1,7.18,26.68,35.97,29.58,16.38,24.47,15.06,24.75,12.14,16.52,9.08,11.34,6.77,7.99,3.83,7.69,
2020-KW32,22.29,17.95,15.24,31.97,23.67,32.75,18.82,8.6,24.75,26.72,28.92,15.89,19.85,,7.99,,5.12,
2020-KW33,9.55,25.13,41.92,39.96,44.37,36.85,18.82,17.21,27.22,19.43,28.92,11.35,11.34,3.38,11.98,,10.25,
2020-KW34,9.55,14.36,15.24,39.96,35.5,45.04,32.0,36.57,12.37,34.0,22.72,11.35,14.18,,3.99,3.83,20.5,
2020-KW35,6.37,7.18,19.05,91.92,41.42,36.85,20.71,17.21,7.42,21.86,22.72,6.81,5.67,3.38,11.98,,5.12,
2020-KW36,6.37,,7.62,31.97,35.5,26.61,11.29,32.27,7.42,17.0,10.33,15.89,5.67,13.53,3.99,15.3,2.56,
2020-KW37,3.18,7.18,11.43,31.97,23.67,26.61,28.24,19.36,22.27,2.43,16.52,11.35,14.18,10.15,3.99,7.65,12.81,
2020-KW38,15.92,14.36,3.81,27.98,41.42,32.75,33.88,25.81,17.32,21.86,18.59,20.42,8.51,3.38,,19.13,17.94,
2020-KW39,3.18,14.36,11.43,43.96,73.96,47.08,35.77,17.21,42.07,24.29,18.59,31.77,14.18,3.38,7.99,19.13,23.06,
2020-KW40,6.37,3.59,19.05,35.97,62.12,47.08,30.12,34.42,42.07,36.43,35.11,18.15,11.34,23.68,27.96,22.95,38.43,
2020-KW41,3.18,35.91,19.05,71.94,82.83,67.55,80.94,73.13,71.77,82.57,72.29,43.12,36.86,13.53,23.97,11.48,28.19,
2020-KW42,35.02,21.54,41.92,111.9,130.16,165.81,118.59,101.1,89.09,60.72,86.75,86.24,59.55,43.98,31.95,53.55,38.43,
2020-KW43,60.5,57.45,60.98,143.87,260.32,243.6,186.36,187.14,207.87,157.86,128.06,122.55,110.59,74.43,79.88,80.33,163.99,
2020-KW44,105.07,118.49,133.38,287.75,313.57,323.44,289.89,251.67,254.89,221.01,229.27,174.74,161.63,145.49,127.82,99.45,153.74,
2020-KW45,31.84,35.91,110.52,271.76,331.32,294.78,203.3,169.93,193.03,267.15,192.09,170.2,104.92,125.19,79.88,87.98,156.3,
2020-KW46,79.6,129.26,171.49,315.72,254.41,212.9,224.01,195.74,227.67,223.44,179.7,179.28,136.11,77.82,99.86,84.15,140.93,
2020-KW47,41.39,114.9,137.2,239.79,168.62,141.25,141.18,152.72,188.08,148.15,140.46,149.78,124.77,108.27,103.85,87.98,163.99,
2020-KW48,25.47,43.09,110.52,203.82,147.91,118.73,146.83,107.55,141.06,133.58,128.06,102.12,124.77,77.82,83.88,76.5,158.86,
2020-KW49,54.13,53.86,129.57,179.84,156.79,139.2,116.71,92.49,136.11,94.72,101.21,81.7,70.89,50.75,47.93,80.33,128.12,
2020-KW50,54.13,82.58,102.9,171.85,195.24,200.61,101.65,126.91,136.11,111.72,134.26,140.7,87.91,94.74,47.93,87.98,174.24,
2020-KW51,63.68,46.68,87.65,127.89,142.0,180.14,186.36,152.72,136.11,155.43,146.65,161.13,138.95,81.2,83.88,118.58,228.05,
2020-KW52,28.66,53.86,38.11,71.94,118.33,131.01,92.24,98.95,143.53,109.29,72.29,106.66,107.76,77.82,55.92,87.98,140.93,
2020-KW53,25.47,25.13,49.54,51.95,153.83,131.01,112.95,90.34,94.04,116.58,78.49,95.31,93.58,47.37,71.9,91.8,153.74,
2021-KW01,35.02,57.45,72.41,139.88,218.91,137.15,169.42,126.91,116.31,85.0,99.14,88.51,93.58,60.9,95.86,68.85,146.05,
2021-KW02,28.66,35.91,45.73,131.88,118.33,122.82,103.53,109.7,89.09,77.72,97.08,74.89,96.41,54.13,55.92,65.03,166.55,
2021-KW03,41.39,35.91,34.3,71.94,124.25,96.21,86.59,114.0,113.84,72.86,99.14,59.0,85.07,81.2,59.91,72.68,187.05,
2021-KW04,44.58,43.09,34.3,99.91,112.41,100.31,86.59,90.34,89.09,77.72,61.97,61.27,48.21,54.13,43.94,42.08,115.3,
2021-KW05,38.21,17.95,26.68,63.94,50.29,51.18,43.3,49.47,69.29,43.72,72.29,45.39,39.7,40.6,47.93,45.9,105.06,
2021-KW06,9.55,25.13,11.43,19.98,32.54,69.6,37.65,30.11,32.17,55.86,28.92,49.93,39.7,33.83,19.97,30.6,51.25,
2021-KW07,54.13,39.5,53.35,51.95,97.62,59.37,47.06,79.59,79.19,58.29,49.57,65.81,73.73,33.83,35.95,19.13,64.06,
2021-KW08,31.84,17.95,41.92,67.94,94.66,49.13,56.47,53.78,56.92,72.86,39.24,54.46,51.04,27.07,47.93,30.6,48.68,
2021-KW09,35.02,35.91,53.35,63.94,97.62,42.99,50.83,45.17,81.66,51.0,43.38,56.73,34.03,47.37,71.9,42.08,28.19,
2021-KW10,22.29,78.99,34.3,71.94,62.12,88.02,52.71,79.59,59.39,63.15,66.1,74.89,48.21,64.28,43.94,30.6,56.37,
2021-KW11,31.84,71.81,53.35,95.92,133.12,81.88,54.59,75.29,96.51,51.0,84.69,54.46,62.38,47.37,55.92,57.38,46.12,
2021-KW12,50.94,82.58,167.68,159.86,91.71,126.92,109.18,103.25,136.11,111.72,97.08,97.58,82.23,54.13,67.9,53.55,38.43,
2021-KW13,73.23,114.9,99.09,67.94,147.91,106.45,116.71,133.36,108.89,109.29,95.01,88.51,102.08,67.67,59.91,38.25,56.37,
2021-KW14,98.7,147.21,121.95,131.88,168.62,110.54,137.42,163.48,190.55,145.72,115.67,97.58,56.71,81.2,107.84,68.85,66.62,
2021-KW15,114.62,165.16,156.25,315.72,236.66,219.04,193.89,154.87,195.5,150.58,119.8,97.58,104.92,111.65,63.91,65.03,51.25,
2021-KW16,175.12,165.16,297.26,307.73,233.7,174.0,171.3,167.78,155.91,199.15,167.31,113.47,136.11,91.35,87.87,91.8,76.87,
2021-KW17,105.07,168.76,194.36,187.83,236.66,157.63,126.12,144.12,168.28,211.29,140.46,129.35,104.92,64.28,63.91,76.5,69.18,
2021-KW18,85.97,157.98,240.09,159.86,153.83,106.45,109.18,126.91,153.43,104.43,99.14,93.04,107.76,37.22,67.9,45.9,69.18,
2021-KW19,50.94,100.53,125.76,155.86,118.33,85.98,80.94,90.34,74.24,75.29,82.62,52.2,62.38,37.22,39.94,11.48,23.06,
2021-KW20,57.31,125.67,144.82,127.89,59.16,49.13,67.77,77.44,89.09,68.0,45.44,47.66,68.06,23.68,23.97,11.48,23.06,
2021-KW21,35.02,64.63,95.27,83.93,32.54,40.94,65.88,51.62,54.44,31.57,37.18,13.62,31.19,20.3,15.98,15.3,10.25,
2021-KW22,35.02,57.45,72.41,79.93,23.67,26.61,18.82,49.47,42.07,19.43,22.72,15.89,17.01,3.38,3.99,3.83,12.81,
2021-KW23,6.37,14.36,41.92,23.98,11.83,18.42,18.82,10.76,27.22,14.57,14.46,11.35,17.01,,3.99,7.65,2.56,
2021-KW24,9.55,7.18,15.24,7.99,11.83,8.19,20.71,4.3,22.27,14.57,2.07,4.54,2.84,3.38,11.98,,,
2021-KW25,3.18,7.18,7.62,11.99,11.83,10.24,15.06,4.3,4.95,4.86,,2.27,,3.38,,,2.56,
2021-KW26,9.55,14.36,3.81,39.96,20.71,34.8,18.82,21.51,4.95,12.14,8.26,9.08,2.84,3.38,,3.83,2.56,
