# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-08-06 08:55:20
# API-Download für Covid19-Inzidenzen in SK Emden, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,,,25.21,26.2,,,,,29.81,
2020-KW12,,,,,,28.94,,,,,25.21,52.4,,,,,,
2020-KW14,,,,,,,,,,,,,62.58,,38.48,50.43,,
2020-KW15,,,,,,28.94,,,,,25.21,26.2,,,,,,
2020-KW16,,,,,,,,,,34.03,,,,,,,,
2020-KW17,,,,,,,,,,,,26.2,,,,,,
2020-KW18,,,,,,,,,,,,,,34.69,,,,
2020-KW19,,,,,,,,,,,,,,,,50.43,,
2020-KW20,,,,,,,,,,,,,,34.69,,,,
2020-KW28,,,,,,,,,71.43,,,,,,,,,
2020-KW32,,,,40.62,29.38,28.94,,,35.71,,,,,34.69,,,,
2020-KW33,,,,81.23,,57.87,,,35.71,,25.21,,,,,,29.81,
2020-KW34,,,,,,,31.04,34.36,,,,,,,,,,
2020-KW37,,,,,,28.94,,68.73,,,,,,,,,,
2020-KW38,,,,,29.38,,,,,,,,,,,,,
2020-KW39,,,,40.62,,28.94,,68.73,,,25.21,,,,,50.43,,
2020-KW40,,,,,,57.87,31.04,,,,,,,,,,,
2020-KW41,,,,40.62,,,,,35.71,,,,31.29,,,,,
2020-KW42,42.72,,43.84,81.23,58.75,,31.04,34.36,35.71,102.08,,,31.29,,,,,
2020-KW43,,,,81.23,117.51,57.87,124.15,,71.43,34.03,75.62,52.4,31.29,34.69,,,29.81,
2020-KW44,,,43.84,40.62,264.39,86.81,62.07,68.73,178.57,68.05,100.83,52.4,62.58,104.06,,,29.81,
2020-KW45,85.43,265.6,394.56,324.94,117.51,86.81,155.18,103.09,178.57,204.15,100.83,78.6,,69.37,,,29.81,
2020-KW46,85.43,531.21,263.04,365.56,88.13,86.81,186.22,274.91,35.71,102.08,100.83,26.2,31.29,34.69,,,,
2020-KW47,213.58,132.8,175.36,203.09,176.26,86.81,155.18,34.36,71.43,170.13,126.04,130.99,31.29,,,,29.81,
2020-KW48,170.87,44.27,43.84,,29.38,,62.07,240.55,71.43,102.08,50.42,130.99,,,38.48,,,
2020-KW49,,88.53,,40.62,,,31.04,34.36,71.43,,,26.2,31.29,34.69,,,,
2020-KW50,85.43,132.8,175.36,121.85,117.51,,62.07,68.73,35.71,102.08,25.21,,31.29,104.06,38.48,,59.61,
2020-KW51,128.15,,,121.85,29.38,28.94,93.11,68.73,35.71,,25.21,78.6,62.58,104.06,38.48,,,
2020-KW52,,,,,29.38,,31.04,,35.71,102.08,,104.79,,69.37,38.48,100.86,29.81,
2020-KW53,,44.27,43.84,40.62,117.51,,,,35.71,,50.42,,31.29,69.37,,100.86,208.64,
