# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2025-10-08 09:07:06
# API-Download für Covid19-Inzidenzen in SK Freiburg i.Breisgau, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,4.85,,13.94,,,,,,,,,
2020-KW10,,9.67,,,,,,5.79,13.94,,7.02,,7.45,,,,,
2020-KW11,,9.67,,17.94,4.76,26.78,48.47,5.79,41.83,47.59,42.13,19.72,14.89,9.08,11.15,,15.03,
2020-KW12,35.22,9.67,30.71,35.88,76.1,107.12,77.55,115.84,41.83,134.83,63.19,124.92,67.01,27.25,44.61,57.27,105.2,
2020-KW13,26.41,,51.18,26.91,47.56,89.27,82.4,115.84,62.75,126.9,161.49,111.77,74.45,63.58,78.07,128.87,187.86,
2020-KW14,8.8,,,62.8,90.37,147.29,111.48,52.13,55.78,150.69,168.51,170.94,134.02,36.33,89.23,114.55,323.11,
2020-KW15,,9.67,,26.91,42.81,62.49,101.78,23.17,48.8,63.45,105.32,111.77,74.45,36.33,66.92,143.18,383.23,
2020-KW16,8.8,,10.24,8.97,9.51,35.71,24.23,17.38,27.89,31.73,42.13,32.87,7.45,18.17,33.46,28.64,90.17,
2020-KW17,,9.67,,8.97,23.78,17.85,4.85,11.58,20.92,,7.02,6.57,22.34,,,,22.54,
2020-KW18,,,10.24,8.97,4.76,4.46,,,,,7.02,6.57,,,,,,
2020-KW19,,,,,,4.46,,11.58,,,7.02,,,,,,22.54,
2020-KW20,,9.67,,,4.76,8.93,4.85,,,,7.02,,,,,,,
2020-KW21,8.8,9.67,,,,,4.85,11.58,6.97,7.93,,6.57,7.45,,,14.32,,
2020-KW22,,,,,4.76,,4.85,,,,,,,9.08,,,,
2020-KW23,,,,,4.76,,4.85,,,,,6.57,,,,,,
2020-KW24,,,10.24,,,,,5.79,,,,,,,,,,
2020-KW25,,,,,4.76,,,,,,7.02,,,,,,,
2020-KW26,,,,,,,9.69,,,,,,,,,,,
2020-KW27,,,,,,,,,6.97,,,,,,,,,
2020-KW28,8.8,,,,9.51,,,17.38,,,7.02,,,,11.15,,,
2020-KW29,,,,8.97,,,,11.58,,15.86,7.02,,7.45,9.08,,,,
2020-KW30,,,,,,,4.85,,,,7.02,,,9.08,,,,
2020-KW31,,,,,4.76,,24.23,,6.97,,,,7.45,9.08,,,7.51,
2020-KW32,8.8,,,,14.27,17.85,,5.79,,,,6.57,7.45,9.08,,,,
2020-KW33,8.8,,,35.88,14.27,26.78,4.85,11.58,34.86,7.93,,6.57,,,,,,
2020-KW34,,,10.24,35.88,33.29,13.39,9.69,17.38,13.94,,14.04,19.72,,,,,,
2020-KW35,8.8,9.67,,26.91,23.78,22.32,24.23,11.58,6.97,23.79,14.04,,22.34,,,,,
2020-KW36,,19.35,20.47,35.88,14.27,26.78,24.23,11.58,27.89,7.93,,13.15,7.45,18.17,,,,
2020-KW37,,,20.47,44.85,33.29,,4.85,23.17,6.97,,7.02,,7.45,,,,15.03,
2020-KW38,17.61,48.37,,17.94,52.32,22.32,24.23,23.17,34.86,23.79,14.04,52.6,7.45,27.25,11.15,,,
2020-KW39,17.61,9.67,,26.91,38.05,44.63,24.23,11.58,41.83,7.93,,19.72,,9.08,11.15,,7.51,
2020-KW40,,9.67,20.47,53.82,33.29,31.24,14.54,23.17,13.94,15.86,14.04,6.57,7.45,9.08,,,7.51,
2020-KW41,8.8,19.35,61.41,80.74,38.05,49.1,38.77,40.54,34.86,47.59,42.13,19.72,14.89,,22.31,,15.03,
2020-KW42,26.41,19.35,92.12,71.77,104.64,111.58,87.24,28.96,41.83,47.59,28.08,46.02,37.23,36.33,11.15,,52.6,
2020-KW43,52.82,9.67,51.18,107.65,161.72,93.73,140.56,104.25,90.63,126.9,56.17,72.32,67.01,54.5,66.92,57.27,52.6,
2020-KW44,35.22,38.69,51.18,107.65,256.85,281.19,208.41,133.21,69.72,198.28,154.46,177.51,193.58,63.58,44.61,71.59,75.14,
2020-KW45,44.02,9.67,30.71,71.77,199.77,111.58,106.63,92.67,132.47,79.31,126.38,78.89,67.01,72.67,44.61,71.59,22.54,
2020-KW46,44.02,58.04,61.41,107.65,137.94,93.73,92.09,69.5,125.49,103.11,119.36,39.45,67.01,36.33,66.92,42.96,15.03,
2020-KW47,61.63,77.38,61.41,107.65,128.42,107.12,126.02,115.84,104.58,55.52,56.17,65.75,67.01,63.58,11.15,42.96,60.11,
