# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-12-04 07:51:31
# API-Download für Covid19-Inzidenzen in SK Hagen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,8.41,,,18.37,7.08,,7.52,,,,,
2020-KW12,,,,20.85,9.44,35.51,,,27.64,27.55,35.42,26.21,37.59,37.0,21.84,,27.92,
2020-KW13,10.01,21.51,11.08,10.43,9.44,26.63,16.82,27.47,,36.73,28.33,19.66,52.63,18.5,10.92,27.0,6.98,
2020-KW14,,,,31.28,9.44,26.63,25.23,27.47,,64.29,21.25,19.66,37.59,9.25,32.76,13.5,27.92,
2020-KW15,,,22.16,,56.65,26.63,25.23,18.31,27.64,9.18,21.25,13.1,7.52,18.5,21.84,53.99,104.69,
2020-KW16,,,,,18.88,17.75,8.41,18.31,,9.18,21.25,26.21,22.56,9.25,32.76,,55.83,
2020-KW17,,10.75,22.16,31.28,18.88,,8.41,45.79,18.43,18.37,28.33,32.76,7.52,18.5,21.84,13.5,97.71,
2020-KW18,10.01,,,20.85,28.32,,8.41,27.47,46.07,9.18,,13.1,7.52,,,13.5,6.98,
2020-KW19,30.02,21.51,66.48,52.13,18.88,17.75,,27.47,36.85,9.18,14.17,26.21,,,21.84,,,
2020-KW20,,,22.16,10.43,,,,18.31,18.43,27.55,7.08,6.55,7.52,,,,,
2020-KW21,10.01,21.51,11.08,20.85,9.44,,16.82,,,9.18,,,,,,,,
2020-KW22,,10.75,,,,8.88,,,,,,,,,,,,
2020-KW23,,,,,9.44,,,,,,,,,,,,,
2020-KW24,20.01,10.75,11.08,10.43,9.44,26.63,8.41,18.31,,18.37,7.08,6.55,,,,,,
2020-KW25,30.02,,22.16,31.28,28.32,8.88,,27.47,9.21,18.37,,6.55,,9.25,,13.5,,
2020-KW26,50.03,,33.24,31.28,18.88,44.39,42.04,36.63,18.43,9.18,,6.55,7.52,9.25,10.92,13.5,,
2020-KW27,10.01,10.75,,,18.88,8.88,8.41,18.31,9.21,18.37,,,7.52,,,,,
2020-KW28,10.01,10.75,22.16,31.28,28.32,8.88,8.41,9.16,9.21,27.55,,,15.04,,,,,
2020-KW29,,10.75,,,,8.88,16.82,27.47,27.64,9.18,,,22.56,,10.92,,6.98,
2020-KW30,20.01,21.51,66.48,31.28,,17.75,25.23,9.16,18.43,9.18,14.17,6.55,7.52,,10.92,,6.98,
2020-KW31,20.01,,11.08,31.28,37.76,,25.23,18.31,27.64,9.18,7.08,19.66,,,,13.5,6.98,
2020-KW32,20.01,,11.08,20.85,84.97,26.63,42.04,18.31,9.21,27.55,21.25,13.1,22.56,9.25,10.92,13.5,,
2020-KW33,40.03,32.26,22.16,41.71,47.2,44.39,16.82,45.79,36.85,45.92,,,7.52,9.25,10.92,27.0,20.94,
2020-KW34,50.03,32.26,22.16,20.85,9.44,8.88,25.23,64.1,18.43,18.37,,13.1,15.04,27.75,10.92,,13.96,
2020-KW35,10.01,10.75,11.08,10.43,9.44,53.26,16.82,18.31,,18.37,7.08,,7.52,,21.84,,6.98,
2020-KW36,20.01,21.51,33.24,62.56,37.76,35.51,33.63,18.31,27.64,18.37,7.08,,7.52,,10.92,,,
2020-KW37,10.01,,22.16,41.71,,26.63,25.23,27.47,18.43,18.37,21.25,6.55,7.52,18.5,21.84,13.5,,
2020-KW38,10.01,32.26,11.08,20.85,9.44,8.88,8.41,18.31,36.85,9.18,7.08,13.1,22.56,,,,,
2020-KW39,10.01,21.51,44.32,52.13,18.88,35.51,25.23,27.47,18.43,,42.5,32.76,7.52,,10.92,27.0,13.96,
2020-KW40,50.03,21.51,33.24,52.13,47.2,88.77,50.45,9.16,46.07,18.37,49.58,45.86,7.52,,,13.5,,
2020-KW41,170.11,75.28,44.32,145.97,75.53,177.55,109.31,91.57,119.77,55.1,70.83,32.76,45.11,18.5,,27.0,,
2020-KW42,40.03,32.26,77.56,114.69,113.29,142.04,75.68,54.94,36.85,36.73,77.91,65.52,37.59,37.0,21.84,13.5,6.98,
2020-KW43,70.05,107.54,88.64,125.12,151.05,142.04,134.54,128.2,165.84,101.02,127.5,104.83,52.63,74.01,65.52,161.98,132.61,
2020-KW44,90.06,193.58,243.75,490.04,349.31,346.22,285.89,265.56,294.83,238.77,269.16,229.31,165.41,101.76,87.36,53.99,153.54,
2020-KW45,150.1,193.58,265.91,417.06,557.01,319.59,227.03,302.18,359.32,284.69,347.07,203.11,157.89,111.01,141.96,148.48,139.58,
2020-KW46,60.04,290.37,409.94,500.47,424.84,292.96,260.66,293.03,285.62,293.87,219.58,131.04,120.3,74.01,152.88,148.48,153.54,
2020-KW47,100.07,301.12,487.49,396.2,415.4,292.96,277.48,283.87,322.47,229.59,240.83,137.59,105.26,166.52,131.04,107.98,188.44,
2020-KW48,90.06,236.6,321.3,417.06,368.19,239.69,243.85,173.98,257.98,303.06,219.58,157.24,135.34,129.52,76.44,121.48,355.94,
2020-KW49,110.07,311.88,409.94,427.48,453.16,337.34,260.66,320.5,248.76,385.71,290.41,268.62,157.89,185.02,141.96,215.97,397.82,
2020-KW50,80.05,215.09,310.22,229.38,339.87,355.1,210.21,238.08,239.55,229.59,240.83,196.55,142.85,64.76,65.52,94.49,258.23,
2020-KW51,100.07,129.05,99.71,229.38,273.79,239.69,218.62,210.61,119.77,266.32,233.74,137.59,172.93,74.01,131.04,202.47,321.04,
2020-KW52,80.05,96.79,55.4,114.69,264.34,337.34,243.85,164.83,202.69,211.22,198.33,176.9,142.85,194.27,120.12,121.48,369.9,
2020-KW53,50.03,21.51,22.16,62.56,113.29,150.92,134.54,137.36,73.71,119.39,120.41,65.52,120.3,64.76,43.68,148.48,181.46,
2021-KW01,130.08,129.05,144.03,208.53,349.31,186.43,235.44,173.98,101.35,146.94,162.91,137.59,90.22,129.52,87.36,175.47,216.36,
2021-KW02,120.08,75.28,210.51,93.84,179.38,177.55,168.17,128.2,147.41,137.75,177.08,183.45,105.26,74.01,87.36,148.48,369.9,
2021-KW03,60.04,161.32,243.75,239.81,188.82,221.94,277.48,192.3,156.63,165.3,226.66,163.79,157.89,138.77,141.96,40.49,265.21,
2021-KW04,140.09,182.83,132.95,187.68,273.79,363.98,193.4,256.4,193.48,192.86,184.16,294.83,180.45,148.02,120.12,148.48,307.09,
2021-KW05,60.04,96.79,177.27,218.96,188.82,177.55,92.49,146.51,119.77,183.67,106.25,157.24,165.41,138.77,152.88,80.99,209.38,
2021-KW06,70.05,75.28,155.11,156.4,141.61,115.41,67.27,54.94,82.92,202.04,219.58,58.97,90.22,64.76,54.6,94.49,146.56,
2021-KW07,40.03,96.79,66.48,125.12,132.17,124.28,126.13,109.89,64.49,128.57,85.0,157.24,75.19,46.26,76.44,94.49,76.77,
2021-KW08,50.03,43.02,88.64,135.54,132.17,142.04,84.08,54.94,110.56,146.94,141.66,65.52,105.26,83.26,65.52,107.98,104.69,
2021-KW09,110.07,129.05,66.48,104.26,141.61,213.06,176.58,146.51,46.07,156.12,120.41,65.52,105.26,,76.44,67.49,62.81,
2021-KW10,170.11,204.33,33.24,62.56,103.85,204.18,227.03,146.51,101.35,110.2,113.33,117.93,30.07,37.0,32.76,94.49,97.71,
2021-KW11,230.15,236.6,121.87,166.82,264.34,266.32,243.85,173.98,147.41,128.57,162.91,157.24,82.71,111.01,10.92,134.98,69.79,
2021-KW12,260.17,354.9,276.99,260.66,226.58,292.96,277.48,347.97,294.83,275.51,205.41,144.14,105.26,157.27,131.04,53.99,76.77,
2021-KW13,210.14,365.65,332.38,239.81,122.73,310.71,227.03,256.4,257.98,220.41,184.16,170.35,165.41,92.51,65.52,53.99,41.88,
2021-KW14,190.12,290.37,210.51,281.51,302.11,346.22,327.93,302.18,322.47,266.32,205.41,170.35,195.49,64.76,76.44,107.98,55.83,
2021-KW15,390.25,376.4,398.86,500.47,547.57,337.34,252.25,283.87,433.03,275.51,311.66,268.62,165.41,175.77,152.88,67.49,62.81,
2021-KW16,270.18,397.91,587.21,542.17,424.84,346.22,294.3,320.5,442.24,339.79,290.41,190.0,135.34,83.26,21.84,53.99,55.83,
2021-KW17,260.17,333.39,432.1,437.91,415.4,310.71,302.71,393.75,267.19,238.77,184.16,170.35,157.89,120.26,54.6,40.49,69.79,
