# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-07-11 05:57:19
# API-Download für Covid19-Inzidenzen in SK Hamburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,,,0.83,,,,1.24,,,,
2020-KW10,,,1.26,,,0.68,2.57,1.41,1.61,1.66,2.14,1.58,,2.48,,2.63,,
2020-KW11,4.0,5.87,11.32,24.88,21.4,19.86,22.47,26.8,17.66,30.64,31.34,16.6,13.29,4.95,1.39,6.57,4.64,
2020-KW12,6.0,10.57,23.89,68.41,64.19,70.53,72.55,49.36,70.65,68.74,69.08,67.97,58.26,42.12,20.87,21.04,11.14,
2020-KW13,10.01,5.87,36.46,54.73,73.1,62.31,54.57,63.47,69.85,93.59,86.17,56.11,68.48,47.07,48.7,59.17,54.78,
2020-KW14,8.0,7.05,20.12,33.59,60.62,48.62,43.66,50.07,59.41,54.66,55.55,47.42,63.37,50.79,57.05,78.89,86.34,
2020-KW15,11.01,4.7,10.06,33.59,46.36,44.51,39.8,38.08,36.13,43.07,45.58,41.89,33.73,29.73,57.05,46.02,116.05,
2020-KW16,2.0,4.7,3.77,11.2,28.53,24.65,22.47,21.16,23.28,30.64,22.08,26.87,17.37,12.39,19.48,39.45,83.56,
2020-KW17,2.0,1.17,3.77,7.46,17.83,17.12,18.62,11.28,14.45,11.59,12.11,15.02,10.22,17.34,16.7,21.04,64.06,
2020-KW18,2.0,1.17,,4.98,18.72,9.59,5.14,7.76,7.23,6.63,3.56,8.69,6.13,,2.78,14.46,23.21,
2020-KW19,,,2.51,3.73,1.78,6.85,7.06,3.53,1.61,4.14,9.26,6.32,5.11,6.19,2.78,10.52,12.07,
2020-KW20,1.0,,2.51,2.49,2.67,2.05,3.21,0.71,2.41,3.31,4.99,4.74,4.09,1.24,,2.63,4.64,
2020-KW21,3.0,,,,1.78,2.74,1.28,,,0.83,,0.79,2.04,,2.78,5.26,3.71,
2020-KW22,1.0,1.17,1.26,,,1.37,0.64,0.71,1.61,1.66,2.14,0.79,,,1.39,1.31,,
2020-KW23,1.0,,1.26,1.24,2.67,0.68,0.64,2.82,2.41,3.31,0.71,,3.07,2.48,1.39,,0.93,
2020-KW24,1.0,4.7,2.51,1.24,0.89,1.37,1.28,2.12,2.41,0.83,1.42,,,1.24,1.39,,,
2020-KW25,,,1.26,2.49,4.46,2.74,0.64,1.41,3.21,4.97,0.71,,1.02,2.48,,1.31,0.93,
2020-KW26,3.0,1.17,2.51,2.49,5.35,4.11,4.49,1.41,2.41,3.31,0.71,1.58,,2.48,2.78,3.94,1.86,
2020-KW27,2.0,,1.26,,1.78,1.37,2.57,,2.41,2.48,0.71,0.79,1.02,1.24,,,1.86,
2020-KW28,1.0,,,,0.89,2.74,,,,,2.85,,1.02,2.48,1.39,,,
2020-KW29,,,,1.24,0.89,3.42,1.93,2.12,0.8,1.66,,0.79,,,,,,
2020-KW30,2.0,5.87,6.29,7.46,2.67,3.42,7.7,7.76,4.82,7.45,4.27,3.95,3.07,1.24,4.17,,8.36,
2020-KW31,1.0,3.52,12.57,8.71,6.24,11.64,7.06,8.46,7.23,9.11,3.56,6.32,5.11,,5.57,1.31,3.71,
2020-KW32,7.0,14.09,23.89,26.12,31.2,16.43,19.26,17.63,24.89,14.08,9.97,11.85,4.09,3.72,1.39,2.63,5.57,
2020-KW33,3.0,10.57,23.89,19.9,18.72,17.12,11.56,11.99,9.63,6.63,12.82,6.32,4.09,3.72,2.78,1.31,3.71,
2020-KW34,5.0,2.35,11.32,12.44,27.64,17.8,16.69,11.99,7.23,10.77,10.68,7.11,5.11,1.24,4.17,2.63,1.86,
2020-KW35,4.0,8.22,7.54,19.9,33.88,21.91,16.05,8.46,5.62,14.08,7.12,7.11,8.18,7.43,1.39,5.26,0.93,
2020-KW36,3.0,5.87,17.6,24.88,34.77,38.35,24.4,14.1,15.25,8.28,9.26,7.11,9.2,7.43,2.78,1.31,4.64,
2020-KW37,3.0,14.09,41.49,27.37,24.07,39.03,27.61,18.33,12.85,11.59,12.82,13.44,9.2,11.15,4.17,3.94,6.5,
2020-KW38,10.01,8.22,20.12,36.07,70.43,43.82,30.82,16.22,18.47,18.22,17.09,13.44,9.2,11.15,13.91,3.94,5.57,
2020-KW39,6.0,16.44,22.63,73.39,78.45,54.1,37.24,25.39,18.47,19.88,27.06,21.34,17.37,9.91,6.96,5.26,4.64,
2020-KW40,11.01,18.79,46.52,53.49,85.58,45.88,49.43,31.03,32.11,31.47,22.79,27.66,27.59,28.49,11.13,19.72,27.85,
2020-KW41,8.0,12.92,49.03,55.98,80.23,60.26,50.72,43.02,35.33,38.1,39.88,43.47,19.42,9.91,15.31,11.83,16.71,
2020-KW42,14.01,22.31,44.01,79.61,114.11,106.82,60.35,66.29,58.61,58.8,64.1,36.35,25.55,29.73,34.79,14.46,36.21,
2020-KW43,32.02,46.98,95.55,164.2,207.72,190.36,138.67,121.29,126.05,124.23,90.45,85.35,78.7,58.22,41.74,36.82,60.35,
2020-KW44,51.03,65.77,154.65,215.2,279.93,225.28,192.6,159.37,165.39,154.87,135.32,130.4,102.2,81.75,69.57,67.06,94.7,
2020-KW45,72.04,109.22,204.94,349.54,260.31,230.76,205.44,178.41,204.73,178.06,161.67,135.14,123.67,80.52,87.66,78.89,139.26,
2020-KW46,58.03,110.39,169.73,294.81,200.58,180.77,170.13,153.73,174.22,172.27,133.18,140.68,103.23,78.04,96.01,78.89,180.11,
