# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-08-25 05:52:44
# API-Download für Covid19-Inzidenzen in SK Heilbronn, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,16.08,,,,,,,,,,,,,,
2020-KW10,,,,,,,,,,12.31,11.14,,,,,,,
2020-KW11,,,16.71,,,,,,,12.31,33.43,11.38,,,,,,
2020-KW12,,,16.71,16.08,11.79,61.68,63.68,59.29,100.26,61.53,55.72,79.69,27.09,32.83,,,12.28,
2020-KW13,15.12,16.91,16.71,64.33,11.79,82.25,84.91,106.72,162.93,86.14,189.44,102.46,81.28,82.07,59.49,37.91,12.28,
2020-KW14,,33.82,16.71,32.16,94.33,71.96,63.68,59.29,112.8,110.76,156.01,159.38,149.01,147.73,99.15,75.83,221.02,
2020-KW15,,,,32.16,58.96,30.84,21.23,11.86,62.66,98.45,100.29,79.69,81.28,,79.32,75.83,85.95,
2020-KW16,,33.82,,64.33,11.79,10.28,42.45,11.86,25.07,86.14,66.86,11.38,40.64,16.41,39.66,,110.51,
2020-KW17,,,,,35.37,20.56,21.23,23.72,25.07,24.61,33.43,22.77,,,,,,
2020-KW18,15.12,16.91,,,11.79,10.28,10.61,23.72,,,,,13.55,32.83,39.66,,12.28,
2020-KW19,,16.91,,,,,,,,12.31,,,,32.83,,,,
2020-KW20,,,,,,,,,,,,,,16.41,,18.96,12.28,
2020-KW21,,,,16.08,11.79,10.28,,,,,33.43,,13.55,16.41,,,,
2020-KW22,,,,,,,,11.86,12.53,,,,,,,,,
2020-KW23,15.12,,,16.08,23.58,,10.61,11.86,,,,,,,,,,
2020-KW24,15.12,16.91,16.71,16.08,23.58,,10.61,,,12.31,11.14,,,,19.83,,12.28,
2020-KW25,,16.91,50.14,64.33,23.58,,,11.86,37.6,,11.14,,13.55,,,,,
2020-KW26,,16.91,,,11.79,10.28,10.61,,12.53,,,,,,,,,
2020-KW28,,,,,11.79,,,,,,11.14,,,,,,,
2020-KW29,,,,,,,,,,,11.14,11.38,,,,,,
2020-KW30,,,16.71,16.08,11.79,,10.61,23.72,,12.31,,,,,,,,
2020-KW31,,33.82,,16.08,,20.56,,23.72,,,,,13.55,,,,,
2020-KW33,,,33.43,32.16,23.58,20.56,21.23,47.43,,12.31,,11.38,,,,,,
2020-KW34,45.35,33.82,33.43,64.33,58.96,102.81,74.29,59.29,25.07,24.61,66.86,11.38,,16.41,,,,
2020-KW35,30.23,16.91,83.57,48.25,35.37,92.53,95.52,59.29,37.6,61.53,33.43,11.38,13.55,16.41,,,,
2020-KW36,,67.64,83.57,48.25,23.58,41.12,42.45,11.86,50.13,12.31,33.43,22.77,,32.83,,,,
2020-KW37,30.23,,83.57,64.33,23.58,10.28,53.07,23.72,62.66,24.61,11.14,11.38,,,,,,
2020-KW38,,,,16.08,11.79,20.56,10.61,23.72,25.07,24.61,22.29,,,,,,,
