# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-07-15 05:58:17
# API-Download für Covid19-Inzidenzen in SK Herne, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,,,16.05,16.02,,,,,,
2020-KW12,,,,,10.88,30.15,10.43,,22.05,,,8.01,,11.02,13.81,14.45,9.07,
2020-KW13,13.56,,,,21.77,40.2,10.43,75.51,22.05,18.91,40.13,16.02,18.84,22.04,27.61,43.34,,
2020-KW14,,14.63,,,,10.05,10.43,10.79,22.05,18.91,8.03,32.03,,11.02,,,9.07,
2020-KW15,,,,12.57,43.53,40.2,31.28,43.15,,37.81,16.05,24.02,9.42,11.02,13.81,28.89,18.14,
2020-KW16,,14.63,,37.71,10.88,10.05,20.85,10.79,11.03,37.81,32.11,8.01,9.42,,27.61,14.45,18.14,
2020-KW17,,,,12.57,32.65,40.2,20.85,21.57,,28.36,24.08,24.02,9.42,11.02,13.81,,,
2020-KW18,13.56,,14.7,12.57,10.88,20.1,20.85,21.57,33.08,18.91,16.05,,,,,,,
2020-KW19,,14.63,,,10.88,10.05,10.43,10.79,11.03,18.91,,,18.84,,,,,
2020-KW20,27.11,,14.7,12.57,10.88,,,10.79,,,8.03,,,,,,,
2020-KW21,,14.63,,,,,10.43,,,,,,,,,,,
2020-KW22,,,,,,10.05,,,22.05,,,,,,13.81,,36.28,
2020-KW23,13.56,14.63,,,,10.05,10.43,,,,,,,11.02,,,9.07,
2020-KW24,,,,,10.88,,,,,,,16.02,,,,,,
2020-KW25,27.11,43.89,,25.14,21.77,20.1,,10.79,,28.36,8.03,,,,,,,
2020-KW26,,,,12.57,10.88,30.15,10.43,,,18.91,16.05,24.02,18.84,11.02,13.81,28.89,9.07,
2020-KW27,,,,,10.88,,,21.57,33.08,9.45,16.05,,28.26,11.02,,,9.07,
2020-KW28,27.11,43.89,14.7,25.14,10.88,10.05,20.85,21.57,,9.45,16.05,8.01,9.42,,,14.45,,
2020-KW29,,,14.7,12.57,,,,,11.03,9.45,,,9.42,,,,,
2020-KW30,,,,12.57,,,10.43,,,,8.03,,,,,,,
2020-KW31,40.67,43.89,58.78,50.28,54.41,40.2,,32.36,11.03,18.91,40.13,8.01,,22.04,,28.89,,
2020-KW32,27.11,43.89,44.09,12.57,87.06,70.35,20.85,21.57,55.13,18.91,8.03,16.02,,,,14.45,,
2020-KW33,67.78,102.4,161.65,75.41,32.65,50.25,10.43,53.94,11.03,28.36,16.05,,,,,,,
2020-KW34,,,,62.85,87.06,,10.43,21.57,,28.36,24.08,,,11.02,,28.89,,
2020-KW35,,14.63,,,,,10.43,10.79,33.08,,32.11,,,,27.61,,18.14,
2020-KW36,27.11,,14.7,,10.88,20.1,20.85,,22.05,18.91,16.05,,,11.02,13.81,,,
2020-KW37,,14.63,,25.14,21.77,20.1,20.85,43.15,33.08,,8.03,16.02,,11.02,13.81,,,
2020-KW38,,29.26,29.39,25.14,21.77,20.1,41.71,43.15,,,24.08,,,,,,,
2020-KW39,27.11,,29.39,50.28,76.18,60.3,20.85,10.79,33.08,37.81,16.05,16.02,9.42,11.02,,,,
2020-KW40,,,44.09,25.14,54.41,10.05,31.28,64.72,,18.91,16.05,24.02,28.26,,,43.34,18.14,
2020-KW41,13.56,87.77,132.26,125.69,195.89,90.45,83.41,97.09,88.2,170.15,80.26,48.05,47.1,22.04,41.42,72.23,63.49,
2020-KW42,67.78,73.14,58.78,201.11,228.53,190.95,156.4,140.24,198.46,122.88,152.5,88.09,84.78,55.1,82.84,28.89,63.49,
2020-KW43,94.89,58.51,44.09,138.26,282.95,291.46,260.66,172.6,209.48,160.7,192.63,80.08,103.62,132.25,96.65,115.57,108.84,
2020-KW44,176.22,219.43,367.38,465.06,500.6,562.81,302.37,226.54,441.01,311.94,353.16,304.32,103.62,110.2,179.48,101.13,90.7,
2020-KW45,135.56,190.17,293.9,553.04,446.19,512.56,417.06,323.62,418.96,444.28,361.18,232.24,178.98,121.23,82.84,202.25,199.55,
2020-KW46,67.78,160.91,249.82,615.89,380.89,432.16,333.65,442.29,385.89,311.94,417.37,176.18,141.3,132.25,151.87,101.13,181.41,
2020-KW47,108.45,248.68,264.51,364.5,446.19,412.06,354.5,237.32,352.81,425.37,305.0,224.23,178.98,88.16,96.65,130.02,145.12,
2020-KW48,13.56,117.03,249.82,351.94,272.06,110.55,281.51,183.39,231.53,321.39,224.74,128.13,103.62,55.1,82.84,245.59,226.76,
2020-KW49,27.11,43.89,117.56,213.68,272.06,271.36,187.68,204.96,198.46,226.86,112.37,120.12,150.72,44.08,138.06,130.02,226.76,
2020-KW50,94.89,102.4,293.9,263.95,293.83,241.21,114.69,215.75,253.58,226.86,192.63,192.2,178.98,99.18,207.1,130.02,344.67,
2020-KW51,122.0,146.28,191.04,326.8,380.89,331.66,271.09,312.84,187.43,283.58,240.79,200.21,169.56,121.23,151.87,202.25,498.87,
2020-KW52,40.67,73.14,132.26,138.26,228.53,170.85,218.96,129.45,220.51,207.96,160.53,160.17,122.46,132.25,262.32,187.81,471.66,
2020-KW53,67.78,87.77,102.87,150.83,315.59,271.36,156.4,248.11,165.38,132.34,192.63,112.12,226.07,88.16,110.45,187.81,399.09,
2021-KW01,27.11,87.77,117.56,113.12,370.01,301.51,239.81,226.54,165.38,207.96,192.63,136.14,150.72,132.25,69.03,115.57,417.23,
2021-KW02,40.67,29.26,44.09,113.12,250.3,150.75,177.25,75.51,99.23,226.86,192.63,144.15,113.04,66.12,27.61,115.57,226.76,
2021-KW03,40.67,43.89,73.48,163.4,130.59,140.7,187.68,183.39,165.38,113.43,160.53,96.1,113.04,88.16,96.65,86.68,453.51,
2021-KW04,40.67,,29.39,50.28,152.36,150.75,145.97,151.02,77.18,75.62,128.42,136.14,103.62,77.14,69.03,101.13,272.11,
2021-KW05,40.67,29.26,44.09,62.85,141.47,100.5,52.13,151.02,66.15,75.62,64.21,104.11,65.94,77.14,124.26,86.68,154.2,
2021-KW06,54.22,87.77,44.09,125.69,97.94,100.5,114.69,64.72,44.1,75.62,112.37,72.07,37.68,22.04,27.61,72.23,145.12,
2021-KW07,27.11,29.26,73.48,100.55,152.36,120.6,104.26,97.09,55.13,122.88,96.32,40.04,28.26,88.16,110.45,86.68,136.05,
2021-KW08,27.11,73.14,29.39,125.69,119.71,110.55,62.56,97.09,77.18,75.62,104.34,96.1,75.36,77.14,96.65,86.68,54.42,
2021-KW09,67.78,87.77,88.17,62.85,174.12,100.5,145.97,107.87,110.25,151.24,88.29,104.11,103.62,77.14,82.84,86.68,81.63,
2021-KW10,94.89,160.91,191.04,213.68,250.3,180.9,250.23,172.6,143.33,330.84,160.53,104.11,216.65,165.31,138.06,86.68,45.35,
2021-KW11,94.89,87.77,117.56,188.54,217.65,120.6,125.12,129.45,198.46,141.79,120.39,64.07,75.36,66.12,69.03,101.13,72.56,
