# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-12-05 07:54:17
# API-Download für Covid19-Inzidenzen in SK Jena, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,11.49,23.76,29.34,11.31,14.7,,,,,,,,,
2020-KW12,39.7,40.06,42.3,42.73,241.29,95.06,48.9,90.51,44.11,55.08,48.89,30.73,17.14,34.16,,40.25,70.76,
2020-KW13,19.85,,21.15,21.37,45.96,35.65,78.24,22.63,44.11,73.44,,92.19,17.14,,,20.12,,
2020-KW14,,,,21.37,34.47,11.88,9.78,22.63,44.11,55.08,48.89,30.73,17.14,17.08,20.3,40.25,23.59,
2020-KW15,,,,21.37,22.98,35.65,9.78,11.31,,,16.3,30.73,17.14,17.08,,,,
2020-KW17,,,,,22.98,,,,14.7,,16.3,,,,,,,
2020-KW20,,,,,,,,,,,16.3,,,,,,,
2020-KW22,,,,,,,,,,,,,,17.08,,,,
2020-KW24,,,,,,,,,14.7,,,,,,,,,
2020-KW28,,,,,,,9.78,11.31,,,,,,,,,,
2020-KW33,,,,,,,,,14.7,,,15.36,,,,,,
2020-KW34,,,,21.37,,,,,,,16.3,15.36,,,,,,
2020-KW35,,,42.3,21.37,11.49,,19.56,11.31,,,,,,,,,,
2020-KW36,,,,21.37,34.47,,9.78,,,55.08,,,,,,,,
2020-KW37,,,,,,35.65,,,14.7,,,30.73,,,,80.5,,
2020-KW38,,,21.15,42.73,,11.88,,11.31,,,,15.36,,,,20.12,,
2020-KW39,,,,64.1,57.45,23.76,,,14.7,,,,,17.08,,,,
2020-KW40,,,42.3,,22.98,23.76,29.34,56.57,29.41,,,,,,,,,
2020-KW41,19.85,,,21.37,,35.65,29.34,22.63,,18.36,,15.36,68.56,17.08,20.3,,23.59,
2020-KW42,,,,21.37,22.98,47.53,9.78,22.63,,55.08,32.59,,17.14,,20.3,,11.79,
2020-KW43,19.85,,,21.37,57.45,213.88,68.46,45.25,44.11,18.36,48.89,61.46,34.28,17.08,20.3,120.75,58.97,
