# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-08-12 05:57:27
# API-Download für Covid19-Inzidenzen in SK Kassel, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,16.84,,,,8.5,13.95,20.95,,,,,,
2020-KW12,,,,,12.37,5.61,44.55,7.78,9.06,42.48,13.95,27.94,24.9,,,11.98,7.92,
2020-KW13,,,,10.74,37.12,28.07,31.82,15.55,9.06,33.99,13.95,41.91,8.3,,23.28,,23.76,
2020-KW14,9.98,,,,12.37,11.23,12.73,15.55,27.19,8.5,6.98,6.98,8.3,9.91,,35.94,,
2020-KW15,,,,,37.12,44.91,19.09,15.55,9.06,16.99,55.82,41.91,33.2,9.91,,11.98,39.61,
2020-KW16,,,,42.95,43.3,16.84,25.46,31.11,45.32,8.5,20.93,41.91,8.3,19.82,,11.98,15.84,
2020-KW17,9.98,,11.82,64.42,37.12,33.68,6.36,15.55,9.06,,13.95,20.95,8.3,,11.64,11.98,7.92,
2020-KW18,,,23.64,10.74,24.74,106.65,50.92,38.88,27.19,8.5,6.98,6.98,33.2,9.91,11.64,,7.92,
2020-KW19,,,,10.74,6.19,11.23,12.73,15.55,27.19,,6.98,13.97,,9.91,11.64,,,
2020-KW20,,,,,,11.23,,7.78,,8.5,,6.98,16.6,9.91,34.92,,39.61,
2020-KW21,9.98,,,,12.37,11.23,12.73,7.78,,8.5,6.98,,8.3,,,11.98,7.92,
2020-KW22,,,,,,,,7.78,,,,,8.3,,,,,
2020-KW23,9.98,,,,12.37,5.61,12.73,7.78,9.06,,6.98,6.98,,,,,,
2020-KW24,,11.58,11.82,,12.37,5.61,12.73,,,,,,,,,,,
2020-KW25,,23.16,35.45,,30.93,11.23,44.55,7.78,36.25,8.5,,6.98,,9.91,,,,
2020-KW26,,,,53.68,18.56,11.23,19.09,7.78,9.06,8.5,,,,,,,,
2020-KW27,,,,,6.19,5.61,,7.78,,8.5,,6.98,,,,,,
2020-KW28,,,,,12.37,,6.36,,9.06,,6.98,,,,,,,
2020-KW29,9.98,23.16,,,,5.61,12.73,,9.06,8.5,,,,,,,,
2020-KW30,,11.58,,,6.19,,6.36,,,,,,,,,,,
2020-KW31,,,,,,5.61,6.36,,9.06,,,,8.3,,,11.98,7.92,
2020-KW32,19.96,11.58,47.27,10.74,30.93,16.84,12.73,46.66,,,13.95,,,,11.64,,,
2020-KW33,29.95,34.74,23.64,32.21,12.37,22.45,38.19,31.11,27.19,16.99,20.93,,,9.91,,11.98,,
2020-KW34,9.98,34.74,11.82,64.42,24.74,11.23,25.46,31.11,,16.99,13.95,13.97,16.6,9.91,11.64,,,
2020-KW35,,11.58,,21.47,24.74,11.23,6.36,,9.06,25.49,6.98,6.98,8.3,,,,,
2020-KW36,,,23.64,,,11.23,12.73,,9.06,16.99,,,8.3,,,,,
2020-KW37,,,,32.21,18.56,5.61,25.46,7.78,,8.5,6.98,6.98,8.3,,,,7.92,
2020-KW38,19.96,11.58,,,18.56,11.23,6.36,23.33,,16.99,,,,,11.64,11.98,,
2020-KW39,,23.16,,10.74,30.93,11.23,,15.55,18.13,,13.95,6.98,,9.91,11.64,,,
2020-KW40,,,35.45,10.74,18.56,11.23,6.36,7.78,18.13,8.5,6.98,13.97,8.3,,23.28,,,
2020-KW41,9.98,11.58,35.45,53.68,61.86,56.13,38.19,31.11,27.19,42.48,34.88,48.89,16.6,19.82,,11.98,,
2020-KW42,119.78,46.32,82.72,128.84,259.82,190.85,171.84,147.76,126.89,101.96,48.84,69.84,33.2,39.64,23.28,35.94,31.69,
2020-KW43,29.95,34.74,23.64,85.89,160.84,123.49,114.56,132.2,90.64,76.47,97.68,111.75,74.69,59.46,81.48,11.98,95.06,
2020-KW44,69.87,57.9,129.99,236.2,235.08,252.6,165.48,155.53,172.21,254.91,195.35,125.72,124.48,99.11,104.76,11.98,71.29,
2020-KW45,39.93,92.64,106.36,214.73,222.7,185.24,184.57,139.98,154.08,229.42,146.52,146.67,58.09,89.2,11.64,23.96,102.98,
2020-KW46,49.91,23.16,141.81,214.73,173.21,157.17,190.94,202.19,190.34,152.94,160.47,139.68,91.29,19.82,46.56,47.92,55.45,
2020-KW47,,81.06,141.81,203.99,105.17,151.56,171.84,124.43,135.96,195.43,174.42,97.78,116.18,109.02,81.48,47.92,63.37,
2020-KW48,29.95,57.9,59.09,161.05,197.96,190.85,184.57,108.87,99.7,161.44,153.49,118.73,82.99,49.55,58.2,47.92,198.04,
2020-KW49,59.89,34.74,47.27,225.47,179.4,162.78,140.02,124.43,108.76,169.94,132.56,181.59,165.98,128.84,104.76,95.83,237.64,
2020-KW50,19.96,34.74,153.63,193.26,197.96,207.69,171.84,186.64,226.59,220.92,181.4,167.62,66.39,188.31,197.88,203.64,451.52,
2020-KW51,19.96,34.74,59.09,139.57,204.14,179.62,254.58,217.75,271.91,152.94,188.38,216.51,116.18,118.93,162.96,179.68,380.23,
2020-KW52,29.95,92.64,82.72,225.47,247.45,207.69,184.57,163.31,244.72,135.95,272.1,237.46,116.18,89.2,128.04,35.94,213.88,
2020-KW53,29.95,46.32,129.99,128.84,98.98,140.33,101.83,93.32,154.08,127.45,139.54,153.65,132.78,59.46,81.48,47.92,308.94,
2021-KW01,29.95,11.58,59.09,64.42,259.82,202.08,165.48,163.31,163.15,144.45,139.54,167.62,165.98,69.38,139.68,47.92,198.04,
2021-KW02,9.98,23.16,59.09,128.84,86.61,56.13,120.93,85.54,90.64,118.96,90.7,27.94,82.99,,69.84,47.92,87.14,
2021-KW03,39.93,11.58,,42.95,43.3,106.65,101.83,85.54,63.45,93.47,83.72,111.75,99.59,89.2,46.56,35.94,126.74,
2021-KW04,29.95,11.58,35.45,75.16,43.3,61.75,70.01,85.54,81.57,67.98,69.77,41.91,99.59,49.55,46.56,47.92,71.29,
2021-KW05,9.98,23.16,11.82,64.42,129.91,67.36,63.65,62.21,63.45,33.99,55.82,34.92,116.18,,46.56,35.94,102.98,
