# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-06-07 07:12:44
# API-Download für Covid19-Inzidenzen in SK Kaufbeuren, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,,38.88,,,,,,,,,
2020-KW12,,,,,,35.98,34.25,,,,,28.03,66.27,,,,,
2020-KW13,,52.58,100.4,137.99,122.45,35.98,68.49,36.72,155.52,,88.63,,33.13,39.17,,91.62,,
2020-KW14,,52.58,50.2,,204.08,,,110.17,77.76,116.41,88.63,56.07,99.4,,48.47,45.81,120.7,
2020-KW15,,,,,,,34.25,,,116.41,88.63,84.1,66.27,117.51,,,120.7,
2020-KW16,,52.58,,46.0,40.82,71.97,,36.72,38.88,,59.08,,66.27,117.51,,45.81,60.35,
2020-KW17,,52.58,50.2,,,107.95,34.25,,,,,,,,,,,
2020-KW18,44.92,,50.2,,,,68.49,36.72,,,,,,,,,,
2020-KW20,,,,,,,,,,,,,,,,45.81,30.18,
2020-KW21,,,,,122.45,,,,,,,,,,,,,
2020-KW30,,,,,,,34.25,,,38.8,,,,,,,,
2020-KW32,,,50.2,,,,,,,,,,,,,,,
2020-KW33,,,,,40.82,35.98,,36.72,38.88,,,,,,,,,
2020-KW34,,52.58,50.2,,,107.95,34.25,36.72,,,,,,,,,30.18,
2020-KW35,,,50.2,46.0,40.82,,34.25,36.72,,77.61,,,,,,,,
2020-KW36,,,,92.0,,71.97,,36.72,77.76,,29.54,,,,,,,
2020-KW37,,,50.2,46.0,81.63,71.97,34.25,,,,,84.1,66.27,78.34,,274.85,422.45,
2020-KW38,,,,92.0,,35.98,,,,,29.54,,66.27,,48.47,45.81,181.05,
2020-KW39,,,,,,35.98,34.25,110.17,,38.8,,,33.13,,,,,
2020-KW40,,,,,40.82,,34.25,36.72,77.76,,59.08,28.03,,,48.47,,,
2020-KW41,,52.58,100.4,,,107.95,34.25,36.72,38.88,77.61,,28.03,,,,,30.18,
2020-KW42,,,,183.99,40.82,35.98,68.49,36.72,38.88,38.8,29.54,28.03,,,,45.81,60.35,
2020-KW43,89.85,157.73,200.8,367.99,122.45,,171.23,110.17,155.52,194.02,29.54,112.14,231.94,195.85,48.47,,90.53,
2020-KW44,44.92,210.3,150.6,275.99,204.08,395.83,308.22,293.79,194.4,388.05,295.42,252.31,265.08,195.85,290.84,91.62,150.88,
2020-KW45,179.69,,50.2,229.99,204.08,215.91,308.22,183.62,233.28,271.63,177.25,168.21,132.54,39.17,145.42,91.62,90.53,
2020-KW46,89.85,157.73,50.2,92.0,163.27,35.98,308.22,220.35,349.92,232.83,236.34,252.31,165.67,156.68,145.42,274.85,362.1,
2020-KW47,179.69,105.15,150.6,229.99,530.61,395.83,239.73,367.24,311.04,271.63,295.42,336.42,231.94,39.17,145.42,229.04,1207.0,
2020-KW48,89.85,,50.2,321.99,244.9,287.87,205.48,220.35,116.64,310.44,29.54,364.45,198.81,156.68,193.89,137.43,754.38,
2020-KW49,89.85,157.73,100.4,367.99,489.8,323.86,205.48,146.9,116.64,271.63,177.25,308.38,198.81,195.85,48.47,91.62,362.1,
2020-KW50,89.85,,50.2,367.99,204.08,539.76,445.21,257.07,388.8,388.05,177.25,420.52,331.35,39.17,,137.43,301.75,
2020-KW51,134.77,315.46,200.8,137.99,204.08,215.91,171.23,146.9,194.4,116.41,118.17,140.17,298.21,117.51,193.89,91.62,120.7,
2020-KW52,89.85,105.15,50.2,92.0,326.53,179.92,68.49,146.9,116.64,155.22,236.34,56.07,165.67,78.34,48.47,91.62,120.7,
2020-KW53,,105.15,100.4,46.0,40.82,107.95,205.48,293.79,155.52,155.22,147.71,28.03,33.13,39.17,96.95,91.62,30.18,
2021-KW01,,105.15,,413.98,326.53,215.91,273.97,257.07,38.88,194.02,384.05,196.24,231.94,235.02,96.95,,181.05,
2021-KW02,,52.58,50.2,92.0,285.71,143.94,239.73,220.35,,194.02,177.25,140.17,165.67,117.51,96.95,,30.18,
2021-KW03,89.85,105.15,100.4,183.99,40.82,215.91,34.25,110.17,,38.8,59.08,,99.4,39.17,48.47,,30.18,
2021-KW04,44.92,,,46.0,40.82,71.97,,,38.88,116.41,59.08,28.03,33.13,39.17,,137.43,150.88,
2021-KW05,44.92,,150.6,46.0,81.63,107.95,,36.72,77.76,116.41,88.63,28.03,,78.34,48.47,137.43,30.18,
2021-KW06,,,,92.0,122.45,35.98,102.74,,38.88,77.61,59.08,28.03,,39.17,96.95,,241.4,
2021-KW07,,,50.2,46.0,122.45,71.97,34.25,,38.88,77.61,29.54,28.03,,39.17,,45.81,,
2021-KW08,,,,,,35.98,,36.72,77.76,,,,,,,,,
2021-KW09,179.69,262.88,,,40.82,107.95,,183.62,38.88,77.61,29.54,28.03,33.13,39.17,,,,
2021-KW10,89.85,,100.4,137.99,40.82,107.95,102.74,110.17,77.76,77.61,,28.03,165.67,78.34,,,30.18,
2021-KW11,224.62,210.3,,183.99,81.63,215.91,273.97,220.35,194.4,232.83,88.63,56.07,99.4,39.17,96.95,183.23,30.18,
2021-KW12,89.85,157.73,150.6,229.99,204.08,215.91,410.96,220.35,388.8,271.63,147.71,112.14,231.94,39.17,193.89,91.62,120.7,
2021-KW13,269.54,315.46,150.6,689.97,408.16,431.81,445.21,440.69,233.28,271.63,206.79,224.28,99.4,117.51,145.42,,,
2021-KW14,179.69,262.88,401.61,367.99,408.16,431.81,445.21,367.24,349.92,310.44,206.79,196.24,99.4,39.17,145.42,,150.88,
2021-KW15,179.69,368.03,301.2,551.98,285.71,431.81,376.71,330.52,272.16,349.24,265.88,308.38,231.94,117.51,96.95,,120.7,
2021-KW16,44.92,157.73,150.6,551.98,326.53,323.86,205.48,220.35,233.28,310.44,177.25,168.21,132.54,39.17,48.47,91.62,,
2021-KW17,44.92,105.15,100.4,413.98,40.82,359.84,102.74,257.07,194.4,349.24,236.34,140.17,198.81,117.51,48.47,,60.35,
2021-KW18,44.92,262.88,50.2,367.99,285.71,251.89,273.97,146.9,116.64,77.61,206.79,224.28,132.54,156.68,96.95,,120.7,
2021-KW19,44.92,52.58,150.6,275.99,122.45,107.95,102.74,73.45,194.4,77.61,88.63,84.1,165.67,,96.95,,60.35,
2021-KW20,89.85,52.58,,413.98,163.27,35.98,102.74,110.17,233.28,155.22,147.71,,99.4,39.17,96.95,45.81,30.18,
2021-KW21,,52.58,,183.99,163.27,71.97,34.25,,77.76,116.41,59.08,,33.13,39.17,,,,
2021-KW22,,,,,81.63,,,110.17,,,59.08,,66.27,,,,,
