# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-11-08 07:52:06
# API-Download für Covid19-Inzidenzen in SK München, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW05,,,,,,,0.7,,,,,,,,,,,
2020-KW06,,,,,,,0.7,,,,,,,,,,,
2020-KW07,,,,,,,,,,1.06,,,,,,,,
2020-KW09,,,,,1.07,,,,,,0.96,,,,,,,
2020-KW10,,,,1.68,1.07,,0.7,4.23,2.9,2.12,3.85,3.05,2.61,,,,,
2020-KW11,2.54,4.46,10.05,6.71,13.87,24.79,18.3,22.02,26.11,33.93,18.29,11.18,7.84,13.14,5.14,7.47,3.49,
2020-KW12,26.65,16.35,20.09,45.27,54.43,105.16,115.4,102.47,105.42,96.49,90.51,85.34,41.84,49.26,35.97,46.67,25.58,
2020-KW13,13.96,23.78,45.21,62.04,86.44,123.19,133.7,111.78,113.16,113.46,128.06,94.48,71.91,68.96,75.36,78.4,51.15,
2020-KW14,16.49,16.35,36.84,51.98,77.9,82.62,91.48,85.53,84.14,80.59,104.95,84.32,104.6,68.96,65.08,91.47,165.08,
2020-KW15,6.34,11.89,23.44,45.27,77.9,54.08,42.92,46.58,48.36,72.11,79.92,65.02,65.37,59.11,46.24,54.13,89.51,
2020-KW16,5.08,4.46,20.09,28.51,30.95,30.8,38.7,24.56,31.92,47.72,51.03,56.89,39.22,29.56,34.25,46.67,80.21,
2020-KW17,11.42,5.95,5.02,25.15,45.89,32.3,22.52,22.86,21.28,24.39,24.07,15.24,20.92,19.7,18.84,24.27,52.31,
2020-KW18,11.42,14.86,20.09,11.74,44.82,37.56,19.0,18.63,23.21,22.27,17.33,18.29,17.0,14.78,15.41,16.8,36.04,
2020-KW19,3.81,4.46,20.09,15.09,14.94,12.02,9.85,13.55,8.7,18.03,15.41,13.21,10.46,11.49,13.7,16.8,32.55,
2020-KW20,2.54,5.95,5.02,5.03,34.15,15.02,17.59,16.09,10.64,12.72,2.89,22.35,7.84,3.28,6.85,3.73,16.28,
2020-KW21,7.61,1.49,1.67,1.68,9.6,6.01,8.44,7.62,9.67,7.42,3.85,4.06,3.92,4.93,,3.73,8.14,
2020-KW22,3.81,13.38,5.02,10.06,21.34,27.79,16.18,6.77,7.74,6.36,,7.11,2.61,4.93,3.43,11.2,10.46,
2020-KW23,2.54,7.43,1.67,5.03,8.54,2.25,5.63,3.39,6.77,2.12,3.85,3.05,,1.64,,,2.33,
2020-KW24,3.81,5.95,3.35,3.35,8.54,3.76,2.81,7.62,1.93,4.24,1.93,3.05,5.23,,1.71,5.6,4.65,
2020-KW25,7.61,1.49,1.67,10.06,10.67,15.02,7.04,2.54,6.77,4.24,1.93,2.03,1.31,4.93,1.71,,,
2020-KW26,1.27,5.95,13.4,,9.6,10.52,9.85,5.08,7.74,9.54,6.74,3.05,1.31,3.28,3.43,1.87,3.49,
2020-KW27,6.34,7.43,13.4,8.38,10.67,14.27,15.48,9.32,6.77,14.85,9.63,5.08,5.23,3.28,1.71,3.73,2.33,
2020-KW28,11.42,14.86,15.07,10.06,10.67,9.01,6.33,5.93,10.64,11.66,6.74,5.08,,4.93,3.43,9.33,1.16,
2020-KW29,10.15,5.95,10.05,15.09,10.67,5.26,18.3,7.62,4.84,12.72,7.7,5.08,5.23,3.28,3.43,1.87,3.49,
2020-KW30,2.54,4.46,6.7,8.38,8.54,9.76,6.33,5.08,8.7,12.72,7.7,4.06,2.61,4.93,1.71,1.87,,
2020-KW31,5.08,1.49,5.02,6.71,8.54,14.27,8.44,7.62,3.87,7.42,12.52,6.1,3.92,1.64,5.14,1.87,3.49,
2020-KW32,2.54,,,16.77,27.75,15.02,4.93,8.47,7.74,10.6,14.44,5.08,5.23,,3.43,1.87,,
2020-KW33,12.69,7.43,23.44,50.3,84.31,39.06,11.26,16.09,27.08,16.97,8.67,8.13,7.84,6.57,6.85,,1.16,
2020-KW34,7.61,20.81,43.54,98.93,92.84,49.57,31.67,22.86,36.75,31.81,26.0,16.25,10.46,4.93,6.85,7.47,4.65,
2020-KW35,11.42,38.64,55.26,73.78,107.79,54.83,38.0,40.65,33.85,32.87,40.44,9.14,15.69,6.57,10.28,1.87,1.16,
2020-KW36,20.3,28.24,56.93,95.58,75.77,70.61,47.15,53.35,48.36,46.66,36.59,18.29,11.77,8.21,6.85,5.6,,
2020-KW37,21.57,25.27,35.17,70.42,72.57,82.62,51.37,40.65,44.49,43.48,39.48,21.33,19.61,21.35,11.99,5.6,2.33,
2020-KW38,32.99,43.1,56.93,80.49,113.12,95.39,71.07,54.2,59.0,59.38,51.03,50.8,27.46,31.2,15.41,22.4,9.3,
2020-KW39,25.38,38.64,35.17,41.92,88.58,60.84,54.89,49.12,37.72,31.81,33.7,26.41,23.53,13.14,20.55,9.33,8.14,
2020-KW40,13.96,10.4,21.77,72.1,62.96,51.83,54.18,37.26,40.62,38.17,52.96,38.61,19.61,16.42,15.41,11.2,8.14,
2020-KW41,20.3,14.86,40.19,87.19,98.18,68.35,62.63,53.35,54.16,74.23,46.22,37.59,32.69,29.56,17.13,37.33,40.69,
2020-KW42,8.88,16.35,58.61,154.26,120.59,114.17,97.81,68.59,78.34,86.95,93.4,66.04,54.91,42.69,35.97,31.73,46.5,
2020-KW43,36.8,60.94,83.73,166.0,153.67,167.5,173.81,127.87,125.73,142.09,122.29,119.88,78.45,60.75,70.22,65.34,49.99,
2020-KW44,36.8,49.05,118.89,196.18,204.9,216.33,187.18,166.83,152.81,183.45,174.28,136.13,120.29,111.65,85.64,110.14,103.46,
2020-KW45,71.05,90.67,147.36,256.55,311.62,276.42,223.77,219.33,237.92,260.85,249.39,222.49,142.52,164.2,138.73,149.34,156.94,
2020-KW46,74.86,154.58,241.13,363.86,283.87,260.64,254.03,212.56,258.23,236.47,243.61,211.31,162.13,139.57,118.18,153.07,248.78,
2020-KW47,76.13,157.55,212.67,321.94,248.65,205.06,201.25,211.71,235.02,243.89,238.79,200.14,183.05,116.58,138.73,123.2,220.88,
2020-KW48,60.9,136.74,244.48,303.5,244.38,219.33,178.03,182.92,221.48,233.28,209.91,176.77,173.9,96.88,92.49,130.67,218.55,
2020-KW49,59.63,144.17,257.88,323.62,232.65,211.07,179.44,187.15,226.32,227.98,205.09,189.98,177.82,91.95,126.74,153.07,315.04,
2020-KW50,72.32,182.82,261.23,315.23,244.38,237.36,200.55,229.5,275.64,264.04,242.65,219.44,206.58,152.7,172.99,214.67,394.09,
2020-KW51,118.0,211.06,286.35,368.89,347.9,304.21,268.8,291.32,296.92,329.78,343.75,270.24,278.5,188.83,219.23,255.74,523.13,
2020-KW52,64.71,109.99,149.03,149.23,152.61,163.0,160.44,182.92,198.27,165.42,172.36,184.9,154.28,126.43,167.85,136.27,312.72,
2020-KW53,52.02,74.32,102.15,155.94,154.74,167.5,163.96,160.05,156.68,168.6,188.72,151.37,151.67,101.8,126.74,149.34,327.83,
2021-KW01,41.87,81.75,100.47,171.03,187.82,240.36,194.21,172.76,183.76,212.08,167.54,169.66,121.6,123.15,116.47,117.6,280.17,
2021-KW02,38.06,53.51,100.47,176.06,169.68,158.49,135.11,96.54,147.98,152.7,135.77,117.85,98.06,62.4,75.36,87.74,163.91,
2021-KW03,35.53,32.7,43.54,95.58,96.05,100.65,96.4,80.45,86.08,93.31,97.25,81.27,77.14,67.32,41.11,35.47,93.0,
2021-KW04,38.06,56.48,46.89,58.69,82.17,66.85,62.63,68.59,63.83,69.99,56.81,60.96,45.76,47.62,35.97,50.4,75.56,
2021-KW05,20.3,34.19,31.82,46.95,66.17,48.07,45.04,34.72,45.46,57.26,52.96,44.7,32.69,31.2,35.97,54.13,54.64,
2021-KW06,34.26,22.29,35.17,40.24,52.29,39.81,39.41,32.18,48.36,38.17,34.66,42.67,24.84,19.7,29.12,24.27,46.5,
2021-KW07,27.91,37.16,23.44,48.63,43.75,39.06,27.44,35.57,45.46,38.17,36.59,29.46,30.07,21.35,13.7,13.07,20.93,
2021-KW08,26.65,41.62,40.19,63.72,59.76,45.82,42.22,55.89,37.72,43.48,41.4,30.48,35.3,29.56,27.4,18.67,19.76,
2021-KW09,39.33,78.77,45.21,63.72,68.3,59.34,64.74,60.97,63.83,72.11,70.29,65.02,40.53,18.06,25.69,18.67,27.9,
2021-KW10,44.41,75.8,45.21,114.02,106.72,67.6,91.48,69.44,80.28,103.92,78.96,64.0,65.37,41.05,29.12,28.0,19.76,
2021-KW11,76.13,87.69,122.24,117.37,126.99,100.65,95.0,90.61,101.55,94.37,83.77,72.13,83.68,59.11,63.37,33.6,32.55,
2021-KW12,82.47,121.88,117.22,142.53,124.86,111.92,106.25,118.56,128.63,106.04,100.14,92.45,73.22,72.25,51.38,33.6,41.85,
2021-KW13,90.09,86.21,107.17,110.67,132.33,125.44,109.07,97.39,106.39,139.97,103.99,108.7,96.75,41.05,51.38,35.47,22.09,
2021-KW14,72.32,109.99,147.36,169.35,183.56,176.52,154.81,159.21,164.42,171.78,146.36,122.93,98.06,64.04,66.8,54.13,41.85,
2021-KW15,111.66,205.11,316.49,315.23,245.45,184.78,185.07,202.4,185.7,190.87,189.69,158.48,107.21,88.67,51.38,44.8,38.36,
2021-KW16,97.7,181.33,189.22,248.16,202.76,179.52,175.21,169.37,173.12,195.11,162.73,130.04,113.75,70.6,107.9,76.54,51.15,
2021-KW17,100.24,159.04,202.62,253.19,192.09,153.23,154.1,168.52,174.09,160.12,136.73,121.91,74.53,90.31,66.8,44.8,51.15,
2021-KW18,64.71,107.01,127.27,144.2,153.67,113.42,109.07,116.02,131.54,111.34,105.92,94.48,75.83,59.11,30.83,33.6,22.09,
2021-KW19,50.75,83.23,117.22,107.31,90.71,72.11,60.52,73.68,84.14,74.23,67.4,52.83,52.3,34.48,30.83,16.8,23.25,
2021-KW20,38.06,66.88,77.03,87.19,91.78,58.59,62.63,56.74,53.19,55.14,50.07,31.49,43.15,16.42,17.13,16.8,17.44,
2021-KW21,36.8,34.19,41.86,50.3,34.15,43.57,40.81,41.5,45.46,40.29,33.7,23.37,20.92,18.06,18.84,,5.81,
2021-KW22,19.03,38.64,21.77,35.21,40.55,29.29,22.52,32.18,21.28,24.39,21.18,16.25,13.07,21.35,15.41,9.33,4.65,
2021-KW23,12.69,28.24,40.19,35.21,44.82,24.79,13.37,25.41,17.41,14.85,16.37,13.21,7.84,4.93,11.99,7.47,2.33,
