# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-12-19 07:58:39
# API-Download für Covid19-Inzidenzen in SK Neustadt a.d.Weinstraße, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,39.56,,,32.25,36.72,,,,,,,,,
2020-KW12,,,44.25,,,139.08,,32.25,36.72,33.92,120.28,21.57,95.26,,,,64.64,
2020-KW13,,,,40.75,158.23,34.77,,96.74,36.72,101.76,144.33,86.28,95.26,57.84,,84.21,,
2020-KW14,,,,81.5,118.67,104.31,120.59,32.25,36.72,101.76,120.28,64.71,,,,,21.55,
2020-KW15,,,88.5,40.75,,34.77,,32.25,36.72,33.92,96.22,21.57,,,,42.11,21.55,
2020-KW16,,,,,,,,,36.72,,,21.57,,,,,43.09,
2020-KW17,,,,,,,30.15,,36.72,,,,,,,,,
2020-KW18,,,,,,,30.15,,,,,,,,,,,
2020-KW20,,,,,,,,,,,,,,28.92,,,,
2020-KW23,,,,,,,,,,,,,,,,42.11,,
2020-KW26,,,,,,,,,,,,,,28.92,,,21.55,
2020-KW27,,,,,,,,,,,,,,,35.84,,,
2020-KW28,39.18,,44.25,,,69.54,,,,,,,,,,,,
2020-KW29,,,,,,,,32.25,,,,,,,,,,
2020-KW30,,,,40.75,39.56,34.77,30.15,,,33.92,24.06,,,,,,,
2020-KW31,,43.65,,,39.56,,,,,,,,,,,,21.55,
2020-KW32,,,,,39.56,,,,,,,21.57,,,,,,
2020-KW33,,87.3,,40.75,39.56,34.77,60.3,32.25,,33.92,,,,,,,,
2020-KW34,,,,40.75,,34.77,30.15,,36.72,33.92,,,,,,,,
2020-KW35,,,,,39.56,,,,,,,,,,,,,
2020-KW36,,,,,,,,,,33.92,,,,,,,,
2020-KW37,,,,,,34.77,,,,,,,,,,,,
2020-KW38,,,44.25,,,34.77,,,,,24.06,43.14,,,,,,
2020-KW39,,,,40.75,39.56,69.54,30.15,,,,,21.57,,,,,,
2020-KW40,,,,40.75,39.56,104.31,30.15,,,,,21.57,23.82,,,,,
2020-KW41,,,,,,,,32.25,,,,43.14,23.82,,,,,
2020-KW42,39.18,,44.25,,79.11,34.77,30.15,,,33.92,48.11,43.14,,,,42.11,,
2020-KW43,39.18,,,40.75,39.56,,30.15,32.25,73.45,33.92,96.22,21.57,23.82,57.84,,,21.55,
2020-KW44,,,44.25,122.25,197.78,34.77,60.3,32.25,36.72,101.76,24.06,43.14,95.26,57.84,107.53,84.21,43.09,
2020-KW45,39.18,130.95,132.74,244.5,395.57,173.85,120.59,96.74,110.17,271.37,240.56,64.71,166.71,28.92,71.68,84.21,64.64,
2020-KW46,156.74,,44.25,122.25,118.67,139.08,120.59,96.74,110.17,67.84,72.17,86.28,71.45,57.84,107.53,84.21,43.09,
2020-KW47,39.18,,44.25,163.0,197.78,104.31,150.74,193.49,220.35,135.69,144.33,86.28,357.23,173.51,71.68,84.21,86.19,
2020-KW48,39.18,87.3,176.99,163.0,276.9,243.39,90.44,64.5,110.17,407.06,144.33,237.27,47.63,57.84,179.21,42.11,64.64,
2020-KW49,78.37,43.65,132.74,244.5,553.8,243.39,211.03,128.99,146.9,237.45,192.45,107.85,47.63,28.92,35.84,210.53,172.38,
2020-KW50,,43.65,,81.5,356.01,382.48,331.62,128.99,110.17,135.69,144.33,107.85,119.08,86.76,143.37,84.21,215.47,
2020-KW51,78.37,43.65,,163.0,316.46,243.39,180.89,193.49,146.9,203.53,168.39,150.99,166.71,57.84,107.53,168.42,43.09,
2020-KW52,78.37,87.3,44.25,163.0,197.78,34.77,211.03,,220.35,135.69,144.33,194.13,95.26,57.84,71.68,168.42,21.55,
2020-KW53,78.37,43.65,44.25,122.25,39.56,34.77,120.59,161.24,110.17,67.84,144.33,107.85,142.89,202.43,143.37,84.21,215.47,
2021-KW01,,,44.25,122.25,158.23,278.16,120.59,128.99,293.79,135.69,96.22,172.56,95.26,,35.84,252.63,150.83,
2021-KW02,39.18,,44.25,81.5,197.78,139.08,180.89,257.98,183.62,135.69,120.28,129.42,95.26,28.92,107.53,42.11,172.38,
2021-KW03,39.18,43.65,44.25,81.5,79.11,104.31,120.59,161.24,146.9,101.76,48.11,237.27,95.26,,107.53,84.21,258.56,
2021-KW04,,87.3,88.5,81.5,276.9,139.08,90.44,64.5,146.9,67.84,24.06,129.42,71.45,57.84,71.68,84.21,64.64,
2021-KW05,,43.65,,40.75,79.11,34.77,180.89,161.24,146.9,67.84,,43.14,119.08,57.84,,84.21,86.19,
