# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-11-16 06:03:01
# API-Download für Covid19-Inzidenzen in SK Nürnberg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,2.42,2.78,5.97,,2.64,,,,,,,
2020-KW11,,,9.17,8.94,3.15,5.06,2.42,2.78,5.97,6.24,2.64,5.48,6.49,,,,2.88,
2020-KW12,,8.83,,8.94,22.04,7.6,31.46,5.57,8.95,12.48,39.64,10.96,19.46,3.89,4.31,14.59,,
2020-KW13,7.91,,4.59,13.41,44.08,20.26,48.4,41.75,38.79,37.43,34.36,32.88,42.17,31.13,,43.78,11.51,
2020-KW14,3.95,13.24,22.94,35.76,56.67,58.23,53.24,38.97,71.62,34.31,66.07,43.85,45.41,38.92,51.76,48.65,54.69,
2020-KW15,3.95,26.48,13.76,44.7,34.63,50.64,45.98,61.24,59.68,40.55,52.86,52.07,48.65,27.24,34.51,53.51,83.47,
2020-KW16,7.91,4.41,13.76,17.88,37.78,30.38,26.62,8.35,23.87,21.84,37.0,27.4,51.9,15.57,17.25,14.59,54.69,
2020-KW17,3.95,13.24,13.76,8.94,22.04,17.72,19.36,25.05,8.95,31.2,10.57,13.7,9.73,11.67,8.63,4.86,25.91,
2020-KW18,7.91,,4.59,8.94,,2.53,,16.7,5.97,3.12,7.93,8.22,,3.89,,19.46,89.23,
2020-KW19,7.91,,9.17,4.47,3.15,12.66,12.1,11.13,17.9,3.12,10.57,10.96,,11.67,8.63,14.59,34.54,
2020-KW20,11.86,,,8.94,6.3,7.6,2.42,2.78,8.95,6.24,5.29,2.74,3.24,,,4.86,,
2020-KW21,3.95,4.41,,4.47,9.44,5.06,7.26,,2.98,3.12,,,,3.89,,,2.88,
2020-KW22,,4.41,4.59,,3.15,,,,,6.24,,2.74,,3.89,,,,
2020-KW23,,4.41,4.59,4.47,3.15,2.53,2.42,2.78,2.98,3.12,2.64,,3.24,,,,2.88,
2020-KW24,3.95,4.41,,,,7.6,7.26,5.57,2.98,,2.64,2.74,,,,,,
2020-KW25,3.95,13.24,4.59,4.47,3.15,2.53,7.26,,5.97,,5.29,10.96,6.49,,,4.86,,
2020-KW26,,4.41,4.59,4.47,,5.06,4.84,,2.98,,,,3.24,3.89,,,,
2020-KW27,3.95,,,,6.3,5.06,2.42,,,,,,,,,,,
2020-KW28,3.95,,9.17,8.94,6.3,5.06,7.26,8.35,2.98,,2.64,,,,,,,
2020-KW29,3.95,,,13.41,12.59,7.6,,2.78,2.98,3.12,2.64,5.48,6.49,3.89,,,2.88,
2020-KW30,,8.83,,4.47,12.59,,2.42,8.35,11.94,3.12,5.29,,,,,,5.76,
2020-KW31,3.95,4.41,13.76,4.47,3.15,7.6,12.1,2.78,2.98,,,5.48,6.49,3.89,,9.73,20.15,
2020-KW32,,4.41,,,9.44,2.53,7.26,8.35,2.98,,5.29,,,,,,,
2020-KW33,,,,4.47,22.04,10.13,7.26,,5.97,12.48,10.57,8.22,6.49,,,,8.64,
2020-KW34,11.86,22.07,45.87,40.23,59.82,58.23,21.78,25.05,20.89,37.43,13.21,10.96,6.49,,8.63,4.86,2.88,
2020-KW35,23.72,26.48,32.11,44.7,34.63,40.51,21.78,25.05,23.87,21.84,15.86,5.48,12.97,11.67,4.31,,,
2020-KW36,11.86,22.07,18.35,62.58,22.04,30.38,26.62,11.13,14.92,21.84,18.5,10.96,9.73,3.89,12.94,,,
2020-KW37,3.95,52.96,68.81,151.98,50.37,63.3,50.82,55.67,44.76,43.67,7.93,5.48,6.49,3.89,8.63,9.73,8.64,
2020-KW38,15.81,13.24,32.11,13.41,53.52,58.23,43.56,38.97,32.83,34.31,23.79,21.92,3.24,3.89,8.63,,5.76,
2020-KW39,11.86,8.83,27.52,44.7,62.96,37.98,50.82,38.97,20.89,24.96,26.43,19.18,9.73,15.57,21.57,,,
2020-KW40,7.91,13.24,13.76,26.82,22.04,37.98,19.36,33.4,20.89,12.48,10.57,13.7,12.97,15.57,4.31,,2.88,
2020-KW41,7.91,8.83,18.35,40.23,56.67,63.3,48.4,36.19,26.86,53.03,37.0,38.37,22.71,15.57,38.82,4.86,57.57,
2020-KW42,31.62,22.07,32.11,84.93,59.82,63.3,45.98,19.48,50.73,71.75,68.71,30.14,32.44,31.13,17.25,34.05,48.93,
