# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-11-01 07:51:15
# API-Download für Covid19-Inzidenzen in SK Passau, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,21.05,,57.09,,,,,,35.05,,,,
2020-KW12,,,,,20.94,,,28.54,34.74,36.87,119.54,,,35.05,75.33,,53.42,
2020-KW13,,,,,,42.1,45.38,28.54,104.21,36.87,29.88,141.1,59.32,,,45.83,293.82,
2020-KW14,,,,,62.83,,45.38,28.54,138.95,110.61,119.54,56.44,88.97,70.1,150.66,137.5,320.53,
2020-KW15,,,,,41.88,21.05,,,104.21,,29.88,,,35.05,,183.34,293.82,
2020-KW16,,,,44.72,,,22.69,57.09,34.74,36.87,,28.22,,,37.66,,26.71,
2020-KW17,,,53.89,,,21.05,22.69,,34.74,36.87,,,29.66,,,,,
2020-KW18,,,,,,,,,,36.87,,,,,,,,
2020-KW19,,,,,,,,,,,,,,35.05,,,,
2020-KW20,,,,,,,,,,,29.88,,,,,,,
2020-KW21,,,,,,,,,,36.87,,,,,,,,
2020-KW22,,,,,,,,,,,59.77,,,,,,,
2020-KW24,,,,,,,45.38,,,,,,,,,,,
2020-KW26,,,,,,,,28.54,,,29.88,,29.66,,,,,
2020-KW27,,,,,,,,,,,,28.22,,,,,,
2020-KW29,,,,,,42.1,,28.54,,,,,,,,45.83,,
2020-KW30,,,,,20.94,,,,,,,28.22,,,,,,
2020-KW31,,,,,20.94,21.05,,,,,,,,,,,,
2020-KW32,,50.5,,,,,,,34.74,,,,,,,,,
2020-KW33,,,,,20.94,21.05,,,,,29.88,,,,,,,
2020-KW34,,,,89.44,41.88,,22.69,,34.74,73.74,,,,,,,,
2020-KW35,,,107.77,44.72,125.65,42.1,22.69,,,,89.65,,,,,,26.71,
2020-KW36,,,53.89,,83.77,147.34,22.69,,,,,,,,,,,
2020-KW37,,,,44.72,62.83,84.19,22.69,28.54,34.74,36.87,,28.22,,,,,,
2020-KW38,,50.5,,89.44,62.83,,68.07,,34.74,,59.77,28.22,,,,,26.71,
2020-KW39,,50.5,,,20.94,21.05,,28.54,,,,56.44,29.66,,,,,
2020-KW40,,,,,,21.05,68.07,28.54,,,,,,,,45.83,,
2020-KW41,,,,,,42.1,68.07,,,36.87,,28.22,,,,,,
2020-KW42,46.99,,,89.44,167.54,105.24,,28.54,34.74,36.87,,56.44,59.32,,,,26.71,
2020-KW43,93.97,50.5,107.77,134.15,209.42,63.14,90.76,256.89,104.21,73.74,179.31,84.66,148.29,,75.33,183.34,,
2020-KW44,,151.5,53.89,134.15,272.25,336.77,136.14,114.17,138.95,147.48,149.42,141.1,88.97,140.19,112.99,91.67,106.84,
2020-KW45,93.97,151.5,107.77,89.44,397.91,484.11,226.9,313.97,104.21,553.05,239.07,310.43,148.29,35.05,150.66,45.83,160.27,
2020-KW46,140.96,50.5,161.66,178.87,544.5,589.35,431.11,342.51,382.11,258.09,239.07,225.77,296.58,140.19,150.66,,106.84,
