# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-01-27 07:56:54
# API-Download für Covid19-Inzidenzen in SK Potsdam, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW12,,,,,9.99,18.99,31.24,27.66,7.58,54.83,41.61,15.53,28.87,10.43,,13.52,8.11,
2020-KW13,,,,25.34,29.97,56.96,62.47,20.74,22.73,27.41,16.65,7.77,9.62,31.28,29.44,27.05,56.78,
2020-KW14,,32.51,11.5,50.67,109.9,104.43,93.71,48.4,30.31,91.38,49.94,85.42,57.73,,58.88,121.7,235.24,
2020-KW15,51.27,10.84,46.01,63.34,89.92,189.88,143.69,117.55,106.08,191.9,158.14,77.66,67.35,72.98,14.72,256.93,373.13,
2020-KW16,,,34.51,63.34,49.96,37.98,99.96,20.74,37.88,54.83,74.91,77.66,28.87,20.85,,40.57,105.45,
2020-KW17,20.51,10.84,34.51,25.34,59.95,37.98,43.73,27.66,30.31,27.41,16.65,7.77,9.62,10.43,,13.52,97.34,
2020-KW18,10.25,10.84,,,19.98,37.98,18.74,6.91,30.31,36.55,8.32,7.77,19.24,20.85,,,16.22,
2020-KW19,,,11.5,,29.97,,12.49,27.66,7.58,9.14,,7.77,,,,13.52,8.11,
2020-KW20,,,,,,,,,7.58,,,,,,,,,
2020-KW21,,,,,,,6.25,13.83,,,,,9.62,,,,,
2020-KW22,,,,,,,,,,,,,,,14.72,,,
2020-KW23,,,,,,,6.25,,,9.14,,,9.62,,,,,
2020-KW24,,10.84,,,,,,,,,,,,,,,,
2020-KW25,,,,,9.99,,,,,18.28,,,,,,,,
2020-KW26,,,,,,,6.25,6.91,,9.14,,,,,,,,
2020-KW27,,10.84,,,,9.49,,,7.58,,,,,,,,,
2020-KW28,,,,,,18.99,,,,,,7.77,,,,,,
2020-KW29,,,,,,9.49,,,,,,,,,,,,
2020-KW30,,,,,,,,6.91,7.58,,,7.77,,,,,8.11,
2020-KW31,10.25,10.84,,,19.98,,6.25,,15.15,9.14,,,,,,,,
2020-KW32,10.25,10.84,,,,,6.25,,7.58,,,,,,,,,
2020-KW33,,,,12.67,9.99,9.49,12.49,6.91,7.58,,,,,,,,,
2020-KW34,,,,,9.99,18.99,6.25,6.91,,,8.32,,,,,,,
2020-KW35,,,11.5,,19.98,18.99,6.25,6.91,22.73,,,,9.62,,,,,
2020-KW36,,,11.5,12.67,9.99,18.99,6.25,6.91,7.58,18.28,,,,,,,,
2020-KW37,,,23.01,,49.96,37.98,6.25,13.83,22.73,,,,9.62,,,,,
2020-KW38,,,,,,9.49,6.25,13.83,7.58,9.14,,7.77,,,,,,
2020-KW39,20.51,,,50.67,,66.46,24.99,,,,8.32,,,,,,,
2020-KW40,,10.84,,,,,24.99,,7.58,9.14,16.65,,,,,13.52,8.11,
2020-KW41,20.51,10.84,,25.34,,28.48,24.99,20.74,,9.14,16.65,23.3,19.24,10.43,,,16.22,
2020-KW42,,,11.5,12.67,69.94,56.96,56.23,13.83,30.31,36.55,33.29,38.83,67.35,20.85,44.16,40.57,16.22,
2020-KW43,10.25,10.84,23.01,88.67,69.94,47.47,43.73,48.4,68.19,54.83,24.97,69.89,57.73,31.28,88.33,54.09,8.11,
2020-KW44,30.76,10.84,69.02,76.01,79.93,75.95,49.98,69.15,83.35,63.97,66.58,31.06,9.62,31.28,29.44,67.61,8.11,
2020-KW45,41.02,,34.51,38.0,99.91,142.41,112.45,48.4,37.88,63.97,91.55,69.89,76.97,52.13,103.05,67.61,219.01,
2020-KW46,51.27,75.86,92.03,114.01,89.92,170.89,106.2,96.81,128.81,182.77,83.23,69.89,86.6,31.28,58.88,27.05,89.23,
2020-KW47,174.32,130.04,138.04,139.35,119.89,94.94,124.95,117.55,106.08,155.35,83.23,54.36,67.35,52.13,103.05,81.14,89.23,
2020-KW48,41.02,130.04,103.53,126.68,79.93,180.39,149.93,103.72,68.19,109.66,124.84,108.72,125.08,10.43,14.72,67.61,162.23,
2020-KW49,10.25,54.18,103.53,101.34,119.89,189.88,149.93,117.55,143.96,54.83,83.23,85.42,76.97,62.55,73.61,121.7,259.57,
2020-KW50,61.53,65.02,103.53,101.34,159.86,123.42,62.47,62.23,128.81,118.8,133.17,100.96,76.97,62.55,14.72,94.66,381.25,
2020-KW51,10.25,32.51,69.02,63.34,89.92,56.96,93.71,76.06,53.04,82.24,49.94,31.06,67.35,,29.44,13.52,32.45,
2020-KW52,92.29,75.86,138.04,152.01,179.84,180.39,131.19,138.29,181.85,137.07,149.81,100.96,134.71,62.55,58.88,121.7,243.35,
2020-KW53,143.56,108.37,172.55,215.35,289.74,208.87,231.15,214.35,181.85,246.73,208.07,279.57,182.82,145.95,235.54,419.2,1232.97,
2021-KW01,123.05,151.71,195.56,266.02,319.71,303.81,299.87,290.42,265.19,292.42,299.63,318.4,269.41,104.25,220.82,229.89,794.94,
2021-KW02,174.32,173.39,149.55,481.38,529.52,617.11,556.01,387.22,424.31,347.25,516.02,566.9,548.45,239.78,294.42,283.98,705.71,
2021-KW03,61.53,75.86,126.54,152.01,179.84,303.81,124.95,186.7,143.96,265.01,241.36,124.25,163.57,62.55,44.16,202.84,616.48,
2021-KW04,82.03,65.02,11.5,38.0,129.88,161.4,74.97,103.72,136.38,36.55,141.49,108.72,96.22,104.25,88.33,148.75,259.57,
2021-KW05,,21.67,46.01,63.34,59.95,56.96,81.21,55.32,37.88,27.41,16.65,77.66,28.87,31.28,29.44,54.09,73.0,
2021-KW06,,,,12.67,79.93,47.47,31.24,55.32,53.04,54.83,49.94,23.3,28.87,,14.72,27.05,24.33,
2021-KW07,10.25,10.84,23.01,12.67,19.98,18.99,68.72,34.57,7.58,45.69,24.97,31.06,76.97,,,40.57,16.22,
2021-KW08,10.25,10.84,,25.34,49.96,18.99,37.48,55.32,30.31,54.83,66.58,69.89,57.73,41.7,44.16,,56.78,
2021-KW09,41.02,,46.01,12.67,39.96,28.48,56.23,34.57,60.62,36.55,33.29,69.89,19.24,,14.72,13.52,24.33,
2021-KW10,51.27,97.53,80.52,63.34,99.91,37.98,31.24,103.72,75.77,63.97,41.61,62.13,76.97,83.4,44.16,27.05,89.23,
2021-KW11,30.76,97.53,115.04,177.35,139.87,142.41,106.2,124.46,128.81,100.52,66.58,85.42,67.35,20.85,14.72,40.57,32.45,
2021-KW12,61.53,173.39,184.06,228.02,229.79,75.95,106.2,138.29,106.08,164.49,141.49,108.72,96.22,52.13,103.05,67.61,24.33,
2021-KW13,112.8,86.69,115.04,76.01,189.83,170.89,99.96,89.89,121.23,82.24,91.55,85.42,67.35,62.55,44.16,81.14,24.33,
2021-KW14,82.03,21.67,46.01,88.67,169.85,66.46,93.71,55.32,83.35,91.38,58.26,93.19,57.73,31.28,132.49,40.57,40.56,
2021-KW15,215.34,97.53,149.55,88.67,239.78,132.92,149.93,159.04,68.19,91.38,74.91,108.72,48.11,83.4,58.88,40.57,56.78,
2021-KW16,194.83,162.55,115.04,177.35,179.84,246.84,87.46,221.27,98.5,127.94,158.14,62.13,105.84,20.85,14.72,40.57,32.45,
2021-KW17,143.56,216.73,241.57,139.35,139.87,123.42,137.44,186.7,151.54,82.24,108.2,54.36,86.6,20.85,73.61,13.52,16.22,
2021-KW18,164.07,292.59,184.06,228.02,179.84,104.43,99.96,159.04,181.85,137.07,66.58,116.49,9.62,72.98,103.05,40.57,40.56,
2021-KW19,82.03,140.88,149.55,76.01,79.93,75.95,74.97,76.06,113.65,63.97,49.94,31.06,19.24,20.85,29.44,13.52,56.78,
2021-KW20,82.03,86.69,103.53,50.67,19.98,56.96,43.73,69.15,83.35,36.55,16.65,38.83,19.24,20.85,,67.61,,
2021-KW21,20.51,21.67,23.01,38.0,39.96,28.48,18.74,6.91,37.88,18.28,8.32,7.77,28.87,10.43,,,8.11,
2021-KW22,10.25,43.35,57.52,38.0,,,18.74,20.74,37.88,18.28,,31.06,,,,,,
2021-KW23,,,,12.67,19.98,9.49,,,,,,7.77,,,,,,
2021-KW24,,10.84,,12.67,,18.99,,,,9.14,,,,,,,,
2021-KW25,,,,,,,,,15.15,,,,,,,,,
2021-KW26,,,,,,,,6.91,,,8.32,,,,,,,
2021-KW27,,10.84,,,19.98,9.49,,20.74,,,,,,,,,,
2021-KW28,,10.84,11.5,,29.97,9.49,,13.83,7.58,9.14,,,9.62,,,,,
2021-KW29,20.51,10.84,11.5,50.67,59.95,18.99,12.49,6.91,,9.14,,,9.62,,,,,
2021-KW30,,,11.5,,9.99,28.48,18.74,13.83,7.58,,8.32,23.3,,,,,8.11,
2021-KW31,30.76,43.35,34.51,25.34,49.96,28.48,12.49,13.83,15.15,9.14,8.32,15.53,9.62,,,,8.11,
2021-KW32,10.25,43.35,126.54,88.67,59.95,75.95,24.99,20.74,30.31,54.83,24.97,23.3,,10.43,14.72,,,
2021-KW33,30.76,10.84,92.03,114.01,69.94,18.99,62.47,48.4,7.58,18.28,58.26,,9.62,10.43,14.72,,,
2021-KW34,92.29,54.18,103.53,76.01,29.97,37.98,18.74,69.15,7.58,18.28,24.97,7.77,9.62,,,,16.22,
2021-KW35,30.76,65.02,138.04,63.34,59.95,56.96,31.24,27.66,53.04,73.11,8.32,38.83,19.24,10.43,,,40.56,
2021-KW36,61.53,75.86,115.04,101.34,99.91,75.95,62.47,55.32,68.19,9.14,49.94,7.77,9.62,,,,24.33,
2021-KW37,61.53,140.88,172.55,114.01,39.96,85.45,56.23,96.81,98.5,82.24,16.65,31.06,19.24,10.43,14.72,27.05,16.22,
2021-KW38,61.53,173.39,126.54,63.34,59.95,56.96,56.23,89.89,90.92,27.41,16.65,23.3,9.62,31.28,73.61,13.52,24.33,
2021-KW39,41.02,184.22,241.57,88.67,59.95,66.46,81.21,82.98,75.77,36.55,74.91,46.59,9.62,31.28,44.16,,16.22,
2021-KW40,41.02,140.88,241.57,101.34,69.94,66.46,81.21,103.72,75.77,73.11,16.65,23.3,48.11,20.85,14.72,13.52,8.11,
2021-KW41,71.78,119.2,218.57,76.01,29.97,75.95,62.47,69.15,83.35,73.11,16.65,23.3,,10.43,14.72,13.52,8.11,
2021-KW42,133.31,173.39,356.61,126.68,119.89,94.94,131.19,131.38,136.38,155.35,66.58,69.89,28.87,20.85,44.16,13.52,8.11,
2021-KW43,133.31,216.73,184.06,164.68,149.87,151.9,137.44,117.55,106.08,100.52,124.84,132.02,67.35,93.83,44.16,40.57,105.45,
2021-KW44,102.54,650.2,517.66,190.02,119.89,208.87,137.44,311.16,189.42,91.38,158.14,124.25,211.68,125.1,44.16,67.61,73.0,
2021-KW45,133.31,1051.15,885.77,253.36,219.8,294.31,168.68,297.33,424.31,265.01,233.04,147.55,221.3,177.23,58.88,243.41,154.12,
2021-KW46,205.09,1061.99,1012.31,671.4,359.68,284.82,287.37,414.88,575.84,475.19,266.33,248.51,230.92,166.81,191.37,94.66,97.34,
2021-KW47,225.59,845.25,1334.41,570.05,619.44,541.16,481.04,649.98,719.81,648.82,474.41,372.76,288.66,177.23,117.77,175.79,178.46,
2021-KW48,358.9,921.11,1046.82,557.39,479.57,370.26,356.09,442.54,591.0,502.6,366.21,326.16,192.44,145.95,117.77,108.18,105.45,
2021-KW49,174.32,888.6,989.3,494.05,299.73,379.76,381.08,401.05,363.69,484.33,291.3,264.04,192.44,208.51,161.93,40.57,81.12,
2021-KW50,184.58,661.03,770.74,380.04,379.66,341.78,331.11,435.62,515.23,484.33,282.98,217.44,163.57,93.83,176.65,94.66,137.9,
2021-KW51,112.8,574.34,667.2,253.36,309.72,370.26,268.63,297.33,265.19,265.01,208.07,201.91,125.08,83.4,44.16,54.09,113.56,
2021-KW52,225.59,390.12,471.64,468.71,439.6,503.18,368.59,401.05,515.23,310.7,274.66,264.04,96.22,145.95,103.05,162.27,64.89,
2022-KW01,276.87,628.52,828.25,1076.77,1378.76,1186.75,562.25,615.41,719.81,721.92,582.61,349.46,317.52,125.1,132.49,108.18,227.13,
2022-KW02,943.4,2579.11,2001.61,1912.85,1218.9,968.39,905.85,1106.35,1091.07,1142.28,724.09,481.48,384.87,72.98,161.93,54.09,219.01,
