# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2024-11-20 08:05:42
# API-Download für Covid19-Inzidenzen in SK Remscheid, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,28.6,,,,46.82,,12.06,,,22.52,,
2020-KW12,,18.36,,,51.15,,14.3,45.86,29.45,15.06,46.82,52.0,12.06,,18.28,22.52,,
2020-KW13,,,,18.32,,46.4,14.3,,44.17,60.24,35.12,41.6,,,54.85,22.52,23.72,
2020-KW14,,,,18.32,17.05,139.19,14.3,15.29,,45.18,58.53,72.8,36.19,,,45.04,71.17,
2020-KW15,18.1,,,18.32,34.1,108.26,57.2,107.0,29.45,45.18,23.41,52.0,48.26,15.62,91.42,90.09,237.22,
2020-KW16,18.1,18.36,,18.32,68.2,61.86,42.9,30.57,58.89,15.06,23.41,31.2,12.06,31.23,18.28,,47.44,
2020-KW17,18.1,,,,,30.93,28.6,,,30.12,,10.4,,,18.28,,47.44,
2020-KW18,,,,,,,,,14.72,,11.71,10.4,,,18.28,,,
2020-KW19,,,,,,,,30.57,14.72,,,10.4,12.06,,,,47.44,
2020-KW20,18.1,,19.2,18.32,,,,15.29,,15.06,11.71,,,,18.28,,47.44,
2020-KW21,,,,,,,,,,,,,24.13,,,,,
2020-KW22,18.1,,,,,,,,,,11.71,,24.13,15.62,,,,
2020-KW25,,,,,17.05,,,,,,,,,,,,,
2020-KW26,,,,,17.05,15.47,,,,,,,,,,,,
2020-KW28,,,,,,15.47,,,14.72,,11.71,,,15.62,,,,
2020-KW29,,,,18.32,17.05,,14.3,15.29,,30.12,11.71,,,31.23,,22.52,11.86,
2020-KW30,,,,18.32,,15.47,,,,,,10.4,12.06,,,,,
2020-KW31,,,,36.63,,46.4,28.6,30.57,,,11.71,,,,,,,
2020-KW32,18.1,,57.61,54.95,85.25,77.33,14.3,,,,11.71,10.4,12.06,15.62,,,,
2020-KW33,18.1,36.73,38.41,,51.15,61.86,14.3,15.29,14.72,15.06,,20.8,,,,22.52,,
2020-KW34,,18.36,19.2,54.95,85.25,30.93,,15.29,58.89,30.12,11.71,20.8,,,,,,
2020-KW35,,,19.2,36.63,68.2,15.47,14.3,15.29,29.45,15.06,11.71,10.4,12.06,15.62,18.28,22.52,,
2020-KW36,,,19.2,,17.05,30.93,28.6,,14.72,,23.41,,,,,,,
2020-KW37,18.1,36.73,57.61,36.63,51.15,15.47,42.9,45.86,14.72,,,10.4,12.06,15.62,18.28,,,
2020-KW38,,36.73,115.22,36.63,34.1,30.93,28.6,91.72,44.17,75.3,23.41,31.2,24.13,46.85,,45.04,11.86,
2020-KW39,18.1,91.81,153.62,256.41,170.5,46.4,114.4,91.72,147.23,60.24,23.41,52.0,,15.62,36.57,,11.86,
2020-KW40,,91.81,192.03,91.58,136.4,30.93,28.6,168.14,29.45,120.48,23.41,31.2,24.13,31.23,36.57,,35.58,
2020-KW41,18.1,18.36,57.61,128.21,102.3,77.33,71.5,30.57,44.17,15.06,81.94,20.8,36.19,,36.57,,,
2020-KW42,36.2,,38.41,73.26,68.2,139.19,114.4,30.57,73.61,75.3,163.88,93.6,60.32,78.09,73.14,67.56,47.44,
2020-KW43,108.59,73.45,57.61,146.52,358.04,340.24,271.7,244.57,147.23,271.07,222.4,176.8,156.84,46.85,36.57,180.17,177.91,
2020-KW44,144.78,110.18,249.64,311.36,323.94,448.5,286.0,244.57,206.12,421.67,269.23,156.0,132.71,109.32,127.99,180.17,320.25,
2020-KW45,18.1,165.27,172.83,329.67,426.24,278.38,200.2,198.72,323.9,286.13,280.93,218.4,156.84,109.32,91.42,135.13,166.05,
2020-KW46,90.49,73.45,192.03,219.78,340.99,201.05,286.0,397.43,338.62,225.9,222.4,218.4,180.97,124.94,109.7,157.65,166.05,
2020-KW47,54.29,128.54,134.42,146.52,289.84,293.84,257.4,321.0,176.67,195.78,257.52,145.6,144.78,93.7,36.57,202.69,177.91,
2020-KW48,72.39,36.73,192.03,164.84,136.4,154.66,143.0,214.0,132.5,240.95,175.58,166.4,156.84,140.55,146.27,67.56,249.08,
