# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-08-25 05:53:46
# API-Download für Covid19-Inzidenzen in SK Rosenheim, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,20.7,,,,,,,,,,,
2020-KW11,,,,,,,,,,24.83,,,,,34.9,,,
2020-KW12,,,71.97,33.18,48.04,62.02,124.17,69.64,150.19,24.83,185.8,131.96,114.42,31.27,,,52.67,
2020-KW13,31.52,36.36,,,144.13,165.39,248.34,139.28,125.16,124.16,247.73,219.93,171.62,125.08,104.71,68.35,105.35,
2020-KW14,,,,,120.11,124.04,41.39,185.7,225.28,173.83,123.86,175.94,257.44,62.54,69.81,170.88,184.36,
2020-KW15,94.55,72.73,35.98,132.71,240.21,165.39,144.87,162.49,50.06,124.16,123.86,131.96,114.42,62.54,104.71,136.71,131.68,
2020-KW16,31.52,36.36,,,192.17,268.76,124.17,139.28,50.06,198.66,82.58,87.97,85.81,31.27,34.9,170.88,105.35,
2020-KW17,63.03,109.09,107.95,66.36,192.17,227.41,227.65,116.06,100.13,148.99,61.93,175.94,171.62,,,,26.34,
2020-KW18,63.03,72.73,,,72.06,82.7,41.39,92.85,100.13,24.83,20.64,43.99,28.6,,,34.18,105.35,
2020-KW19,31.52,72.73,35.98,33.18,120.11,144.72,103.48,46.43,25.03,24.83,41.29,21.99,28.6,62.54,,,,
2020-KW20,94.55,36.36,,,24.02,41.35,20.7,,,49.66,,21.99,,,34.9,,,
2020-KW21,,,,,,,,23.21,,24.83,,,,,,,26.34,
2020-KW22,31.52,,,,,20.67,,,,,,21.99,,,,,26.34,
2020-KW23,,,,,,,,23.21,,,,,,,,,,
2020-KW24,,,,,24.02,,,,,,20.64,,,,,,,
2020-KW25,,,,,,,,,,,,,,,,34.18,26.34,
2020-KW26,,,,,,,,23.21,25.03,24.83,,,,,,,,
2020-KW27,63.03,,,,,20.67,20.7,,,24.83,,21.99,,,,,,
2020-KW29,,,,66.36,,,20.7,,,24.83,,,,,,,,
2020-KW30,31.52,,71.97,,24.02,,62.09,23.21,25.03,,,,28.6,,,,26.34,
2020-KW31,,,35.98,,,,,,,24.83,,,,31.27,,,,
2020-KW32,,,,,48.04,62.02,,,25.03,49.66,,,,,,,,
2020-KW33,,,35.98,66.36,24.02,62.02,20.7,69.64,50.06,24.83,20.64,,,,,34.18,,
2020-KW34,,,71.97,99.54,120.11,41.35,124.17,69.64,100.13,,61.93,43.99,,,,,,
2020-KW35,63.03,,107.95,66.36,48.04,62.02,20.7,92.85,25.03,99.33,20.64,21.99,,,,,26.34,
2020-KW36,94.55,36.36,143.94,165.89,120.11,41.35,41.39,46.43,100.13,49.66,41.29,,,31.27,34.9,,,
2020-KW37,,,71.97,165.89,72.06,,62.09,69.64,50.06,74.5,103.22,21.99,,,,,,
2020-KW38,,,,99.54,96.08,41.35,20.7,23.21,50.06,49.66,82.58,,28.6,,,,,
2020-KW39,,,35.98,66.36,,41.35,41.39,23.21,,24.83,61.93,43.99,,,,34.18,,
2020-KW40,,,35.98,33.18,48.04,62.02,,,25.03,99.33,61.93,,,31.27,,,26.34,
2020-KW41,,109.09,251.89,66.36,168.15,41.35,165.56,69.64,75.09,49.66,61.93,43.99,28.6,,,,,
2020-KW42,94.55,72.73,359.84,33.18,48.04,82.7,124.17,162.49,125.16,99.33,123.86,109.96,28.6,,,,,
2020-KW43,31.52,509.09,251.89,265.43,264.23,248.09,144.87,162.49,175.22,248.32,227.09,219.93,114.42,31.27,69.81,34.18,52.67,
2020-KW44,31.52,181.82,287.87,431.32,408.36,372.13,310.43,185.7,200.25,173.83,350.95,197.93,143.02,218.89,174.52,102.53,26.34,
2020-KW45,63.03,254.55,323.86,564.03,528.47,330.78,227.65,255.34,275.34,546.31,454.17,329.89,171.62,156.35,209.42,170.88,131.68,
2020-KW46,94.55,36.36,395.83,298.61,240.21,248.09,248.34,139.28,125.16,223.49,330.31,241.92,114.42,250.16,69.81,68.35,105.35,
2020-KW47,94.55,145.45,179.92,564.03,336.3,268.76,248.34,208.91,450.56,297.99,185.8,175.94,257.44,93.81,209.42,68.35,105.35,
2020-KW48,31.52,472.73,251.89,530.86,168.15,289.44,269.04,162.49,225.28,446.98,227.09,285.9,314.65,218.89,209.42,136.71,447.72,
