# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-08-08 05:58:55
# API-Download für Covid19-Inzidenzen in SK Schwabach, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,,40.55,,,,,,,,,
2020-KW11,,,,,,,,39.05,,,54.57,,,,,,,
2020-KW12,,,53.65,51.26,,,,,,75.7,109.14,,,,,,,
2020-KW13,,52.49,,153.77,92.46,43.99,40.11,156.19,202.76,75.7,54.57,89.45,75.96,45.54,51.39,,36.52,
2020-KW14,,,,,,87.99,120.34,,40.55,37.85,54.57,29.82,,45.54,51.39,48.57,36.52,
2020-KW15,,,,,46.23,,80.22,,,75.7,27.29,29.82,113.94,45.54,51.39,48.57,36.52,
2020-KW16,,,,,,,40.11,,,37.85,,29.82,,,51.39,,,
2020-KW17,,,,,,,,,,,54.57,,,,,,,
2020-KW18,,,,,,,,,40.55,,27.29,29.82,,,,,,
2020-KW19,,,,,,,,,,,,29.82,,,,,,
2020-KW22,,,,,,,,,,,,,,45.54,,,,
2020-KW26,,,,,,,,,,,,,,,,,36.52,
2020-KW27,,,,,,,,,,,27.29,,,,,,,
2020-KW28,,104.99,,,,43.99,,39.05,,37.85,,,,,,,,
2020-KW30,48.26,,,,,,,,,,,,,,,,,
2020-KW31,,,,,,,,39.05,40.55,37.85,27.29,29.82,,,,,,
2020-KW33,,,,,,,,,,37.85,,,,,,,,
2020-KW34,,,,51.26,,,,,,,,,,,,,,
2020-KW35,,,,102.51,46.23,43.99,,,40.55,,,29.82,,,,,,
2020-KW36,48.26,,53.65,,46.23,43.99,40.11,,,37.85,,,,,,,,
2020-KW37,,52.49,53.65,51.26,46.23,,,,,,,,75.96,,,,,
2020-KW38,,,53.65,,,,,39.05,40.55,,27.29,,,,,,,
2020-KW39,,,,,46.23,,40.11,,40.55,,54.57,,,,,,,
2020-KW40,,,53.65,,,43.99,,,,,27.29,,,,,,,
2020-KW41,,52.49,,,92.46,43.99,,78.09,121.65,,,29.82,37.98,,,,,
2020-KW42,,,53.65,51.26,92.46,87.99,80.22,117.14,121.65,37.85,,29.82,75.96,91.07,,,,
2020-KW43,48.26,52.49,53.65,,138.7,175.98,40.11,39.05,40.55,,136.43,,75.96,45.54,,,,
2020-KW44,337.84,52.49,107.3,256.28,138.7,263.97,120.34,156.19,81.1,340.65,163.71,149.08,75.96,45.54,,,,
2020-KW45,193.05,157.48,268.24,205.02,277.39,131.98,120.34,78.09,283.86,227.1,81.86,268.34,113.94,45.54,102.77,,73.05,
2020-KW46,48.26,104.99,321.89,205.02,92.46,175.98,160.45,273.33,324.41,227.1,136.43,119.26,341.82,91.07,154.16,194.27,511.32,
2020-KW47,48.26,209.97,268.24,153.77,184.93,87.99,,117.14,121.65,302.8,327.42,119.26,75.96,91.07,51.39,48.57,365.23,
2020-KW48,,262.47,160.94,256.28,416.09,131.98,160.45,78.09,243.31,189.25,163.71,238.52,113.94,136.61,205.55,437.11,2264.43,
2020-KW49,48.26,682.41,751.07,512.56,554.79,263.97,240.67,234.28,243.31,264.95,245.57,357.78,227.88,182.15,102.77,,292.18,
2020-KW50,193.05,419.95,268.24,717.58,462.32,571.93,441.24,351.43,486.62,454.2,409.28,447.23,265.86,182.15,51.39,291.4,474.8,
2020-KW51,48.26,262.47,643.78,307.53,277.39,219.97,561.57,585.71,446.07,454.2,572.99,357.78,265.86,91.07,411.1,291.4,1314.83,
2020-KW52,96.53,367.45,214.59,256.28,277.39,351.96,200.56,234.28,121.65,454.2,272.85,447.23,341.82,227.69,308.32,97.13,1168.74,
2020-KW53,48.26,209.97,107.3,,231.16,131.98,120.34,195.24,243.31,189.25,245.57,149.08,151.92,182.15,51.39,437.11,730.46,
2021-KW01,,104.99,160.94,256.28,277.39,263.97,240.67,195.24,567.72,151.4,245.57,298.15,189.9,136.61,102.77,242.84,255.66,
2021-KW02,,157.48,53.65,358.79,184.93,219.97,160.45,195.24,364.96,113.55,163.71,178.89,151.92,136.61,154.16,48.57,657.41,
2021-KW03,,,53.65,102.51,184.93,43.99,40.11,195.24,121.65,227.1,81.86,59.63,227.88,136.61,,97.13,146.09,
2021-KW04,,,,51.26,46.23,175.98,80.22,117.14,40.55,37.85,54.57,29.82,113.94,45.54,,,328.71,
2021-KW05,48.26,,,51.26,138.7,131.98,40.11,,40.55,113.55,136.43,89.45,37.98,,,48.57,,
2021-KW06,96.53,104.99,,51.26,138.7,43.99,80.22,117.14,81.1,37.85,,29.82,75.96,45.54,,,36.52,
2021-KW07,144.79,104.99,53.65,102.51,46.23,87.99,120.34,195.24,,113.55,54.57,89.45,,,,48.57,36.52,
2021-KW08,144.79,52.49,107.3,51.26,,43.99,40.11,39.05,121.65,113.55,81.86,59.63,,45.54,,48.57,,
2021-KW09,,52.49,53.65,51.26,231.16,175.98,120.34,117.14,40.55,113.55,,29.82,37.98,,102.77,,,
2021-KW10,48.26,262.47,53.65,,46.23,219.97,160.45,273.33,121.65,189.25,54.57,,113.94,45.54,,,,
2021-KW11,48.26,52.49,53.65,102.51,46.23,307.96,160.45,195.24,81.1,113.55,81.86,89.45,37.98,91.07,,,36.52,
2021-KW12,96.53,157.48,53.65,51.26,46.23,175.98,280.79,195.24,324.41,75.7,136.43,119.26,113.94,91.07,,97.13,,
2021-KW13,96.53,262.47,268.24,153.77,184.93,175.98,280.79,312.38,81.1,454.2,81.86,89.45,75.96,45.54,102.77,,,
2021-KW14,144.79,104.99,160.94,358.79,231.16,263.97,280.79,117.14,283.86,227.1,27.29,178.89,113.94,136.61,,,36.52,
2021-KW15,96.53,104.99,482.83,205.02,184.93,175.98,320.9,156.19,243.31,454.2,109.14,29.82,75.96,45.54,154.16,48.57,,
2021-KW16,48.26,52.49,429.18,205.02,184.93,307.96,280.79,78.09,283.86,227.1,218.28,59.63,113.94,45.54,51.39,,109.57,
2021-KW17,48.26,209.97,214.59,205.02,46.23,87.99,40.11,195.24,121.65,75.7,54.57,149.08,75.96,91.07,,,,
2021-KW18,,104.99,321.89,102.51,92.46,87.99,80.22,39.05,81.1,151.4,54.57,,37.98,,,,,
2021-KW19,,104.99,160.94,51.26,,43.99,80.22,78.09,243.31,,54.57,29.82,75.96,45.54,,,36.52,
2021-KW20,,,,,,43.99,40.11,39.05,,,,,113.94,136.61,154.16,48.57,,
2021-KW21,48.26,,53.65,,,43.99,200.56,,81.1,,,,,,,,,
2021-KW22,144.79,52.49,53.65,,,87.99,80.22,,81.1,37.85,,29.82,,,,48.57,,
2021-KW23,,,53.65,,,,,,81.1,,,,,,,48.57,,
2021-KW24,,,,,46.23,,,,,,,,,,,,,
2021-KW25,,,,,46.23,,,,,,,,,,,,36.52,
2021-KW26,,,,,,,,,,37.85,,,,,,,,
2021-KW27,,,,51.26,46.23,,,,,,,,,,,,,
2021-KW28,,,,102.51,46.23,,,,,,27.29,,,,,,,
2021-KW31,,,,51.26,,,,,,37.85,,,,,,,,
