# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-08-13 08:56:42
# API-Download für Covid19-Inzidenzen in SK Suhl, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,66.8,,,,,,,,,,,,,
2020-KW12,,,,,,,53.45,,54.61,,,30.66,,,,,,
2020-KW13,,,,,,,,,,,,,32.87,,,39.81,,
2020-KW14,,,,,,,,,54.61,51.41,,30.66,,,,,27.59,
2020-KW15,,,,,,,,,,,,30.66,,,,,,
2020-KW16,,,,,,,,,,,,,65.75,,,,,
2020-KW20,,,,,,,,,,,,,,,38.18,,27.59,
2020-KW21,,,,,,,,,54.61,51.41,,,,,,,,
2020-KW22,,73.48,,,,,,54.5,,,,,,,,,,
2020-KW24,,,,,,,,,,,,,,29.63,,,,
2020-KW27,,,,,,,,54.5,,,,,,,,,,
2020-KW33,,,,,334.0,,,,,,,,,,,,,
2020-KW34,,,,,133.6,75.47,,,,,,,,,,,,
2020-KW35,,,,,66.8,,,,,,,,,,,,,
2020-KW36,,,,,66.8,,,,,,,,,,,,,
2020-KW37,,,,,,,,,,,75.36,,,,,,,
2020-KW41,,,,,133.6,,,,109.23,,,,,,,,,
2020-KW42,,,,,,,53.45,,,,37.68,,,29.63,,,,
2020-KW43,,,83.61,,66.8,,160.34,163.49,,51.41,,91.97,,,,,,
2020-KW44,,,,,133.6,,106.89,,54.61,51.41,75.36,214.59,65.75,,,,,
2020-KW45,84.25,,167.22,79.49,,,106.89,54.5,,,37.68,91.97,98.62,29.63,76.37,79.62,,
2020-KW46,,,,79.49,66.8,,,54.5,,51.41,75.36,91.97,98.62,29.63,38.18,119.43,55.17,
2020-KW47,,,,,,,53.45,,,51.41,150.72,91.97,65.75,,,,27.59,
2020-KW48,84.25,,167.22,,334.0,226.42,213.79,163.49,273.07,205.66,75.36,122.62,98.62,29.63,,,27.59,
2020-KW49,,,167.22,317.97,133.6,452.83,160.34,435.97,54.61,154.24,188.39,122.62,164.37,59.26,38.18,318.47,662.07,
2020-KW50,168.49,,83.61,317.97,200.4,679.25,481.03,272.48,218.46,565.55,339.11,367.87,460.22,325.93,114.55,318.47,1048.28,
2020-KW51,168.49,146.95,668.9,397.46,668.0,528.3,374.13,708.45,382.3,668.38,376.79,429.18,460.22,385.19,38.18,159.24,386.21,
2020-KW52,168.49,293.9,,158.98,534.4,603.77,427.58,435.97,491.53,257.07,301.43,275.9,295.86,237.04,229.1,278.66,606.9,
2020-KW53,,,83.61,79.49,267.2,226.42,481.03,326.98,109.23,668.38,452.15,306.56,460.22,88.89,114.55,358.28,441.38,
2021-KW01,,,83.61,476.95,334.0,528.3,374.13,544.96,327.69,771.21,452.15,398.53,493.1,237.04,305.46,318.47,1186.21,
2021-KW02,,,,,200.4,150.94,374.13,217.98,436.92,308.48,339.11,275.9,65.75,59.26,152.73,238.85,551.72,
2021-KW03,,73.48,,476.95,66.8,226.42,160.34,272.48,436.92,51.41,226.07,183.94,98.62,59.26,,159.24,110.34,
2021-KW04,84.25,,334.45,476.95,66.8,150.94,213.79,,273.07,411.31,301.43,214.59,230.11,88.89,76.37,79.62,220.69,
2021-KW05,,367.38,83.61,238.47,66.8,301.89,267.24,217.98,109.23,154.24,150.72,245.25,197.24,148.15,114.55,159.24,220.69,
2021-KW06,,,83.61,79.49,200.4,377.36,160.34,54.5,163.84,154.24,75.36,245.25,65.75,59.26,38.18,119.43,27.59,
2021-KW07,,73.48,167.22,238.47,267.2,75.47,53.45,163.49,218.46,102.83,75.36,153.28,98.62,88.89,38.18,39.81,193.1,
2021-KW08,252.74,146.95,,238.47,133.6,226.42,427.58,108.99,382.3,51.41,75.36,153.28,98.62,59.26,,,,
2021-KW09,589.72,587.8,167.22,79.49,66.8,150.94,587.92,490.46,163.84,102.83,226.07,183.94,98.62,118.52,152.73,119.43,27.59,
2021-KW10,421.23,587.8,167.22,794.91,467.6,226.42,106.89,381.47,163.84,205.66,301.43,245.25,164.37,148.15,,,165.52,
2021-KW11,,367.38,,476.95,534.4,301.89,320.68,326.98,218.46,205.66,188.39,306.56,197.24,,114.55,119.43,165.52,
2021-KW12,,367.38,250.84,556.44,400.8,226.42,374.13,326.98,218.46,102.83,226.07,429.18,131.49,29.63,76.37,159.24,220.69,
2021-KW13,252.74,,,238.47,334.0,75.47,160.34,435.97,109.23,205.66,188.39,275.9,197.24,59.26,190.91,79.62,55.17,
2021-KW14,,73.48,250.84,238.47,467.6,,160.34,217.98,163.84,154.24,339.11,459.84,262.98,237.04,152.73,119.43,82.76,
2021-KW15,421.23,220.43,585.28,476.95,133.6,905.66,320.68,108.99,382.3,154.24,376.79,367.87,98.62,355.56,114.55,39.81,165.52,
2021-KW16,421.23,661.28,167.22,,334.0,226.42,160.34,435.97,109.23,308.48,150.72,153.28,295.86,118.52,76.37,79.62,165.52,
2021-KW17,842.46,808.23,334.45,794.91,734.8,452.83,427.58,490.46,163.84,359.9,188.39,61.31,65.75,148.15,190.91,119.43,55.17,
2021-KW18,,220.43,83.61,,,301.89,160.34,163.49,218.46,205.66,,275.9,65.75,59.26,76.37,39.81,,
2021-KW19,,73.48,,158.98,66.8,150.94,160.34,163.49,163.84,51.41,75.36,61.31,131.49,59.26,114.55,,55.17,
2021-KW20,84.25,146.95,83.61,158.98,133.6,150.94,106.89,272.48,163.84,257.07,37.68,30.66,164.37,29.63,114.55,,27.59,
2021-KW21,,,,158.98,,75.47,53.45,54.5,109.23,,37.68,61.31,,88.89,,39.81,,
2021-KW22,,,83.61,79.49,,,106.89,,,,,30.66,,59.26,,,,
2021-KW23,,,,,,75.47,53.45,,,,,30.66,65.75,,,,,
2021-KW24,,,,,66.8,,,,,,,,,,,,,
2021-KW28,,,,,,75.47,,,,,,,,,,,,
2021-KW29,,,,397.46,,,,,,,,,,,,,,
2021-KW30,84.25,,,,,,,,,,,30.66,,,,,,
2021-KW32,,,,,66.8,,,,,,,,,,,,,
2021-KW33,,73.48,167.22,,,,53.45,108.99,54.61,,,,,,,,,
2021-KW34,,,83.61,79.49,,,,54.5,,,37.68,30.66,,,,,,
2021-KW35,252.74,440.85,334.45,,400.8,75.47,,,163.84,102.83,37.68,,,,,,,
2021-KW36,84.25,220.43,,79.49,66.8,150.94,,54.5,,,,61.31,,,38.18,,,
2021-KW37,,293.9,167.22,79.49,133.6,150.94,,108.99,54.61,51.41,,61.31,,29.63,76.37,39.81,27.59,
2021-KW38,84.25,73.48,,,133.6,,53.45,54.5,54.61,,37.68,30.66,,,,,,
2021-KW39,,73.48,250.84,158.98,,,53.45,163.49,163.84,154.24,,91.97,,,,,27.59,
2021-KW40,,73.48,167.22,158.98,200.4,150.94,267.24,54.5,273.07,51.41,37.68,,131.49,148.15,38.18,,27.59,
2021-KW41,,73.48,83.61,79.49,66.8,,213.79,108.99,54.61,51.41,75.36,91.97,197.24,,38.18,79.62,27.59,
2021-KW42,,73.48,418.06,158.98,267.2,528.3,267.24,272.48,109.23,,150.72,214.59,131.49,118.52,152.73,199.04,303.45,
2021-KW43,84.25,73.48,83.61,397.46,400.8,377.36,320.68,326.98,163.84,205.66,113.04,153.28,131.49,118.52,114.55,199.04,165.52,
2021-KW44,,73.48,668.9,953.9,334.0,679.25,374.13,381.47,546.15,668.38,452.15,337.22,230.11,177.78,38.18,159.24,275.86,
2021-KW45,,1102.13,1254.18,1987.28,734.8,754.72,801.71,381.47,655.38,668.38,489.83,306.56,361.6,266.67,305.46,,413.79,
2021-KW46,336.98,2351.21,1839.46,1828.3,868.4,905.66,1068.95,871.93,1092.3,1233.93,866.62,674.43,525.97,414.81,190.91,199.04,220.69,
2021-KW47,758.21,2130.79,2173.91,1271.86,868.4,830.19,1282.74,1580.38,1419.99,1131.11,866.62,1042.31,854.7,562.96,381.83,159.24,413.79,
2021-KW48,589.72,2204.26,2591.97,1271.86,1469.61,905.66,1977.55,2016.35,1802.29,874.04,715.9,827.71,1150.56,651.85,572.74,318.47,524.14,
2021-KW49,505.48,2571.64,1755.85,2225.76,1068.8,1132.08,1656.87,1144.41,1856.91,822.62,753.58,1287.55,756.08,385.19,267.28,159.24,441.38,
2021-KW50,589.72,2130.79,2090.3,1271.86,1068.8,981.13,2191.34,1852.86,928.45,616.97,678.22,919.68,657.46,266.67,305.46,199.04,413.79,
2021-KW51,505.48,1028.66,1588.63,397.46,668.0,905.66,801.71,980.93,873.84,462.72,565.18,521.15,460.22,237.04,267.28,278.66,165.52,
2021-KW52,84.25,440.85,668.9,556.44,334.0,528.3,641.37,926.43,436.92,565.55,489.83,429.18,131.49,88.89,152.73,159.24,220.69,
2022-KW01,,440.85,250.84,635.93,400.8,452.83,694.82,599.46,382.3,359.9,263.75,91.97,262.98,177.78,114.55,199.04,165.52,
2022-KW02,252.74,293.9,668.9,397.46,200.4,377.36,213.79,653.95,655.38,308.48,75.36,183.94,262.98,,38.18,39.81,110.34,
2022-KW03,168.49,367.38,334.45,317.97,467.6,452.83,160.34,490.46,273.07,462.72,113.04,30.66,131.49,88.89,76.37,,55.17,
2022-KW04,589.72,440.85,2675.59,476.95,1068.8,830.19,374.13,980.93,327.69,462.72,263.75,214.59,164.37,88.89,38.18,,,
2022-KW05,421.23,1175.61,5434.78,3895.07,1068.8,1433.96,1122.39,1743.87,1419.99,1696.66,715.9,613.12,361.6,88.89,267.28,,110.34,
2022-KW06,673.97,1028.66,2759.2,1987.28,1870.41,1358.49,1656.87,1471.39,1583.83,1645.24,1243.41,950.34,591.72,266.67,305.46,199.04,193.1,
2022-KW07,673.97,2865.54,1755.85,1510.33,1269.21,1056.6,2405.13,2997.28,1693.06,411.31,1205.73,1072.96,821.83,325.93,343.64,119.43,524.14,
2022-KW08,505.48,1028.66,1254.18,1510.33,1736.81,2566.04,2244.79,1743.87,1037.68,976.86,753.58,1471.49,788.95,207.41,534.56,159.24,524.14,
2022-KW09,758.21,2939.02,2090.3,1589.83,1670.01,1962.26,1549.97,1961.85,2512.29,1182.52,1318.76,950.34,986.19,444.44,267.28,437.9,413.79,
2022-KW10,1010.95,1542.98,1588.63,1192.37,935.2,830.19,1175.84,653.95,1365.37,308.48,791.26,521.15,525.97,414.81,229.1,199.04,220.69,
2022-KW11,1095.2,1910.36,1254.18,2623.21,2738.81,2867.92,3099.95,2997.28,3003.82,2107.97,2034.66,1686.08,1413.54,829.63,1030.93,636.94,717.24,
2022-KW12,1684.92,2792.06,2759.2,3815.58,4342.02,2792.45,3955.1,4523.16,3713.82,4010.28,3127.35,2176.58,2333.99,977.78,1030.93,875.8,1241.38,
2022-KW13,421.23,1249.08,2090.3,1669.32,1603.21,1433.96,2244.79,1852.86,1911.52,1593.83,2072.34,1471.49,1150.56,651.85,343.64,597.13,579.31,
2022-KW14,421.23,955.18,1588.63,1430.84,1068.8,1132.08,1282.74,1416.89,873.84,874.04,1281.09,889.03,821.83,414.81,267.28,159.24,275.86,
2022-KW15,421.23,661.28,668.9,556.44,467.6,1056.6,1229.29,1035.42,819.22,462.72,489.83,735.74,558.84,237.04,458.19,159.24,110.34,
2022-KW16,84.25,661.28,334.45,397.46,868.4,981.13,801.71,926.43,819.22,565.55,565.18,797.06,558.84,444.44,343.64,318.47,331.03,
2022-KW17,,146.95,83.61,874.4,267.2,603.77,694.82,653.95,382.3,411.31,602.86,337.22,262.98,296.3,152.73,238.85,248.28,
2022-KW18,,,501.67,158.98,334.0,452.83,427.58,108.99,382.3,359.9,489.83,306.56,525.97,266.67,420.01,238.85,358.62,
2022-KW19,,146.95,250.84,476.95,200.4,301.89,641.37,108.99,491.53,257.07,339.11,245.25,164.37,266.67,190.91,159.24,193.1,
2022-KW20,,,167.22,158.98,133.6,75.47,213.79,217.98,54.61,154.24,113.04,153.28,197.24,59.26,76.37,199.04,137.93,
2022-KW21,,,,79.49,133.6,75.47,53.45,108.99,163.84,51.41,113.04,122.62,131.49,118.52,,,,
2022-KW22,,,334.45,,66.8,,53.45,54.5,163.84,154.24,75.36,153.28,98.62,59.26,152.73,119.43,82.76,
2022-KW23,,73.48,83.61,158.98,267.2,75.47,267.24,163.49,163.84,154.24,188.39,214.59,197.24,148.15,267.28,119.43,193.1,
2022-KW24,,,83.61,158.98,534.4,75.47,267.24,163.49,54.61,51.41,150.72,153.28,262.98,148.15,152.73,159.24,82.76,
2022-KW25,,,,79.49,267.2,377.36,267.24,163.49,273.07,102.83,226.07,337.22,65.75,177.78,114.55,159.24,55.17,
2022-KW26,,,250.84,476.95,,150.94,427.58,54.5,273.07,205.66,226.07,306.56,230.11,207.41,381.83,39.81,110.34,
2022-KW27,,,167.22,158.98,267.2,75.47,160.34,163.49,382.3,102.83,376.79,153.28,295.86,118.52,38.18,238.85,55.17,
2022-KW28,,,167.22,,534.4,377.36,213.79,272.48,163.84,257.07,414.47,459.84,230.11,266.67,229.1,199.04,165.52,
2022-KW29,,73.48,,317.97,467.6,603.77,748.26,708.45,436.92,308.48,678.22,459.84,197.24,118.52,534.56,278.66,386.21,
2022-KW30,84.25,,,79.49,467.6,301.89,694.82,708.45,382.3,616.97,339.11,306.56,328.73,325.93,420.01,119.43,248.28,
2022-KW31,,,,79.49,200.4,301.89,374.13,490.46,109.23,154.24,339.11,459.84,427.35,207.41,152.73,119.43,165.52,
2022-KW32,168.49,73.48,,79.49,200.4,,53.45,108.99,273.07,308.48,188.39,122.62,262.98,29.63,,79.62,110.34,
