# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-02-24 07:55:51
# API-Download für Covid19-Inzidenzen in SK Ulm, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,17.93,,,,9.62,,,13.0,11.46,,,,,,,
2020-KW11,,,,,,27.56,9.62,11.45,12.64,13.0,,12.06,,16.73,,,,
2020-KW12,16.59,17.65,35.86,16.81,,36.74,38.46,103.08,75.83,52.01,68.74,36.18,70.37,,18.89,21.63,,
2020-KW13,16.59,17.65,,33.62,10.18,82.67,48.08,103.08,75.83,104.02,57.29,12.06,28.15,50.18,37.79,21.63,25.91,
2020-KW14,,17.65,,67.24,40.7,55.12,76.92,34.36,50.56,78.01,126.03,120.61,70.37,16.73,,86.52,25.91,
2020-KW15,16.59,17.65,17.93,16.81,10.18,27.56,28.85,22.91,37.92,52.01,,24.12,14.07,16.73,,43.26,51.83,
2020-KW16,,,,,,9.19,9.62,,,13.0,11.46,,14.07,,18.89,21.63,25.91,
2020-KW17,,,,16.81,,,28.85,45.81,25.28,13.0,,,14.07,16.73,,,116.61,
2020-KW18,,,,,20.35,,,11.45,,,11.46,,,16.73,37.79,,12.96,
2020-KW19,,,,,,,,,,,,12.06,,,,21.63,,
2020-KW20,,,,,40.7,9.19,,11.45,,,22.91,,,,,,,
2020-KW21,,,17.93,,,27.56,9.62,,25.28,,,,,,,,,
2020-KW22,,,,,,,19.23,,,,,,,33.46,18.89,,,
2020-KW23,,,,,,9.19,,,12.64,13.0,,,,,,,,
2020-KW24,,,,,20.35,,,11.45,,26.0,11.46,,,,,,,
2020-KW26,,,,,,,,,,,11.46,,,,,,,
2020-KW27,,,,,,,,,12.64,,11.46,,,,,,,
2020-KW28,,,,,10.18,9.19,,,12.64,,,,,,,,,
2020-KW29,,,,16.81,10.18,18.37,,,,,45.83,,,,,,,
2020-KW30,,17.65,53.79,16.81,30.53,27.56,,,12.64,26.0,11.46,48.25,,16.73,,,,
2020-KW31,,,,50.43,10.18,9.19,,11.45,25.28,13.0,,,28.15,,,,,
2020-KW32,,,,,20.35,36.74,,22.91,37.92,26.0,22.91,,,,,,12.96,
2020-KW33,16.59,35.3,,16.81,40.7,73.49,9.62,,37.92,39.01,,,14.07,16.73,18.89,,,
2020-KW34,33.17,,17.93,67.24,50.88,64.3,38.46,11.45,12.64,91.02,11.46,24.12,28.15,,,,12.96,
2020-KW35,,,35.86,67.24,61.05,36.74,19.23,45.81,75.83,39.01,11.46,,,,,,,
2020-KW36,16.59,52.95,53.79,67.24,40.7,36.74,28.85,45.81,63.2,65.01,57.29,12.06,14.07,,,21.63,,
2020-KW37,16.59,35.3,35.86,50.43,81.4,36.74,19.23,11.45,25.28,65.01,57.29,12.06,,16.73,37.79,43.26,,
2020-KW38,33.17,35.3,17.93,50.43,40.7,27.56,38.46,11.45,50.56,,34.37,48.25,,16.73,,,,
2020-KW39,,35.3,35.86,33.62,50.88,,19.23,,25.28,65.01,,24.12,28.15,,18.89,,25.91,
2020-KW40,,,17.93,33.62,10.18,18.37,28.85,11.45,25.28,78.01,22.91,,14.07,,18.89,,,
2020-KW41,16.59,52.95,17.93,33.62,61.05,36.74,19.23,45.81,101.11,39.01,80.2,48.25,14.07,16.73,18.89,21.63,,
2020-KW42,16.59,35.3,35.86,134.48,91.58,110.23,57.69,45.81,75.83,39.01,11.46,72.37,14.07,33.46,37.79,,,
2020-KW43,33.17,70.6,89.65,302.57,162.8,119.42,96.15,103.08,176.95,117.02,206.23,96.49,42.22,33.46,113.36,43.26,51.83,
2020-KW44,82.93,52.95,125.52,201.71,193.33,137.79,230.77,91.63,139.03,247.04,91.66,120.61,168.9,50.18,75.57,21.63,38.87,
2020-KW45,66.35,88.25,35.86,151.29,254.38,211.28,192.31,160.35,202.22,195.03,194.78,132.67,84.45,33.46,37.79,86.52,220.26,
2020-KW46,66.35,35.3,53.79,252.14,234.03,128.61,230.77,114.53,278.06,273.05,148.95,301.53,225.19,117.1,56.68,129.79,233.22,
2020-KW47,33.17,105.89,89.65,268.95,295.08,156.16,153.85,160.35,164.31,169.03,217.69,217.1,182.97,117.1,75.57,216.31,220.26,
2020-KW48,33.17,52.95,143.45,168.1,203.5,128.61,230.77,137.44,151.67,234.04,137.49,241.23,168.9,100.37,75.57,64.89,388.7,
2020-KW49,49.76,88.25,71.72,235.33,254.38,211.28,153.85,229.07,164.31,221.04,229.15,156.8,154.82,66.91,132.25,324.46,259.13,
2020-KW50,16.59,123.54,161.38,369.81,254.38,202.09,182.69,217.62,240.14,273.05,206.23,265.35,197.04,33.46,132.25,108.15,298.0,
2020-KW51,82.93,88.25,17.93,117.67,213.68,211.28,144.23,160.35,214.86,143.02,194.78,180.92,197.04,150.55,188.93,129.79,272.09,
2020-KW52,16.59,264.74,53.79,117.67,71.23,128.61,144.23,194.71,113.75,247.04,91.66,96.49,98.52,50.18,75.57,108.15,51.83,
2020-KW53,,17.65,17.93,84.05,132.28,146.98,105.77,125.99,25.28,143.02,114.57,156.8,98.52,50.18,113.36,86.52,90.7,
2021-KW01,16.59,,17.93,67.24,132.28,146.98,182.69,171.8,37.92,156.03,126.03,48.25,56.3,33.46,56.68,,90.7,
2021-KW02,16.59,,,50.43,20.35,91.86,76.92,91.63,63.2,78.01,22.91,120.61,112.6,50.18,37.79,64.89,103.65,
2021-KW03,,52.95,17.93,50.43,91.58,82.67,105.77,45.81,101.11,39.01,91.66,108.55,140.75,83.64,37.79,173.05,90.7,
2021-KW04,49.76,35.3,17.93,67.24,71.23,27.56,96.15,171.8,75.83,52.01,103.12,,70.37,33.46,18.89,21.63,142.52,
2021-KW05,16.59,17.65,53.79,84.05,81.4,64.3,38.46,45.81,164.31,52.01,57.29,96.49,98.52,16.73,37.79,43.26,25.91,
2021-KW06,49.76,35.3,71.72,16.81,61.05,82.67,48.08,34.36,139.03,52.01,80.2,36.18,84.45,33.46,,21.63,51.83,
2021-KW07,49.76,141.19,107.58,67.24,81.4,73.49,38.46,34.36,75.83,78.01,45.83,60.31,14.07,16.73,37.79,,77.74,
2021-KW08,33.17,70.6,71.72,67.24,61.05,82.67,38.46,57.27,63.2,39.01,45.83,84.43,70.37,,37.79,43.26,25.91,
2021-KW09,82.93,17.65,,33.62,61.05,91.86,38.46,91.63,25.28,91.02,103.12,96.49,84.45,16.73,56.68,64.89,64.78,
2021-KW10,16.59,52.95,35.86,84.05,61.05,101.05,76.92,45.81,63.2,65.01,80.2,12.06,42.22,16.73,37.79,21.63,25.91,
2021-KW11,33.17,35.3,107.58,50.43,61.05,64.3,76.92,57.27,101.11,78.01,114.57,132.67,14.07,16.73,37.79,21.63,,
2021-KW12,66.35,229.44,233.1,134.48,203.5,119.42,125.0,125.99,101.11,182.03,160.4,72.37,70.37,117.1,56.68,108.15,,
2021-KW13,66.35,158.84,197.24,252.14,111.93,119.42,115.38,160.35,126.39,169.03,103.12,96.49,112.6,66.91,56.68,21.63,,
2021-KW14,66.35,176.49,143.45,201.71,122.1,146.98,182.69,103.08,278.06,195.03,114.57,205.04,98.52,117.1,37.79,108.15,90.7,
2021-KW15,99.52,88.25,179.31,285.76,254.38,275.58,144.23,229.07,240.14,260.04,229.15,277.41,70.37,100.37,113.36,129.79,90.7,
2021-KW16,182.45,247.09,268.96,369.81,213.68,183.72,240.38,240.52,202.22,390.07,274.98,301.53,168.9,66.91,132.25,108.15,90.7,
2021-KW17,116.11,264.74,322.75,319.38,345.95,284.77,250.0,240.52,417.09,377.06,286.43,349.78,182.97,200.74,170.04,216.31,142.52,
2021-KW18,281.97,158.84,286.89,336.19,203.5,146.98,250.0,240.52,252.78,195.03,148.95,108.55,126.67,83.64,37.79,108.15,25.91,
2021-KW19,281.97,352.98,268.96,218.52,244.2,165.35,250.0,206.16,202.22,195.03,160.4,132.67,98.52,50.18,75.57,108.15,90.7,
2021-KW20,82.93,123.54,179.31,184.91,142.45,119.42,125.0,91.63,189.59,195.03,103.12,96.49,112.6,33.46,75.57,,25.91,
2021-KW21,,35.3,53.79,84.05,71.23,55.12,48.08,22.91,101.11,78.01,57.29,60.31,42.22,,,21.63,,
2021-KW22,66.35,17.65,17.93,50.43,91.58,73.49,38.46,45.81,63.2,26.0,11.46,72.37,14.07,16.73,,,,
2021-KW23,33.17,70.6,125.52,84.05,20.35,36.74,28.85,45.81,63.2,13.0,11.46,60.31,,33.46,,,,
2021-KW24,,123.54,89.65,16.81,20.35,27.56,9.62,22.91,25.28,39.01,,12.06,28.15,,,,,
2021-KW25,16.59,35.3,17.93,16.81,20.35,,,11.45,12.64,,,,14.07,,18.89,,,
2021-KW26,16.59,35.3,,,50.88,,,11.45,12.64,13.0,11.46,12.06,,,,,,
2021-KW27,49.76,17.65,35.86,33.62,30.53,45.93,19.23,22.91,25.28,13.0,,,14.07,,37.79,,12.96,
2021-KW28,33.17,70.6,17.93,16.81,10.18,64.3,48.08,22.91,25.28,,22.91,12.06,14.07,33.46,,,,
2021-KW29,,70.6,,50.43,30.53,27.56,28.85,45.81,12.64,26.0,11.46,12.06,42.22,66.91,37.79,21.63,12.96,
2021-KW30,33.17,,,33.62,30.53,27.56,28.85,,,,,,14.07,,37.79,,,
2021-KW31,16.59,,17.93,16.81,,18.37,9.62,22.91,,,,,,,,,,
2021-KW32,16.59,,,,61.05,45.93,38.46,34.36,25.28,39.01,45.83,12.06,,,,,51.83,
2021-KW33,16.59,17.65,,84.05,213.68,110.23,19.23,57.27,63.2,65.01,45.83,24.12,28.15,16.73,18.89,,12.96,
2021-KW34,66.35,70.6,53.79,100.86,254.38,119.42,96.15,91.63,37.92,104.02,103.12,48.25,56.3,16.73,18.89,21.63,25.91,
2021-KW35,49.76,105.89,89.65,235.33,152.63,202.09,240.38,114.53,75.83,52.01,68.74,84.43,14.07,66.91,,64.89,25.91,
2021-KW36,232.21,105.89,89.65,117.67,71.23,119.42,134.62,125.99,126.39,104.02,68.74,48.25,28.15,66.91,,,25.91,
2021-KW37,116.11,141.19,268.96,134.48,101.75,64.3,105.77,137.44,151.67,169.03,91.66,60.31,98.52,50.18,,,12.96,
2021-KW38,33.17,158.84,161.38,134.48,50.88,73.49,76.92,45.81,113.75,130.02,45.83,12.06,28.15,50.18,,21.63,64.78,
2021-KW39,33.17,211.79,286.89,100.86,111.93,110.23,86.54,80.17,50.56,65.01,80.2,96.49,98.52,16.73,18.89,43.26,38.87,
