# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-09-20 08:53:04
# API-Download für Covid19-Inzidenzen in SK Worms, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,24.62,,,,,,,,,,,,,,
2020-KW12,,,,24.62,,71.69,54.31,39.39,117.07,119.16,117.91,93.74,,,,69.05,,
2020-KW13,,,,49.24,,107.54,72.41,39.39,78.05,19.86,84.22,15.62,16.89,20.45,,,17.62,
2020-KW14,23.42,,,98.47,57.75,17.92,54.31,19.69,78.05,59.58,16.84,62.49,84.47,61.35,,34.52,193.82,
2020-KW15,,24.2,25.4,24.62,38.5,53.77,,39.39,39.02,79.44,16.84,31.25,16.89,,24.42,,70.48,
2020-KW16,,,,,57.75,17.92,18.1,19.69,39.02,39.72,50.53,,33.79,,24.42,,52.86,
2020-KW17,,24.2,,,38.5,89.61,54.31,59.08,39.02,,,,,,24.42,,17.62,
2020-KW18,46.84,,,,38.5,17.92,18.1,,19.51,,33.69,31.25,16.89,,,,,
2020-KW19,23.42,,,,38.5,,36.2,19.69,19.51,,,,16.89,,24.42,,,
2020-KW20,,,,,19.25,35.85,18.1,,19.51,19.86,,,,,,,,
2020-KW21,23.42,,,,,17.92,,39.39,19.51,19.86,16.84,,16.89,,24.42,,,
2020-KW22,46.84,24.2,25.4,,,17.92,18.1,39.39,,,,,,20.45,,,,
2020-KW24,,,,,,35.85,,,,,,,,,,,,
2020-KW25,,,,,,,,,,,,,,,,34.52,,
2020-KW26,,24.2,,,,,,,,,,,,,,,,
2020-KW28,,,,,,,,,19.51,,,,16.89,20.45,,,,
2020-KW30,,,,,,17.92,,,,,,,,,,,,
2020-KW31,,,,,19.25,,,19.69,,,,15.62,,,,,,
2020-KW32,,,,24.62,,,,,,19.86,,,,,,,,
2020-KW33,,24.2,25.4,24.62,,,,39.39,,19.86,16.84,15.62,,,,,,
2020-KW34,,24.2,50.81,,96.24,53.77,,98.46,,19.86,67.38,46.87,16.89,,,,,
2020-KW35,,,,,,17.92,18.1,19.69,,,,15.62,16.89,,24.42,,17.62,
2020-KW36,,,,,76.99,,,,19.51,,33.69,,16.89,,,,17.62,
2020-KW37,,,,24.62,19.25,35.85,36.2,19.69,19.51,19.86,16.84,31.25,,61.35,24.42,,,
2020-KW38,,48.4,,,,53.77,54.31,78.77,78.05,39.72,16.84,31.25,33.79,20.45,,34.52,35.24,
