# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-11-25 07:57:02
# API-Download für Covid19-Inzidenzen in SK Würzburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,7.82,,,,,,,,,,,,,
2020-KW11,,,50.63,41.77,23.45,21.86,8.6,23.84,73.98,32.75,26.52,48.67,13.67,31.1,,66.66,137.17,
2020-KW12,,22.27,,41.77,54.72,87.42,94.64,71.52,73.98,32.75,66.31,97.34,,,36.91,199.97,211.03,
2020-KW13,,,,,54.72,94.71,86.04,107.27,29.59,65.51,53.05,85.17,82.0,46.66,36.91,266.63,411.51,
2020-KW14,55.42,,25.31,20.88,46.91,51.0,94.64,95.36,59.19,49.13,39.79,97.34,82.0,77.76,36.91,155.53,390.41,
2020-KW15,36.95,,25.31,20.88,46.91,51.0,17.21,35.76,59.19,65.51,66.31,24.33,27.33,15.55,,88.88,200.48,
2020-KW16,,,50.63,,15.64,7.29,43.02,23.84,14.8,16.38,13.26,24.33,,15.55,36.91,,52.76,
2020-KW17,,22.27,25.31,,7.82,14.57,,11.92,14.8,16.38,,24.33,,,,,21.1,
2020-KW18,,,,,7.82,7.29,,,,16.38,26.52,12.17,,,,,,
2020-KW19,,,,,,,,,14.8,,,,,,,22.22,,
2020-KW20,,,,,,14.57,,11.92,,,,,,15.55,,,,
2020-KW22,,,,,,,8.6,,,,,,,,,,,
2020-KW23,,,,,,,8.6,,,,,,,,,,21.1,
2020-KW25,,,,20.88,,,,,,,,12.17,,,,,,
2020-KW26,,,,,,7.29,17.21,,,,,,13.67,,,,,
2020-KW27,,,,,,,,,,,26.52,,,,,,,
2020-KW29,,,,,7.82,,,,,,,,,,,,,
2020-KW30,18.47,,,,,7.29,,,14.8,,,12.17,,,,,,
2020-KW31,,,,,,,,,29.59,,,12.17,,,,,,
2020-KW32,,,,,15.64,,8.6,,14.8,16.38,,,13.67,,,,,
2020-KW33,,,,20.88,,,,23.84,14.8,,13.26,,,,,,,
2020-KW34,36.95,44.53,,41.77,31.27,,17.21,11.92,,16.38,,,13.67,,,,,
2020-KW35,,,,62.65,31.27,21.86,8.6,23.84,14.8,16.38,13.26,,,,,,,
2020-KW36,,22.27,,83.54,117.26,101.99,17.21,47.68,14.8,16.38,39.79,24.33,13.67,,,22.22,,
2020-KW37,55.42,66.8,25.31,146.19,117.26,211.27,68.83,11.92,44.39,49.13,13.26,121.67,27.33,31.1,18.46,44.44,10.55,
2020-KW38,,22.27,25.31,104.42,195.44,160.28,60.23,47.68,14.8,49.13,39.79,24.33,13.67,15.55,18.46,,,
2020-KW39,36.95,22.27,,,62.54,29.14,,35.76,73.98,16.38,26.52,48.67,,15.55,,,,
2020-KW40,18.47,22.27,25.31,83.54,7.82,14.57,34.42,11.92,14.8,16.38,39.79,,27.33,31.1,36.91,,,
2020-KW41,18.47,22.27,25.31,20.88,46.91,36.43,43.02,11.92,,65.51,39.79,24.33,82.0,15.55,,,21.1,
2020-KW42,73.9,,75.94,83.54,101.63,65.57,86.04,47.68,29.59,16.38,53.05,12.17,54.67,62.21,18.46,,,
2020-KW43,203.21,111.33,177.2,187.96,179.8,145.71,120.45,119.19,162.76,147.4,92.83,48.67,,15.55,55.37,22.22,52.76,
2020-KW44,18.47,22.27,75.94,167.07,226.71,196.7,172.08,71.52,118.37,114.64,132.62,85.17,82.0,62.21,92.28,44.44,63.31,
2020-KW45,18.47,,25.31,62.65,383.06,218.56,146.27,83.44,103.58,114.64,145.88,85.17,82.0,15.55,73.82,133.31,137.17,
2020-KW46,73.9,66.8,202.51,104.42,187.62,145.71,94.64,95.36,133.17,147.4,92.83,85.17,95.67,77.76,55.37,66.66,94.96,
2020-KW47,36.95,44.53,177.2,167.07,132.9,94.71,120.45,107.27,73.98,114.64,132.62,60.84,68.33,62.21,55.37,44.44,42.21,
2020-KW48,36.95,66.8,101.26,83.54,171.99,58.28,103.25,131.11,103.58,114.64,53.05,121.67,,93.31,36.91,22.22,52.76,
2020-KW49,,111.33,177.2,20.88,85.99,51.0,68.83,59.6,88.78,163.77,106.1,97.34,13.67,62.21,,,31.65,
2020-KW50,55.42,66.8,177.2,208.84,85.99,123.85,111.85,107.27,207.15,114.64,159.14,24.33,95.67,15.55,18.46,,21.1,
2020-KW51,73.9,111.33,126.57,62.65,156.35,101.99,111.85,131.11,59.19,114.64,53.05,73.0,54.67,46.66,110.74,88.88,443.16,
2020-KW52,73.9,89.06,151.89,41.77,78.18,109.28,129.06,154.95,133.17,81.89,106.1,109.51,68.33,15.55,36.91,88.88,305.99,
2020-KW53,36.95,89.06,101.26,,132.9,145.71,68.83,166.87,29.59,114.64,39.79,97.34,82.0,46.66,73.82,22.22,73.86,
2021-KW01,36.95,,25.31,167.07,140.72,189.42,94.64,83.44,88.78,114.64,53.05,36.5,68.33,15.55,,66.66,,
2021-KW02,36.95,,101.26,125.3,187.62,131.13,77.43,47.68,73.98,114.64,26.52,85.17,95.67,46.66,36.91,22.22,63.31,
2021-KW03,36.95,44.53,101.26,104.42,93.81,72.85,43.02,119.19,73.98,98.26,145.88,60.84,68.33,15.55,110.74,111.09,168.82,
2021-KW04,36.95,66.8,75.94,125.3,62.54,72.85,86.04,47.68,177.56,81.89,53.05,48.67,54.67,46.66,18.46,66.66,84.41,
2021-KW05,73.9,133.59,50.63,41.77,39.09,29.14,68.83,23.84,44.39,65.51,39.79,48.67,54.67,31.1,18.46,66.66,63.31,
2021-KW06,36.95,,50.63,125.3,39.09,43.71,17.21,35.76,29.59,16.38,79.57,48.67,,15.55,18.46,,63.31,
2021-KW07,73.9,155.86,75.94,83.54,62.54,36.43,51.62,35.76,14.8,49.13,26.52,24.33,,,36.91,22.22,73.86,
2021-KW08,36.95,22.27,75.94,,46.91,72.85,17.21,107.27,44.39,98.26,39.79,24.33,68.33,46.66,18.46,,,
2021-KW09,55.42,22.27,50.63,104.42,93.81,51.0,8.6,95.36,14.8,98.26,106.1,24.33,,,18.46,,10.55,
2021-KW10,55.42,22.27,,125.3,85.99,167.56,60.23,35.76,73.98,49.13,79.57,24.33,27.33,15.55,18.46,22.22,63.31,
2021-KW11,110.84,89.06,126.57,125.3,85.99,116.56,51.62,59.6,103.58,16.38,26.52,85.17,41.0,31.1,73.82,111.09,21.1,
2021-KW12,36.95,111.33,151.89,104.42,109.45,94.71,43.02,83.44,59.19,65.51,39.79,109.51,54.67,15.55,18.46,133.31,,
2021-KW13,55.42,44.53,25.31,83.54,140.72,101.99,86.04,83.44,29.59,32.75,106.1,109.51,54.67,15.55,55.37,,63.31,
2021-KW14,147.79,66.8,202.51,208.84,171.99,138.42,111.85,95.36,118.37,98.26,172.41,48.67,164.0,62.21,55.37,44.44,31.65,
2021-KW15,166.27,267.18,405.03,396.8,281.43,152.99,223.7,321.82,207.15,229.28,92.83,170.34,150.33,124.42,166.1,44.44,52.76,
