# Quelle: Robert Koch-Institut, SurvStat@RKI 2.0, https://survstat.rki.de
# Abfragezeitpunkt: 2022-03-21 07:37:03
# API-Download für Covid19-Fälle in Baden-Württemberg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,1,2,1,4,,4,2,1,3,1,2,,,,
2020-KW10,2,2,7,19,4,10,9,12,19,28,43,16,14,7,4,5,8,
2020-KW11,8,7,29,43,69,122,116,100,129,133,188,152,89,52,37,19,30,
2020-KW12,20,29,57,113,275,416,371,333,352,374,572,522,341,200,133,129,195,
2020-KW13,60,43,64,164,462,532,523,473,462,627,795,842,573,384,313,321,506,
2020-KW14,34,35,62,217,420,526,450,448,477,576,763,802,560,371,286,362,1049,1
2020-KW15,35,35,48,135,320,384,322,303,317,361,508,478,345,197,178,256,1015,
2020-KW16,26,24,37,89,225,236,214,163,210,204,270,296,250,112,117,142,567,
2020-KW17,22,23,15,64,181,184,165,153,148,184,200,215,145,84,70,110,445,
2020-KW18,24,17,24,44,93,91,86,72,58,84,89,103,82,56,53,61,175,
2020-KW19,24,15,11,45,61,78,64,52,59,55,78,55,48,35,32,51,132,
2020-KW20,4,7,8,16,58,50,41,50,35,37,59,41,35,17,24,24,106,
2020-KW21,9,5,6,11,30,30,26,22,27,26,22,27,20,14,17,16,94,
2020-KW22,8,6,3,10,24,26,25,23,19,17,24,30,20,13,12,10,43,
2020-KW23,9,5,2,5,12,19,24,11,10,11,14,11,11,3,3,7,22,
2020-KW24,2,5,3,6,25,17,15,14,4,18,14,12,5,5,8,5,14,
2020-KW25,4,10,13,9,14,16,10,18,23,7,15,12,6,6,7,5,14,
2020-KW26,8,10,18,18,13,23,28,14,19,29,22,17,7,6,8,7,23,
2020-KW27,13,8,9,10,11,29,19,18,17,19,12,15,12,6,3,2,10,
2020-KW28,13,9,10,16,23,19,26,18,25,22,16,15,8,14,4,4,5,1
2020-KW29,17,15,19,32,43,33,36,34,32,24,37,26,13,10,2,8,7,
2020-KW30,14,23,28,35,39,46,45,33,45,50,39,29,20,10,12,9,10,
2020-KW31,11,13,31,43,51,54,50,50,42,38,39,27,21,8,10,6,11,1
2020-KW32,21,14,15,40,62,66,54,34,29,28,30,21,15,10,6,4,5,
2020-KW33,16,19,22,76,145,134,61,67,53,55,45,28,28,9,11,6,5,
2020-KW34,45,37,84,149,345,235,182,122,131,126,89,62,24,14,11,6,14,1
2020-KW35,29,71,84,187,291,249,165,154,146,124,109,65,34,28,13,11,13,
2020-KW36,38,80,98,150,256,187,178,134,145,140,116,68,51,21,11,12,15,3
2020-KW37,39,66,106,151,218,161,143,123,124,149,118,86,55,20,31,16,18,1
2020-KW38,48,70,91,151,232,223,202,140,137,132,150,113,78,58,32,15,40,3
2020-KW39,48,56,88,144,224,193,168,128,115,103,125,126,86,46,47,33,71,2
2020-KW40,46,55,104,217,220,228,188,134,143,141,142,142,83,56,44,29,61,2
2020-KW41,57,115,203,320,364,370,339,270,282,291,325,259,155,90,90,68,158,6
2020-KW42,113,152,299,422,563,615,508,443,419,414,488,377,298,185,131,116,258,6
2020-KW43,169,241,403,764,1044,938,922,702,639,770,837,781,525,307,241,214,524,9
2020-KW44,265,300,400,798,1427,1509,1290,990,1034,1136,1380,1279,861,471,374,296,760,21
2020-KW45,289,382,525,980,1703,1635,1392,1186,1111,1247,1558,1368,984,599,444,395,916,20
2020-KW46,281,390,545,1029,1507,1418,1286,1117,1110,1160,1453,1337,884,509,449,415,1093,12
2020-KW47,266,452,618,1064,1430,1348,1313,1142,1178,1249,1429,1288,878,547,428,399,1466,13
2020-KW48,268,460,601,842,1195,1258,1122,1017,1112,1170,1375,1233,828,543,384,375,1438,13
2020-KW49,287,541,636,1062,1348,1409,1290,1203,1171,1280,1475,1479,1052,546,497,479,1686,15
2020-KW50,371,658,816,1324,1624,1606,1634,1481,1493,1567,1913,1748,1349,684,540,581,2230,7
2020-KW51,436,737,746,1269,1799,1801,1795,1656,1708,1765,2041,2042,1453,854,671,706,2422,7
2020-KW52,247,412,492,892,1302,1299,1243,1263,1223,1329,1486,1583,1202,644,524,529,1914,4
2020-KW53,179,236,377,684,1174,1139,1064,943,958,1043,1320,1382,1043,594,497,480,1843,6
2021-KW01,189,239,387,737,1357,1377,1268,1091,1069,1154,1397,1369,1041,579,488,487,1779,3
2021-KW02,201,240,286,626,1142,1103,1075,953,903,957,1083,1079,871,463,366,420,1711,2
2021-KW03,168,232,247,481,802,835,799,712,701,707,910,892,653,348,288,294,1142,3
2021-KW04,167,179,245,422,659,691,684,607,587,623,793,766,534,306,249,242,788,2
2021-KW05,148,154,176,382,483,561,555,517,487,540,641,603,431,236,203,173,586,6
2021-KW06,120,139,186,259,426,448,445,381,422,396,512,491,356,179,153,146,450,
2021-KW07,139,155,148,244,434,399,440,345,348,384,431,475,331,178,122,122,394,
2021-KW08,217,202,204,327,466,456,520,454,486,461,523,461,351,206,142,139,342,
2021-KW09,303,303,280,427,566,555,546,514,505,588,575,561,356,190,153,124,323,
2021-KW10,397,462,312,543,717,768,758,729,681,644,700,720,476,231,165,130,278,
2021-KW11,532,666,511,702,906,983,1005,978,821,878,962,903,692,364,290,210,334,
2021-KW12,633,924,742,850,1178,1114,1201,1163,1115,1107,1224,1143,820,455,303,243,412,1
2021-KW13,521,653,615,818,1188,1151,1161,1121,1025,1025,1166,1119,781,470,313,230,415,4
2021-KW14,579,573,664,1001,1495,1324,1349,1248,1299,1275,1355,1297,848,511,370,251,397,3
2021-KW15,687,811,916,1410,1732,1654,1731,1588,1507,1525,1602,1473,1006,589,443,329,462,3
2021-KW16,831,1155,1237,1672,1800,1739,1831,1674,1726,1716,1993,1796,1193,598,446,311,482,3
2021-KW17,897,1084,1100,1401,1659,1614,1754,1692,1632,1570,1745,1644,1140,604,436,305,415,3
2021-KW18,640,869,930,1120,1307,1296,1367,1364,1294,1262,1301,1306,902,494,348,245,341,6
2021-KW19,510,667,674,768,928,905,977,927,866,845,884,868,609,364,229,147,270,2
2021-KW20,385,529,575,718,771,692,810,717,670,671,652,632,453,245,158,104,176,2
2021-KW21,217,260,285,355,410,453,458,384,365,384,387,354,235,117,86,51,96,
2021-KW22,164,185,204,266,326,269,293,284,258,243,243,216,141,106,60,46,78,
2021-KW23,107,206,251,290,219,208,199,226,220,167,167,148,111,60,39,26,52,
2021-KW24,73,111,119,125,116,120,125,107,133,92,92,80,54,30,19,5,23,
2021-KW25,50,75,72,86,71,85,59,76,65,51,46,40,26,20,11,8,9,
2021-KW26,33,44,50,57,68,61,64,47,43,38,31,30,18,20,15,6,10,
2021-KW27,21,22,31,56,106,110,74,57,47,56,50,31,26,14,19,7,12,
2021-KW28,32,46,70,92,168,173,117,98,65,67,68,47,29,20,12,10,12,
2021-KW29,34,69,100,141,199,219,148,113,88,79,77,75,39,21,10,9,30,
2021-KW30,54,76,129,162,249,227,165,130,105,116,102,59,42,34,30,19,28,
2021-KW31,76,104,110,195,305,249,226,166,119,108,103,89,58,29,18,13,22,
2021-KW32,104,122,150,320,558,514,353,258,216,188,203,149,116,57,40,36,62,
2021-KW33,184,234,322,547,886,749,546,413,397,342,321,237,130,88,55,40,75,1
2021-KW34,309,428,678,894,1189,1042,899,764,758,659,520,388,189,116,86,49,146,1
2021-KW35,379,671,849,1072,1175,1028,1049,951,908,804,613,465,304,162,103,77,211,1
2021-KW36,481,702,853,997,992,974,1034,929,870,735,609,507,317,170,109,88,228,1
2021-KW37,446,926,1225,1104,891,804,889,894,815,717,606,458,299,180,108,84,229,3
2021-KW38,414,880,1085,780,704,733,821,744,716,613,492,442,275,171,115,85,223,
2021-KW39,409,980,1250,808,745,705,755,742,761,584,537,448,301,163,128,103,275,
2021-KW40,346,896,1150,849,683,762,781,811,773,679,573,542,355,225,160,107,236,2
2021-KW41,349,960,1365,885,836,826,813,898,884,761,724,582,396,239,191,155,349,1
2021-KW42,411,1207,1759,1277,1270,1169,1226,1173,1262,1094,1053,994,750,368,335,267,626,1
2021-KW43,510,1786,2626,1817,1644,1620,1588,1636,1710,1523,1511,1325,953,562,539,366,809,7
2021-KW44,606,1780,2258,1777,2070,2122,2135,2137,2194,2058,2071,1854,1277,781,624,408,875,9
2021-KW45,1062,3323,4505,3406,3284,3010,3300,3421,3470,3223,3125,2807,2019,1207,967,714,1440,15
2021-KW46,1442,4471,5551,3656,3440,3517,3796,3947,4039,3623,3839,3611,2551,1607,1228,862,1624,21
2021-KW47,1720,5282,6676,4044,3556,3761,4373,4713,4968,4188,4233,3882,2795,1716,1265,917,1753,19
2021-KW48,1826,5347,6280,4124,3653,3973,4516,4940,5077,4316,4262,4036,2856,1787,1188,824,1664,20
2021-KW49,1858,4869,5213,3291,3127,3455,4115,4325,4229,3700,3532,3259,2469,1438,1001,673,1351,20
