# Quelle: Robert Koch-Institut, SurvStat@RKI 2.0, https://survstat.rki.de
# Abfragezeitpunkt: 2021-06-19 05:41:58
# API-Download für Covid19-Fälle in Berlin, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,1,,,,,,,,,,
2020-KW10,1,,1,,3,6,7,6,4,3,2,1,1,,,,1,
2020-KW11,6,2,1,6,18,35,45,34,22,25,21,18,10,4,2,6,1,
2020-KW12,8,6,31,21,55,98,129,89,84,68,90,72,36,19,21,8,11,
2020-KW13,12,10,19,31,110,181,185,148,101,96,126,116,76,47,39,39,44,
2020-KW14,21,13,20,35,86,104,126,90,104,101,106,101,76,48,39,61,99,
2020-KW15,15,10,11,31,53,81,102,81,72,65,74,63,34,37,37,38,120,
2020-KW16,5,12,7,15,28,61,51,46,38,42,58,44,32,16,18,28,70,
2020-KW17,7,9,11,13,25,40,36,32,32,13,34,42,17,23,22,19,62,
2020-KW18,4,6,4,10,23,23,23,26,21,23,29,28,27,16,21,21,43,
2020-KW19,8,2,3,8,17,18,32,17,16,17,14,20,10,13,11,11,32,
2020-KW20,6,4,7,11,15,19,20,13,17,19,12,13,6,9,6,6,14,
2020-KW21,3,5,11,11,12,16,15,15,14,15,11,11,5,3,5,11,19,
2020-KW22,4,11,10,13,19,13,19,11,15,16,9,17,14,2,5,4,7,
2020-KW23,12,7,18,12,19,17,21,14,15,15,12,6,2,3,3,5,8,
2020-KW24,33,32,31,21,22,35,36,21,26,16,11,16,14,3,3,4,13,
2020-KW25,46,47,42,41,29,44,65,33,47,25,28,14,17,6,1,6,19,
2020-KW26,26,21,22,10,17,35,33,35,33,15,15,22,9,7,2,5,10,
2020-KW27,11,10,6,15,22,39,30,22,25,20,15,17,6,6,3,6,12,
2020-KW28,11,16,8,8,16,15,27,21,12,14,14,6,6,3,6,2,5,
2020-KW29,5,6,8,10,16,10,15,8,10,12,7,12,1,1,3,,7,
2020-KW30,7,4,6,16,33,32,20,23,13,20,20,7,7,7,1,1,3,
2020-KW31,16,17,20,24,42,45,31,27,28,30,20,14,5,4,2,2,4,
2020-KW32,11,28,41,35,43,34,39,31,25,34,24,14,8,8,1,2,4,
2020-KW33,12,42,55,40,71,53,69,48,44,34,31,17,8,4,7,3,4,
2020-KW34,17,16,24,27,77,58,75,37,35,39,19,17,11,5,2,4,6,
2020-KW35,11,17,19,26,72,93,68,53,28,29,20,16,12,7,3,5,2,1
2020-KW36,9,11,15,47,93,127,86,32,34,28,16,11,6,2,6,3,1,3
2020-KW37,11,19,20,34,97,91,103,44,32,31,37,19,12,9,8,2,12,2
2020-KW38,14,18,23,44,99,145,129,83,70,41,49,37,32,14,11,11,15,4
2020-KW39,8,22,37,68,127,150,148,95,74,91,68,83,37,23,18,16,20,5
2020-KW40,29,42,69,115,176,221,185,143,95,103,95,90,55,27,31,26,47,1
2020-KW41,48,58,151,184,307,324,255,183,163,174,167,121,89,46,32,37,57,12
2020-KW42,76,93,157,253,362,430,382,294,263,247,237,176,123,74,54,53,63,15
2020-KW43,81,90,188,272,550,589,577,463,350,384,368,330,202,106,80,75,167,44
2020-KW44,108,149,240,334,582,698,687,566,433,465,443,421,283,164,131,165,360,49
2020-KW45,119,157,256,490,643,781,816,613,537,513,506,532,320,185,141,175,321,32
2020-KW46,96,174,373,547,766,893,941,725,603,548,610,564,378,226,160,222,422,179
2020-KW47,132,244,391,559,684,826,899,698,640,623,622,566,366,223,197,218,448,55
2020-KW48,119,242,392,440,570,641,747,617,638,534,559,521,364,226,192,211,697,32
2020-KW49,122,192,294,402,480,532,652,559,513,524,541,445,352,212,194,263,760,42
2020-KW50,127,216,304,366,500,576,702,595,581,501,537,566,396,243,197,284,790,18
2020-KW51,144,217,239,343,483,735,776,697,629,545,593,638,438,290,265,314,963,20
2020-KW52,92,125,149,220,369,530,613,511,504,449,507,483,367,228,232,299,851,18
2020-KW53,59,79,81,183,300,447,426,406,362,346,364,385,287,217,169,234,747,13
2021-KW01,92,100,157,252,436,604,682,549,440,445,541,590,396,311,234,322,963,12
2021-KW02,68,105,118,233,382,552,578,443,386,384,453,468,339,217,188,254,885,20
2021-KW03,64,77,108,125,253,289,392,315,293,260,330,329,230,139,136,169,550,7
2021-KW04,68,63,84,114,187,269,294,264,208,185,230,260,178,133,99,156,387,
2021-KW05,53,48,61,92,180,206,241,203,189,178,184,212,150,100,91,133,340,
2021-KW06,55,72,61,87,137,164,195,164,145,133,144,177,133,78,58,95,250,2
2021-KW07,61,71,49,84,147,173,202,195,156,137,158,172,122,84,57,82,191,3
2021-KW08,95,79,84,98,158,198,214,194,204,171,213,211,131,102,71,88,160,6
