# Quelle: Robert Koch-Institut, SurvStat@RKI 2.0, https://survstat.rki.de
# Abfragezeitpunkt: 2022-08-14 08:37:53
# API-Download für Covid19-Fälle in Niedersachsen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW06,,,,,,,,,,,,1,,,,,,
2020-KW09,,,,,,,,,,,,,,1,,,,
2020-KW10,1,,,,2,2,5,3,5,3,2,6,7,,,1,,
2020-KW11,,2,,6,15,35,33,22,35,54,77,60,29,22,15,3,6,
2020-KW12,5,10,16,39,88,106,112,103,122,143,177,181,111,74,46,34,38,
2020-KW13,12,8,28,66,155,154,166,146,133,184,286,226,171,123,75,84,203,
2020-KW14,13,19,28,69,133,139,161,112,122,166,229,210,149,110,91,115,257,
2020-KW15,13,19,25,60,132,125,112,101,96,121,169,153,130,72,70,99,292,
2020-KW16,6,12,18,31,82,77,87,52,61,75,112,107,70,46,51,53,207,3
2020-KW17,7,14,16,28,63,76,57,53,29,48,65,70,50,36,30,35,149,
2020-KW18,5,4,7,15,32,39,33,28,25,23,37,31,25,24,12,23,71,
2020-KW19,11,7,11,11,49,29,33,24,27,36,42,47,32,10,17,23,60,
2020-KW20,10,7,13,6,18,20,24,27,21,23,20,16,20,9,7,10,38,
2020-KW21,15,8,9,12,41,36,47,39,34,49,27,29,19,12,7,5,28,
2020-KW22,9,13,21,36,56,51,47,39,31,28,49,30,16,7,2,4,13,
2020-KW23,39,29,38,55,65,49,30,32,35,32,24,28,19,11,6,4,8,
2020-KW24,20,24,26,29,45,31,34,24,23,23,27,15,10,5,3,3,21,
2020-KW25,24,32,33,34,36,39,29,19,20,22,18,18,7,6,4,5,23,
2020-KW26,10,13,18,13,20,22,16,24,20,26,15,17,6,8,1,3,11,1
2020-KW27,11,13,16,13,17,8,14,15,19,15,12,10,9,1,,1,6,
2020-KW28,3,2,4,6,11,9,5,9,14,4,9,6,2,3,,1,4,
2020-KW29,15,6,8,17,20,28,34,23,18,21,19,11,7,4,,1,4,
2020-KW30,9,5,5,19,28,38,19,24,21,28,17,9,12,4,4,,5,
2020-KW31,6,12,15,32,46,46,30,23,28,24,28,23,8,4,3,5,6,
2020-KW32,12,19,26,44,68,35,34,41,33,26,26,34,12,12,5,2,5,
2020-KW33,17,18,26,42,78,52,53,48,40,35,34,23,18,4,3,4,14,
2020-KW34,22,42,45,50,100,76,57,63,51,51,29,33,19,8,10,4,3,
2020-KW35,22,30,47,71,87,55,55,49,63,49,31,24,22,9,11,3,8,
2020-KW36,27,24,30,47,69,85,61,32,41,37,36,21,21,3,6,4,5,
2020-KW37,15,29,29,69,101,80,51,48,40,47,39,41,26,13,8,12,38,
2020-KW38,25,34,42,136,132,106,79,66,79,81,75,57,44,13,20,12,35,
2020-KW39,27,23,67,110,118,95,90,68,58,80,71,56,44,29,16,14,44,
2020-KW40,23,39,57,119,143,117,110,89,92,110,124,100,55,30,22,25,69,
2020-KW41,41,49,80,145,188,183,177,154,160,163,201,160,103,50,48,28,63,
2020-KW42,72,74,96,249,338,337,267,217,194,220,266,235,165,92,58,52,109,
2020-KW43,98,112,159,325,539,475,409,316,333,371,430,356,258,139,112,83,268,
2020-KW44,166,226,295,599,821,689,633,536,502,576,657,625,412,240,198,161,469,
2020-KW45,209,321,432,706,892,782,723,587,591,626,727,701,435,279,173,164,419,
2020-KW46,199,331,414,657,792,723,653,565,606,599,695,678,428,284,186,166,556,
2020-KW47,202,292,421,578,750,678,629,545,626,642,664,617,487,262,193,176,698,
2020-KW48,188,228,303,492,561,572,537,473,518,520,598,524,407,257,151,159,542,
2020-KW49,158,212,291,435,552,551,517,473,419,496,533,505,330,193,169,157,603,1
2020-KW50,164,286,332,505,681,692,598,528,545,570,644,602,421,225,193,214,771,
2020-KW51,220,270,336,519,787,729,755,601,607,701,721,717,505,293,233,287,1040,
2020-KW52,176,194,225,404,658,669,605,548,466,536,696,680,420,268,243,241,943,
2020-KW53,108,147,225,355,613,616,597,494,457,505,628,645,495,264,218,256,1039,
2021-KW01,212,194,283,530,881,851,761,660,641,639,805,754,559,314,286,289,1242,2
2021-KW02,187,236,267,486,665,666,589,490,478,540,660,647,468,275,252,265,1174,3
2021-KW03,182,210,213,375,574,514,503,447,444,465,562,589,439,243,224,233,985,
2021-KW04,142,189,172,329,463,456,467,384,413,399,491,523,367,224,179,213,896,
2021-KW05,160,184,184,287,437,396,400,376,348,383,457,453,330,188,158,196,790,1
2021-KW06,162,205,181,316,424,372,394,420,354,382,454,446,322,179,134,155,579,
2021-KW07,162,206,184,319,473,440,373,369,381,429,478,476,325,191,143,140,428,
2021-KW08,188,211,228,396,486,422,431,376,376,402,503,439,326,161,162,121,358,
2021-KW09,208,259,232,337,431,425,412,409,368,373,420,395,301,181,153,105,247,
2021-KW10,284,310,314,398,557,535,578,507,476,485,537,418,355,178,151,113,241,
2021-KW11,379,440,385,536,636,661,654,655,555,540,652,575,406,229,194,126,246,6
2021-KW12,513,551,449,651,840,814,847,813,730,649,785,696,521,273,204,192,301,9
2021-KW13,388,468,396,619,719,711,742,671,670,612,673,615,428,251,200,157,266,3
2021-KW14,359,394,442,639,802,699,763,678,659,635,689,620,445,276,200,130,252,4
2021-KW15,463,674,748,861,887,783,844,789,769,720,739,647,456,297,222,171,240,4
2021-KW16,488,731,645,735,842,840,851,760,734,717,778,680,500,267,175,130,200,2
2021-KW17,412,535,527,639,733,667,664,629,612,590,634,581,397,200,145,104,168,5
2021-KW18,366,466,505,499,629,555,565,571,517,464,488,466,333,153,108,94,171,7
2021-KW19,264,323,359,387,416,358,389,396,344,345,347,314,205,148,82,77,111,2
2021-KW20,222,251,278,287,331,300,317,268,259,226,271,213,172,112,63,35,88,
2021-KW21,101,121,145,168,196,160,154,145,145,126,103,108,84,42,34,17,58,1
2021-KW22,88,103,132,122,113,123,109,99,111,72,99,79,47,30,19,16,24,2
2021-KW23,42,60,68,59,81,59,64,74,59,39,42,45,38,17,13,12,19,
2021-KW24,19,28,38,32,49,36,36,29,23,25,23,18,18,8,5,5,7,
2021-KW25,19,21,23,16,25,25,19,21,23,13,18,10,10,4,3,3,10,
2021-KW26,12,22,31,30,48,40,32,27,13,18,16,13,11,4,,3,6,
2021-KW27,23,22,22,39,87,87,46,32,31,22,27,21,20,7,3,1,4,
2021-KW28,32,33,63,112,165,128,74,62,54,38,30,32,26,11,8,2,12,
2021-KW29,33,51,69,258,301,154,113,85,67,45,43,56,14,19,8,6,6,
2021-KW30,58,56,76,231,241,175,126,90,75,79,82,43,40,28,11,6,9,1
2021-KW31,61,64,84,213,263,193,146,111,94,77,74,61,39,21,10,8,22,1
2021-KW32,93,116,151,227,307,242,210,150,160,128,93,75,56,38,22,15,33,1
2021-KW33,175,213,298,318,457,352,298,284,265,209,164,132,56,48,33,20,50,
2021-KW34,264,369,517,497,508,497,444,393,363,314,263,169,116,69,54,27,61,2
2021-KW35,369,622,706,679,554,484,525,468,463,345,310,209,131,84,58,44,145,3
2021-KW36,412,656,717,615,538,515,499,464,485,334,250,221,134,100,72,52,129,4
2021-KW37,286,472,537,403,397,421,415,372,330,276,248,198,135,83,58,29,125,
2021-KW38,192,315,422,346,338,313,343,319,259,224,190,186,116,57,30,41,98,1
2021-KW39,178,320,408,294,338,307,325,323,272,245,236,170,131,55,51,46,109,
2021-KW40,140,285,341,242,267,265,307,274,261,235,240,182,128,76,50,48,160,
2021-KW41,166,345,393,293,298,344,334,313,299,278,253,209,180,101,66,47,114,3
2021-KW42,151,363,332,312,412,429,444,409,451,357,370,332,246,142,102,80,217,2
2021-KW43,200,353,445,402,491,521,596,522,541,469,460,434,332,189,177,126,271,1
2021-KW44,279,687,759,568,643,574,630,672,692,630,651,550,413,239,205,121,318,1
2021-KW45,367,1018,930,657,728,759,847,901,835,746,786,708,504,330,263,185,472,6
2021-KW46,507,1460,1338,847,1011,1083,1241,1227,1186,994,1127,916,706,434,349,262,552,12
2021-KW47,681,1831,1608,1045,1183,1237,1466,1412,1448,1235,1347,1270,828,528,406,308,620,19
2021-KW48,691,1699,1592,985,1114,1183,1320,1431,1362,1113,1188,1133,800,483,377,287,535,15
2021-KW49,636,1609,1600,967,944,1054,1257,1342,1228,1042,1016,989,749,484,368,224,429,10
2021-KW50,649,1623,1468,921,953,935,1240,1293,1153,926,895,853,637,379,261,178,442,9
2021-KW51,478,1047,994,713,897,897,910,870,811,627,656,587,433,227,197,107,270,6
2021-KW52,479,964,1009,1068,1653,1464,1295,1135,1014,906,1090,925,663,375,243,137,320,11
2022-KW01,770,1514,1689,2378,3229,2912,2398,2001,1751,1521,1804,1563,992,538,378,243,558,10
2022-KW02,1682,3205,3391,3762,3644,3346,3145,3059,2776,2410,2403,1897,1146,625,379,233,555,6
2022-KW03,3442,7589,6518,5079,4854,4663,5106,5376,4826,3627,3231,2719,1804,942,545,326,800,18
2022-KW04,3639,10418,9847,6630,5576,5491,6911,7662,6927,4963,4336,3586,2279,1106,703,448,1092,18
2022-KW05,4152,11380,11065,7861,6891,6819,8082,9387,8715,6282,5377,4466,3013,1483,1005,635,1902,38
2022-KW06,4550,10769,10288,8389,7686,7531,8664,9606,8778,6834,6241,5364,3579,1932,1244,856,2369,33
2022-KW07,4407,10465,9257,7336,7386,7272,8192,8914,8111,6180,5958,5336,3737,1925,1368,906,2500,27
2022-KW08,4773,9729,8561,7069,7175,7035,8355,8691,8045,6194,6127,5603,3778,2088,1352,999,2800,60
2022-KW09,5038,10338,8424,7186,7891,7539,8466,9228,8251,6750,6833,6051,4271,2315,1706,1179,3306,963
2022-KW10,5015,10957,9731,10568,11739,10390,10652,10818,10079,8288,8959,8219,5598,3197,2340,1507,3828,1284
2022-KW11,5565,10824,11112,12465,13590,12512,12546,12347,11933,10513,12087,11166,7406,4230,3268,2175,5076,1470
2022-KW12,6369,11705,12099,12954,14163,13635,14209,14147,13136,11855,13881,13311,8913,5090,3861,2596,5720,1031
2022-KW13,4636,8590,8872,10247,11266,10852,11303,10962,10615,9649,11583,11129,7773,4424,3421,2297,4954,4215
2022-KW14,3878,5741,5371,7659,9064,9138,9346,9130,8564,7672,9457,9225,6433,3591,2670,1817,4008,4051
2022-KW15,3409,4663,4170,6476,8468,8543,8710,8039,7406,7303,8689,8561,6031,3363,2498,1682,3365,47
2022-KW16,2606,4660,5404,8144,9620,9122,8454,7830,7611,7385,9225,8738,6058,3432,2457,1709,3316,34
2022-KW17,2291,4170,4740,6191,7082,6621,6283,5652,5680,5623,7133,6974,4940,2722,1962,1374,2879,21
2022-KW18,1882,3845,4283,4119,4613,4644,5221,4988,4845,4675,5420,5513,3846,2155,1535,1059,2255,14
2022-KW19,1454,3045,3825,3590,3850,4146,4507,4247,4320,4066,4856,4662,3217,1898,1343,901,1690,13
2022-KW20,817,1724,2445,2634,2634,2771,3053,2863,2916,2860,3469,3478,2330,1410,1106,686,1200,10
2022-KW21,486,996,1386,1405,1653,1848,1907,1817,1812,1761,2177,2172,1586,918,678,442,789,1
