# Quelle: Robert Koch-Institut, SurvStat@RKI 2.0, https://survstat.rki.de
# Abfragezeitpunkt: 2021-04-20 08:11:12
# API-Download für Covid19-Fälle in Brandenburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW08,,,,1,,,,,,,,,,,1,,,
2020-KW09,,,,,,,,,1,,1,,,,,,,
2020-KW10,,,,,,,,,2,,,,2,,,2,,
2020-KW11,1,,2,1,6,11,10,6,8,11,16,7,14,4,1,1,,
2020-KW12,1,2,2,6,14,10,30,37,20,41,41,33,24,12,4,11,4,
2020-KW13,,5,2,15,24,25,37,32,41,44,51,40,38,19,12,18,25,
2020-KW14,1,5,2,16,33,37,54,35,44,50,56,70,52,22,21,27,86,
2020-KW15,6,3,8,18,28,44,44,50,37,50,49,60,30,19,16,35,89,
2020-KW16,5,4,5,11,32,33,56,25,18,27,31,41,20,17,10,19,50,
2020-KW17,4,6,13,9,22,15,26,20,19,11,27,35,17,18,8,24,54,
2020-KW18,2,5,6,7,10,25,13,18,14,20,20,21,17,12,4,13,24,
2020-KW19,4,6,7,8,9,7,8,9,15,8,10,9,3,1,1,9,11,
2020-KW20,6,3,1,2,1,6,,6,9,2,6,3,4,3,2,2,6,
2020-KW21,1,,1,1,2,4,5,7,2,3,2,2,2,2,1,1,1,
2020-KW22,1,,,1,2,,,2,2,1,3,4,4,4,2,2,5,
2020-KW23,,1,,1,2,1,1,2,2,1,,2,2,,,1,,
2020-KW24,1,1,1,1,4,4,3,4,1,4,2,1,1,1,1,1,1,
2020-KW25,2,3,1,3,8,9,4,9,6,9,11,3,4,3,,,,
2020-KW26,1,1,2,1,1,3,11,8,4,2,1,4,1,,,,,
2020-KW27,3,2,,2,4,9,3,3,2,3,2,2,2,,,2,3,
2020-KW28,,,,1,1,2,4,2,,,1,1,4,2,1,1,,
2020-KW29,1,,,1,8,1,5,2,1,1,3,1,1,,1,,,
2020-KW30,4,3,2,2,7,4,15,9,3,1,2,2,3,1,,2,1,
2020-KW31,4,3,,,2,3,3,,5,4,2,1,,1,,1,3,
2020-KW32,2,1,1,4,9,12,6,4,4,4,6,3,7,,,,5,
2020-KW33,,,4,5,10,8,7,7,6,4,3,4,2,1,,1,1,
2020-KW34,7,4,7,9,9,9,11,8,11,7,9,2,6,,2,,1,
2020-KW35,1,1,5,6,11,6,12,3,6,4,4,1,5,1,,,2,
2020-KW36,,,2,6,9,7,7,4,7,7,4,3,1,,,,3,
2020-KW37,1,5,6,3,12,9,9,8,6,4,5,3,2,5,1,,2,
2020-KW38,2,,1,9,9,9,9,7,8,7,4,13,2,2,3,1,2,
2020-KW39,5,3,3,11,12,12,9,5,6,8,15,19,10,3,4,2,6,
2020-KW40,2,4,9,13,21,12,24,17,21,20,25,16,13,10,3,8,19,
2020-KW41,7,6,10,30,34,23,37,20,43,30,49,38,29,13,8,15,20,
2020-KW42,9,8,24,42,51,53,81,52,49,52,56,60,59,34,23,36,59,
2020-KW43,21,26,28,56,74,66,104,88,108,101,123,142,97,55,41,34,88,
2020-KW44,38,40,52,89,112,118,160,158,149,142,209,222,158,96,53,71,124,2
2020-KW45,35,41,69,95,119,107,143,165,162,185,247,208,192,84,72,89,227,1
2020-KW46,54,79,74,123,105,123,166,191,177,183,211,228,163,93,64,76,202,1
2020-KW47,49,102,124,176,125,122,232,254,268,257,298,327,231,111,66,100,276,1
2020-KW48,46,88,134,121,149,113,232,237,264,201,297,321,234,141,86,102,416,1
2020-KW49,38,92,180,174,145,161,256,258,282,264,344,374,281,139,98,140,426,1
2020-KW50,59,98,148,196,222,184,328,377,381,374,418,504,353,189,122,161,682,4
2020-KW51,69,138,150,245,285,239,446,488,455,429,608,721,513,264,195,233,1082,2
2020-KW52,74,104,97,175,228,206,358,391,371,391,518,644,443,255,179,242,802,
2020-KW53,72,79,82,156,271,232,456,424,397,404,558,632,437,273,173,241,930,1
2021-KW01,82,103,108,273,398,296,615,588,554,601,743,901,700,405,284,338,1082,6
2021-KW02,94,103,138,254,340,291,484,465,448,438,597,739,524,277,171,273,1017,3
2021-KW03,83,73,77,193,241,191,357,308,323,327,444,523,374,214,135,212,921,
2021-KW04,81,55,62,106,132,126,218,231,213,187,297,352,293,171,120,137,537,
2021-KW05,50,43,50,83,93,85,162,146,142,136,199,272,172,121,80,90,390,
2021-KW06,42,36,45,54,91,67,141,156,131,110,171,224,166,95,56,78,253,
2021-KW07,31,31,23,45,66,51,136,132,88,109,169,154,145,75,42,79,231,
2021-KW08,63,38,37,57,71,60,114,107,115,102,133,185,142,81,55,67,199,
2021-KW09,55,58,60,69,86,60,122,140,102,96,144,179,133,87,53,45,126,1
2021-KW10,68,81,68,96,98,90,142,155,177,152,184,197,157,96,64,81,149,
2021-KW11,115,118,97,127,138,161,237,251,229,187,242,290,205,143,74,85,171,2
2021-KW12,114,165,142,161,140,164,281,298,309,257,348,422,267,165,99,96,202,1
2021-KW13,116,147,142,132,195,154,275,266,260,246,288,356,282,172,96,102,200,2
2021-KW14,107,96,95,146,155,116,260,243,243,215,319,368,262,174,99,86,183,1
2021-KW15,114,120,131,159,216,172,251,277,262,238,311,345,331,195,138,107,202,2
2021-KW16,4,7,8,7,8,5,8,17,9,14,18,21,19,11,6,7,27,1
