# Quelle: Robert Koch-Institut, SurvStat@RKI 2.0, https://survstat.rki.de
# Abfragezeitpunkt: 2021-02-28 06:25:03
# API-Download für Covid19-Fälle in Niedersachsen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW06,,,,,,,,,,,,1,,,,,,
2020-KW09,,,,,,,,,,,,,,1,,,,
2020-KW10,1,,,,2,2,5,3,5,3,2,6,7,,,1,,
2020-KW11,,2,,6,15,35,33,22,35,54,77,60,29,22,15,3,6,
2020-KW12,6,10,16,39,88,106,112,103,122,144,175,181,112,74,46,34,38,
2020-KW13,12,8,28,66,155,154,165,148,133,184,286,226,172,124,75,84,203,
2020-KW14,14,19,28,69,133,139,161,113,122,165,228,210,149,110,91,115,257,
2020-KW15,13,19,24,60,132,125,112,102,96,121,169,154,131,71,71,99,293,
2020-KW16,6,12,18,30,82,76,88,52,61,75,112,108,70,46,51,53,207,2
2020-KW17,7,14,16,28,63,76,58,53,29,49,65,70,50,37,30,35,150,
2020-KW18,5,4,7,15,32,39,33,28,25,23,37,31,25,24,13,23,71,
2020-KW19,11,7,11,11,49,29,33,24,27,36,41,47,32,10,17,23,59,
2020-KW20,10,7,13,6,18,20,24,27,21,23,20,16,20,9,7,10,38,
2020-KW21,15,7,9,12,41,37,47,39,34,49,27,29,19,12,7,5,28,
2020-KW22,9,13,21,36,56,51,47,39,31,28,48,30,16,7,2,4,13,
2020-KW23,39,29,38,54,66,49,30,32,35,32,24,28,19,11,6,4,8,
2020-KW24,20,24,26,29,45,31,34,24,23,23,27,15,10,5,3,3,21,
2020-KW25,24,32,33,34,36,39,28,19,19,22,18,18,7,6,4,5,23,
2020-KW26,10,13,18,13,20,22,16,24,20,26,15,17,6,8,1,3,11,1
2020-KW27,11,13,16,13,17,8,14,15,19,15,12,10,9,1,,1,6,
2020-KW28,3,1,4,6,11,9,5,9,14,4,9,6,2,3,,1,4,
2020-KW29,15,5,8,17,20,28,34,22,18,21,19,11,7,4,,1,4,
2020-KW30,9,5,5,19,28,38,18,24,21,28,17,9,12,4,4,,5,
2020-KW31,6,12,15,32,46,46,30,23,28,24,28,23,8,4,3,5,6,
2020-KW32,12,19,26,44,68,35,34,41,33,26,26,34,12,12,5,2,5,
2020-KW33,17,17,26,42,78,51,51,48,40,35,32,23,18,4,3,4,14,
2020-KW34,23,42,45,50,100,75,57,63,51,51,29,32,19,8,10,4,3,
2020-KW35,22,30,47,70,87,55,54,49,62,47,31,24,21,9,11,3,8,
2020-KW36,27,24,31,46,69,85,61,32,41,37,36,21,21,3,6,4,5,
2020-KW37,15,29,29,68,101,79,51,47,40,47,39,41,26,13,8,12,37,
2020-KW38,25,34,43,137,133,107,79,65,79,81,75,57,44,13,20,12,35,
2020-KW39,27,23,67,110,117,95,91,67,58,80,71,57,44,29,16,14,44,
2020-KW40,23,39,57,117,144,117,110,89,92,110,126,100,54,30,22,25,69,
2020-KW41,41,49,80,145,188,182,177,155,160,163,201,160,103,50,48,28,63,
2020-KW42,72,75,95,249,336,338,266,217,194,220,265,235,165,92,58,52,109,
2020-KW43,98,111,159,325,538,477,410,316,332,371,430,356,258,139,112,83,268,
2020-KW44,165,227,295,599,821,692,630,535,502,574,658,625,412,240,197,162,469,
2020-KW45,209,321,433,705,893,781,724,586,592,626,726,702,436,279,172,165,419,
2020-KW46,200,330,415,655,793,726,651,565,607,599,696,677,428,283,185,168,561,
2020-KW47,203,292,422,577,750,680,627,545,626,643,664,618,485,262,193,176,698,
2020-KW48,189,228,304,492,559,572,535,471,518,520,595,523,406,257,151,158,541,
2020-KW49,158,210,289,436,553,551,516,472,420,496,534,505,331,193,168,157,602,1
2020-KW50,163,286,333,504,681,692,598,526,545,567,641,602,423,224,194,213,772,
2020-KW51,221,271,335,518,786,724,755,603,604,697,720,714,500,293,231,289,1040,
2020-KW52,176,196,224,403,656,670,609,549,464,534,695,681,422,269,243,242,945,
2020-KW53,108,146,226,352,613,614,597,495,458,506,627,643,496,264,217,256,1043,
2021-KW01,212,194,278,524,877,839,755,651,634,634,795,751,553,311,284,287,1232,5
2021-KW02,187,237,271,490,666,669,587,493,482,544,662,649,470,273,248,265,1175,5
2021-KW03,182,210,213,375,573,510,500,446,441,462,562,584,438,242,225,238,990,
2021-KW04,141,189,171,329,463,467,464,384,410,401,497,519,368,224,179,214,897,
2021-KW05,160,184,182,286,436,393,398,374,351,382,457,459,328,185,157,193,790,2
2021-KW06,158,201,177,312,421,363,388,413,348,381,448,433,324,175,128,152,576,2
2021-KW07,160,206,182,315,469,431,362,368,372,426,470,474,325,191,140,136,432,
2021-KW08,116,134,157,262,358,304,297,273,272,275,389,315,237,127,121,84,262,1
