# Quelle: Robert Koch-Institut, SurvStat@RKI 2.0, https://survstat.rki.de
# Abfragezeitpunkt: 2021-01-13 06:55:28
# API-Download für Covid19-Fälle in Nordrhein-Westfalen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW01,,,,,1,,1,1,,1,,2,,,2,1,3,
2020-KW02,,,,1,,,,,,,2,1,1,,3,1,1,
2020-KW03,,,,,,,,,,,,,,,,,1,
2020-KW05,,,,,,,,,2,,,,,,,,,
2020-KW07,,,,,,,,,,,,,1,,,,,
2020-KW08,,,,,,,,,,1,,,,,,,,
2020-KW09,3,2,1,4,11,18,15,6,10,6,9,3,4,3,,,,
2020-KW10,3,1,6,16,50,44,32,27,32,36,51,34,25,8,4,12,7,
2020-KW11,7,9,7,30,84,122,149,149,154,208,274,230,134,71,41,33,40,
2020-KW12,26,24,34,87,306,446,470,382,419,530,870,687,403,220,140,131,202,
2020-KW13,32,37,48,137,392,518,445,404,407,531,845,722,491,312,223,249,453,
2020-KW14,34,53,78,179,393,459,418,349,400,505,671,661,512,307,228,308,883,
2020-KW15,45,37,53,186,353,396,335,325,362,397,550,547,362,186,169,244,884,
2020-KW16,44,19,42,128,301,293,260,214,211,251,351,316,191,158,138,169,574,1
2020-KW17,46,43,60,108,189,227,187,161,170,176,213,218,155,96,85,99,345,
2020-KW18,26,31,37,70,116,155,151,102,126,103,136,124,81,43,47,65,210,
2020-KW19,33,31,33,73,133,129,122,107,118,137,149,136,89,40,42,52,132,
2020-KW20,29,35,43,58,119,114,115,99,104,98,104,83,57,33,25,37,123,
2020-KW21,29,24,28,55,85,96,85,62,58,60,65,63,38,29,13,20,61,1
2020-KW22,21,22,25,29,70,74,66,61,63,61,62,47,42,23,16,18,61,
2020-KW23,25,22,19,42,61,67,70,38,48,51,44,38,33,11,12,18,39,1
2020-KW24,26,33,31,28,70,76,67,61,50,46,50,47,25,15,7,13,47,
2020-KW25,41,36,39,88,216,204,224,246,282,261,190,100,54,25,23,26,44,
2020-KW26,66,64,53,92,138,164,152,141,147,160,163,99,49,24,17,25,29,1
2020-KW27,60,46,37,58,95,122,105,90,85,103,83,60,51,31,17,21,52,
2020-KW28,50,42,37,68,86,81,95,73,70,83,69,48,33,21,21,16,35,
2020-KW29,53,54,67,61,91,128,88,96,106,100,74,71,44,20,31,20,36,
2020-KW30,70,69,81,100,136,159,120,122,125,110,108,111,54,33,21,18,37,1
2020-KW31,63,85,116,164,217,175,144,149,162,143,127,109,61,37,43,30,69,
2020-KW32,72,137,173,225,263,200,176,196,213,185,177,118,90,47,44,29,80,
2020-KW33,130,195,246,268,324,253,240,217,231,220,175,115,71,39,25,38,87,2
2020-KW34,78,89,126,186,309,276,206,192,161,161,162,128,76,41,34,20,44,
2020-KW35,49,59,76,129,200,262,158,120,113,135,132,101,71,35,32,26,37,
2020-KW36,42,50,71,151,230,214,177,120,107,124,125,95,69,37,32,28,28,
2020-KW37,41,50,86,145,246,258,181,137,157,141,163,131,92,58,26,30,58,2
2020-KW38,73,73,113,257,330,341,278,221,181,249,237,201,120,58,71,41,99,2
2020-KW39,92,131,166,294,436,358,343,295,265,263,277,229,106,75,53,58,101,4
2020-KW40,97,123,212,369,446,485,378,329,296,380,335,301,176,124,90,71,151,6
2020-KW41,162,186,293,648,761,723,625,523,518,567,668,515,355,180,149,115,231,21
2020-KW42,255,276,382,758,1223,1214,1007,773,763,887,971,806,522,318,252,249,416,33
2020-KW43,436,530,697,1288,2185,2085,1755,1456,1536,1665,1811,1497,1074,604,440,430,951,87
2020-KW44,692,847,1243,2207,2898,2798,2482,2130,2220,2269,2583,2258,1380,860,731,625,1229,83
2020-KW45,698,953,1380,2451,3142,2840,2558,2180,2277,2448,2700,2383,1540,923,689,664,1501,121
2020-KW46,687,1011,1521,2413,2898,2654,2450,2187,2174,2329,2682,2319,1500,845,732,681,1875,95
2020-KW47,597,1033,1345,2200,2595,2464,2324,2068,2119,2301,2482,2263,1608,876,712,689,2002,84
2020-KW48,571,919,1271,1968,2138,2133,2082,1962,1909,2109,2249,2154,1486,847,678,674,2306,57
2020-KW49,557,803,1140,1792,2141,2105,1879,1795,1808,1862,2178,2056,1471,747,622,690,2441,71
2020-KW50,678,958,1253,1993,2471,2490,2293,2085,2135,2230,2652,2440,1780,926,824,887,3290,92
2020-KW51,733,954,1185,1883,2630,2706,2528,2411,2294,2496,2938,2749,2050,1149,905,1071,3797,103
2020-KW52,494,691,727,1235,2042,2065,1949,1739,1819,1923,2290,2244,1634,1004,805,900,3227,97
2020-KW53,294,378,510,990,1774,1707,1594,1364,1438,1538,1925,1799,1359,843,721,713,2858,80
2021-KW01,399,509,749,1358,2419,2323,2215,1954,1751,1865,2190,2083,1581,943,837,874,3175,70
2021-KW02,36,43,47,90,146,139,136,110,107,128,147,123,93,64,68,73,252,15
