# Quelle: Robert Koch-Institut, SurvStat@RKI 2.0, https://survstat.rki.de
# Abfragezeitpunkt: 2021-02-11 06:23:38
# API-Download für Covid19-Fälle in Rheinland-Pfalz, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,2,,,,,,,,,,,
2020-KW10,,1,,1,1,1,,2,2,,1,,3,,1,,,
2020-KW11,3,1,,8,11,19,26,26,26,30,66,51,17,19,4,7,5,1
2020-KW12,6,1,6,13,71,110,76,69,101,83,186,98,93,29,17,19,34,11
2020-KW13,10,9,22,40,117,126,97,100,95,118,174,125,104,64,49,49,60,4
2020-KW14,10,9,13,38,103,97,91,87,76,77,134,135,103,58,45,42,123,3
2020-KW15,8,10,15,26,67,43,52,53,62,80,94,79,70,42,35,39,144,2
2020-KW16,4,7,7,25,51,56,41,38,43,40,51,61,41,23,15,32,113,2
2020-KW17,4,6,5,11,20,28,23,20,30,19,24,26,30,11,10,15,71,5
2020-KW18,6,4,9,6,22,25,18,14,13,11,17,12,13,7,17,10,35,
2020-KW19,4,8,5,9,13,21,22,11,13,12,11,16,10,5,9,2,23,
2020-KW20,12,15,10,11,9,18,14,7,11,11,12,12,7,7,4,3,7,1
2020-KW21,5,5,9,2,10,13,10,13,4,1,5,8,5,2,2,1,2,
2020-KW22,4,8,8,6,12,17,9,8,4,9,4,5,3,2,3,1,5,1
2020-KW23,1,8,6,5,7,7,9,8,9,3,4,2,4,1,1,5,4,
2020-KW24,,1,3,1,9,10,4,3,6,5,3,3,2,1,1,1,1,
2020-KW25,2,,6,4,11,5,6,3,3,5,7,5,3,3,3,4,2,1
2020-KW26,3,5,1,5,13,8,8,4,2,4,5,4,5,2,,1,2,3
2020-KW27,7,8,4,14,18,13,2,6,2,6,7,1,2,3,2,,,
2020-KW28,5,5,4,3,9,10,17,8,4,8,6,3,10,1,2,1,1,2
2020-KW29,8,10,9,10,12,13,10,11,8,10,11,7,9,4,2,3,5,
2020-KW30,3,3,6,7,10,7,14,4,7,10,15,7,3,,2,5,2,
2020-KW31,6,8,,7,14,17,10,21,5,5,12,8,3,,1,1,3,
2020-KW32,9,18,20,34,25,33,25,25,27,20,15,11,8,2,5,2,2,5
2020-KW33,17,20,26,36,45,28,31,37,29,40,18,16,3,4,4,1,4,3
2020-KW34,18,28,39,40,57,60,33,46,25,36,35,26,11,10,6,8,3,1
2020-KW35,9,16,23,26,85,52,45,28,37,18,20,19,12,5,5,2,7,2
2020-KW36,10,6,11,23,44,39,36,24,23,29,17,17,10,4,4,5,5,1
2020-KW37,8,11,16,26,53,45,33,27,28,30,20,29,6,11,15,2,19,3
2020-KW38,5,9,13,15,41,45,32,32,37,28,30,27,18,14,6,6,9,1
2020-KW39,11,8,17,41,62,44,41,28,38,23,50,26,20,6,14,6,12,13
2020-KW40,6,15,21,49,72,79,58,37,35,55,43,49,20,12,14,8,9,8
2020-KW41,15,16,38,65,134,120,86,50,82,73,73,81,51,32,27,12,43,15
2020-KW42,41,32,66,109,219,193,147,116,92,105,142,144,83,62,38,23,63,6
2020-KW43,83,89,114,177,307,290,291,199,186,222,233,214,189,104,78,57,176,26
2020-KW44,102,141,180,311,431,438,350,305,332,345,422,380,255,147,99,90,239,35
2020-KW45,113,136,166,367,544,495,405,344,369,405,449,473,314,193,131,121,325,45
2020-KW46,101,186,260,423,585,504,426,419,372,443,522,468,346,191,180,179,470,37
2020-KW47,122,150,220,334,489,469,439,426,389,419,510,448,355,201,151,137,479,49
2020-KW48,99,133,185,249,418,360,400,333,319,358,409,374,303,196,155,184,674,18
2020-KW49,101,134,188,332,434,433,406,386,394,419,463,464,371,198,155,174,772,22
2020-KW50,134,188,255,419,534,561,493,480,457,463,534,552,381,223,210,213,773,30
2020-KW51,139,146,208,354,557,589,488,457,458,493,615,620,446,243,214,242,1099,39
2020-KW52,92,134,155,241,395,408,386,371,348,381,434,463,309,219,167,188,772,18
2020-KW53,64,76,126,241,423,382,355,313,314,346,423,423,318,181,179,181,780,21
2021-KW01,71,90,148,282,470,479,426,367,367,357,462,501,327,237,196,196,888,31
2021-KW02,83,81,113,217,352,370,362,281,284,272,356,402,293,155,142,177,777,19
2021-KW03,64,74,102,175,312,300,290,246,299,302,342,394,263,143,155,149,698,18
2021-KW04,73,70,82,163,268,248,264,215,193,231,297,303,241,140,98,115,499,8
2021-KW05,71,78,71,138,186,182,194,187,180,178,218,249,163,108,69,72,332,6
2021-KW06,17,21,9,20,40,39,37,27,32,27,42,25,26,14,17,17,38,3
